cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd022,8-Sep-20,12:00:48,6,9.7377,124.518,423.934,9.4381,120.688,410.894,32.2955,32.2977,25.829,25.8301,1.2768,1.6617,1.6723,0.2593,30.295
ctd022,8-Sep-20,12:01:58,7,6.4107,99.336,279.41,6.2955,97.551,274.389,32.0524,32.0557,24.6729,24.6754,0.7587,9.8671,9.8678,0.2308,14.782
ctd022,8-Sep-20,12:02:00,8,6.4195,99.476,279.791,6.2904,97.475,274.163,32.0531,32.056,24.6732,24.6755,0.7538,9.8691,9.8686,0.2255,14.314
ctd022,8-Sep-20,12:02:59,9,6.4134,99.374,279.527,6.2925,97.5,274.254,32.0553,32.0579,24.6756,24.6777,0.7742,9.8648,9.8648,0.2362,4.236
ctd022,8-Sep-20,12:03:00,10,6.4226,99.515,279.927,6.2713,97.17,273.331,32.0553,32.0578,24.6758,24.6777,0.7435,9.8639,9.8642,0.2357,4.469
ctd036,10-Sep-20,21:54:23,1,5.6118,73.734,244.197,5.4596,71.734,237.574,32.9884,32.9907,26.3174,26.3192,0.2218,2.5493,2.5498,2.2256,45.874
ctd036,10-Sep-20,21:54:25,2,5.6061,73.66,243.95,5.4887,72.117,238.838,32.9884,32.9887,26.3174,26.3176,0.2158,2.5499,2.5498,2.2413,45.706
ctd036,10-Sep-20,21:55:33,3,5.8847,77.362,256.073,5.7526,75.625,250.324,32.9847,32.9883,26.3126,26.3155,0.2817,2.5724,2.5712,0.7259,30.712
ctd036,10-Sep-20,21:55:35,4,5.8945,77.488,256.5,5.7512,75.604,250.263,32.9852,32.9884,26.3131,26.3156,0.2768,2.5711,2.5716,0.7483,30.715
ctd036,10-Sep-20,21:56:42,5,7.1521,102.057,311.638,6.977,99.56,304.011,31.7438,31.748,24.9423,24.9457,1.2339,6.3128,6.3126,0.3052,15.628
ctd036,10-Sep-20,21:56:44,6,7.1511,102.042,311.595,6.9959,99.828,304.833,31.744,31.748,24.9425,24.9457,1.227,6.3124,6.3125,0.2986,15.561
ctd036,10-Sep-20,21:57:49,7,7.0785,101.342,308.515,6.922,99.102,301.695,31.4385,31.4421,24.6732,24.6762,2.6004,6.541,6.54,0.3774,2.868
ctd036,10-Sep-20,21:57:51,8,7.0776,101.33,308.475,6.9272,99.177,301.921,31.4382,31.4419,24.6729,24.676,2.6379,6.5415,6.5404,0.3434,2.884
ctd008,4-Sep-20,22:42:49,1,7.754,94.999,337.67,7.5324,92.284,328.019,31.8227,31.8254,25.5359,25.538,0.5188,0.1319,0.1333,0.591,68.832
ctd008,4-Sep-20,22:42:52,2,7.7584,95.054,337.865,7.5234,92.175,327.629,31.8226,31.8252,25.5358,25.5378,0.5486,0.1322,0.1344,0.581,68.574
ctd008,4-Sep-20,22:44:51,3,7.7631,95.174,338.072,7.5562,92.636,329.058,31.8152,31.818,25.5286,25.5308,0.5726,0.1589,0.1602,0.3856,46.08
ctd008,4-Sep-20,22:44:53,4,7.7532,95.049,337.637,7.5514,92.575,328.849,31.8153,31.818,25.5287,25.5309,0.5549,0.158,0.1588,0.3901,46.329
ctd008,4-Sep-20,22:46:06,5,9.9506,125.247,433.363,9.5986,120.817,418.035,31.7855,31.7835,25.4505,25.4483,2.5441,1.1821,1.1911,0.3332,29.709
ctd008,4-Sep-20,22:46:10,6,9.9532,125.032,433.474,9.6711,121.489,421.19,31.7918,31.7935,25.4602,25.4579,2.7247,1.1032,1.1656,0.3361,29.643
ctd008,4-Sep-20,22:47:18,7,6.1952,98.129,270.126,6.0789,96.286,265.052,31.7592,31.7622,24.2588,24.2631,0.3656,10.9669,10.9554,0.1904,14.985
ctd008,4-Sep-20,22:47:22,8,6.194,98.11,270.072,6.0774,96.264,264.99,31.7606,31.7632,24.2599,24.2621,0.3382,10.9666,10.9656,0.1958,15.755
ctd008,4-Sep-20,22:48:34,9,6.2003,98.229,270.348,6.0837,96.381,265.261,31.7655,31.7682,24.2624,24.2647,0.1283,10.9738,10.973,0.1886,2.067
ctd008,4-Sep-20,22:48:36,10,6.2036,98.283,270.489,6.0746,96.24,264.866,31.7657,31.7682,24.2624,24.2642,0.1445,10.9751,10.9754,0.1837,2.622
ctd020,8-Sep-20,8:01:06,1,7.2178,86.839,314.17,7.0296,84.575,305.98,32.3849,32.3873,26.0241,26.026,0.1595,-0.7051,-0.7034,1.8603,71.756
ctd020,8-Sep-20,8:01:07,2,7.2211,86.881,314.315,7.021,84.473,305.604,32.3847,32.3874,26.024,26.026,0.1647,-0.7041,-0.7025,1.8422,71.4
ctd020,8-Sep-20,8:03:09,3,7.2397,87.094,315.126,7.0537,84.856,307.03,32.3848,32.3876,26.0242,26.0264,0.1615,-0.709,-0.7081,1.4236,44.364
ctd020,8-Sep-20,8:03:12,4,7.2226,86.887,314.379,7.0531,84.848,307,32.3848,32.3874,26.0242,26.0262,0.1739,-0.7092,-0.7079,1.4966,46.353
ctd020,8-Sep-20,8:04:31,5,6.7979,105.615,296.256,6.6444,103.23,289.567,32.1826,32.1862,24.7609,24.7633,0.6154,9.9506,9.9528,0.199,29.603
ctd020,8-Sep-20,8:04:32,6,6.6184,100.174,288.389,6.3556,96.196,276.938,32.1536,32.2224,24.9244,24.9947,0.6017,8.7755,8.6668,0.1972,30.067
ctd020,8-Sep-20,8:05:53,7,6.3192,98.69,275.404,6.1758,96.451,269.156,32.1947,32.1971,24.7313,24.7331,0.615,10.1857,10.1859,0.2026,15.245
ctd020,8-Sep-20,8:05:54,8,6.3063,98.491,274.842,6.1921,96.707,269.864,32.1946,32.197,24.7311,24.7329,0.6051,10.1867,10.1868,0.2036,15.605
ctd020,8-Sep-20,8:06:52,9,6.3056,98.465,274.812,6.1661,96.286,268.732,32.1952,32.1977,24.7328,24.7348,0.6338,10.1791,10.1786,0.2061,2.023
ctd020,8-Sep-20,8:06:54,10,6.3082,98.506,274.924,6.1907,96.671,269.803,32.1955,32.1979,24.7329,24.7348,0.6327,10.1795,10.1795,0.2183,3.349
ctd034,10-Sep-20,3:03:09,1,5.5814,73.639,242.87,5.4729,72.207,238.147,33.0244,33.0273,26.3333,26.3355,0.3656,2.7058,2.7061,1.2065,44.236
ctd034,10-Sep-20,3:03:11,2,5.5918,73.775,243.322,5.488,72.406,238.805,33.0245,33.0272,26.3334,26.3355,0.3813,2.7053,2.7055,1.1949,44.307
ctd034,10-Sep-20,3:04:12,3,5.5156,72.846,240.011,5.4009,71.33,235.016,33.0171,33.02,26.3239,26.3262,0.386,2.749,2.7487,0.7458,30.515
ctd034,10-Sep-20,3:04:14,4,5.5175,72.869,240.09,5.3975,71.285,234.869,33.0171,33.02,26.3239,26.3262,0.3949,2.7486,2.749,0.7555,30.549
ctd034,10-Sep-20,3:05:08,5,7.0786,100.35,308.277,6.8742,97.453,299.375,32.3428,32.3457,25.4698,25.4712,6.9823,5.8645,5.8715,0.5556,15.599
ctd034,10-Sep-20,3:05:09,6,7.0761,100.334,308.171,6.8716,97.433,299.263,32.3421,32.3455,25.4683,25.4706,7.0657,5.8724,5.8754,0.5666,15.531
ctd034,10-Sep-20,3:06:03,7,7.2688,103.23,316.564,7.0866,100.643,308.631,32.3417,32.3448,25.4598,25.4622,4.6753,5.9404,5.9406,0.5595,2.097
ctd034,10-Sep-20,3:06:05,8,7.2714,103.268,316.677,7.0877,100.66,308.68,32.3418,32.3448,25.4598,25.4622,4.6363,5.9407,5.9408,0.563,2.152
ctd035,10-Sep-20,5:32:48,1,6.0704,78.764,264.145,5.9269,76.903,257.904,32.9702,32.9731,26.3416,26.3439,0.405,2.0539,2.0545,0.8948,45.23
ctd035,10-Sep-20,5:32:50,2,6.0782,78.865,264.485,5.9248,76.874,257.808,32.9701,32.9729,26.3415,26.3437,0.447,2.0539,2.0547,0.8812,45.154
ctd035,10-Sep-20,5:34:23,3,6.0824,78.923,264.669,5.9396,77.07,258.456,32.9695,32.9724,26.3409,26.3432,0.4187,2.0556,2.0559,0.8397,31.09
ctd035,10-Sep-20,5:34:24,4,6.0761,78.839,264.393,5.9455,77.144,258.711,32.9694,32.9723,26.3409,26.3432,0.4129,2.0546,2.0555,0.8206,31.114
ctd035,10-Sep-20,5:35:30,5,7.325,102.876,318.969,7.1491,100.406,311.309,32.4407,32.4443,25.5971,25.5997,8.5369,5.4405,5.442,0.592,14.988
ctd035,10-Sep-20,5:35:31,6,7.345,103.159,319.839,7.1619,100.587,311.866,32.441,32.4444,25.5972,25.5998,8.5192,5.4413,5.4423,0.5906,14.909
ctd035,10-Sep-20,5:36:33,7,7.4002,103.925,322.242,7.1977,101.082,313.426,32.4436,32.4473,25.5997,25.6026,8.837,5.4368,5.4372,0.6191,2.995
ctd035,10-Sep-20,5:36:34,8,7.3715,103.52,320.992,7.2193,101.383,314.365,32.4432,32.4465,25.5995,25.6021,8.6881,5.4362,5.4365,0.5943,2.983
ctd021,8-Sep-20,9:58:26,1,7.3655,88.675,320.599,7.1496,86.076,311.202,32.3869,32.3892,26.0248,26.0267,0.1654,-0.6806,-0.6791,1.7973,69.746
ctd021,8-Sep-20,9:58:28,2,7.3643,88.661,320.548,7.1589,86.188,311.606,32.3869,32.3894,26.0249,26.0268,0.1781,-0.6803,-0.6793,1.7603,68.788
ctd021,8-Sep-20,10:00:19,3,7.3618,88.616,320.437,7.1744,86.361,312.282,32.386,32.3887,26.0244,26.0265,0.1589,-0.6865,-0.6854,1.4539,45.344
ctd021,8-Sep-20,10:00:20,4,7.3445,88.409,319.687,7.1739,86.356,312.262,32.3861,32.3888,26.0244,26.0265,0.1638,-0.6862,-0.6853,1.4353,45.185
ctd021,8-Sep-20,10:01:30,5,6.3027,98.2,274.68,6.1599,95.974,268.456,32.1921,32.196,24.7473,24.7498,0.571,10.0777,10.0804,0.2046,28.703
ctd021,8-Sep-20,10:01:36,6,6.3079,98.286,274.907,6.1633,96.033,268.604,32.195,32.199,24.7492,24.7521,0.5795,10.0793,10.0806,0.208,28.809
ctd021,8-Sep-20,10:02:45,7,6.3277,98.603,275.766,6.1929,96.502,269.893,32.2026,32.2053,24.7549,24.757,0.5726,10.0811,10.0808,0.2089,16.084
ctd021,8-Sep-20,10:02:49,8,6.3119,98.356,275.079,6.2055,96.699,270.445,32.2029,32.2053,24.7552,24.7571,0.5901,10.0806,10.0808,0.2085,14.89
ctd021,8-Sep-20,10:04:01,9,6.3163,98.403,275.272,6.2053,96.672,270.432,32.2035,32.2058,24.7574,24.7592,0.6033,10.0698,10.07,0.2056,3.298
ctd021,8-Sep-20,10:04:02,10,6.3324,98.653,275.973,6.1974,96.549,270.088,32.2035,32.2059,24.7575,24.7593,0.5981,10.0698,10.0697,0.2048,4.059
ctd009,5-Sep-20,0:53:04,1,7.8849,96.327,343.365,7.6537,93.502,333.296,31.8456,31.848,25.5595,25.5614,0.6872,0.0167,0.0172,0.537,63.973
ctd009,5-Sep-20,0:53:06,2,7.8873,96.358,343.468,7.6472,93.425,333.014,31.8455,31.8478,25.5594,25.5612,0.7544,0.0175,0.018,0.7623,63.432
ctd009,5-Sep-20,0:54:31,3,7.9246,96.896,345.097,7.7185,94.375,336.121,31.8272,31.8297,25.543,25.5449,0.9243,0.0548,0.0559,0.4559,45.58
ctd009,5-Sep-20,0:54:33,4,7.9321,96.994,345.423,7.7077,94.25,335.653,31.8269,31.8295,25.5426,25.5447,0.8631,0.0574,0.058,0.4335,44.464
ctd009,5-Sep-20,0:55:32,5,8.001,97.966,348.432,7.7895,95.376,339.223,31.8068,31.8098,25.5239,25.5263,0.7764,0.1129,0.1138,0.3949,31.422
ctd009,5-Sep-20,0:55:34,6,8.0032,97.964,348.528,7.8076,95.569,340.007,31.8092,31.812,25.5264,25.5286,0.6968,0.101,0.1012,0.6788,32.456
ctd009,5-Sep-20,0:56:39,7,6.1686,97.653,268.972,6.0428,95.662,263.487,31.7164,31.7203,24.2277,24.2307,0.3257,10.9538,10.954,0.1898,15.475
ctd009,5-Sep-20,0:56:41,8,6.1657,97.595,268.844,6.0419,95.635,263.447,31.7178,31.7219,24.2299,24.2334,0.3302,10.9474,10.9457,0.1924,15.453
ctd009,5-Sep-20,0:58:11,9,6.1777,97.878,269.372,5.9562,94.367,259.711,31.7205,31.4249,24.2246,23.9947,0.1274,10.9904,10.9897,0.18,1.723
ctd009,5-Sep-20,0:58:13,10,6.1859,98.009,269.729,5.9356,94.042,258.812,31.7207,31.4255,24.2245,23.9952,0.1171,10.9911,10.99,0.1922,2.325
ctd025,8-Sep-20,23:01:10,1,7.1461,85.563,311.074,6.9428,83.129,302.222,32.2832,32.2859,25.9471,25.9493,0.4396,-0.859,-0.8588,1.7214,60.45
ctd025,8-Sep-20,23:01:12,2,7.1546,85.662,311.442,6.9473,83.18,302.42,32.2833,32.2858,25.9472,25.9492,0.4212,-0.8603,-0.8585,1.8287,60.405
ctd025,8-Sep-20,23:02:26,3,7.123,85.28,310.069,6.9268,82.931,301.529,32.281,32.2839,25.9454,25.9478,0.345,-0.8615,-0.8628,1.1668,45.488
ctd025,8-Sep-20,23:02:28,4,7.1187,85.224,309.883,6.9268,82.926,301.526,32.2811,32.2838,25.9455,25.9477,0.3667,-0.8636,-0.8633,1.0158,45.505
ctd025,8-Sep-20,23:03:28,5,6.5101,99.311,283.735,6.3347,96.636,276.093,31.9344,31.9408,24.6887,24.6905,0.8121,9.192,9.2122,0.3575,30.643
ctd025,8-Sep-20,23:03:30,6,6.521,99.5,284.21,6.3525,96.929,276.866,31.9332,31.9385,24.686,24.6894,0.8393,9.2029,9.2077,0.388,30.85
ctd025,8-Sep-20,23:04:42,7,6.5324,99.912,284.71,6.3843,97.647,278.255,31.9476,31.9507,24.6811,24.6831,0.7197,9.3062,9.3087,0.3837,15.085
ctd025,8-Sep-20,23:04:46,8,6.5299,99.876,284.6,6.3902,97.74,278.513,31.9478,31.9507,24.6811,24.6832,0.7327,9.3075,9.3081,0.3827,15.011
ctd025,8-Sep-20,23:05:42,9,6.5432,100.336,285.186,6.3905,97.994,278.53,31.9492,31.9518,24.664,24.6659,0.3275,9.4225,9.4232,0.3742,2.608
ctd025,8-Sep-20,23:05:44,10,6.5438,100.345,285.212,6.3863,97.93,278.345,31.949,31.9517,24.6638,24.6657,0.3523,9.4228,9.4236,0.3771,2.808
ctd031,9-Sep-20,19:44:59,1,5.8911,77.497,256.343,5.7679,75.877,250.984,33.0224,33.0252,26.3414,26.3437,0.3241,2.5884,2.5882,1.1361,40.783
ctd031,9-Sep-20,19:45:01,2,5.8853,77.419,256.09,5.7777,76.004,251.409,33.0223,33.0251,26.3414,26.3436,0.3196,2.5878,2.588,1.0083,40.848
ctd031,9-Sep-20,19:45:54,3,5.8771,77.313,255.735,5.7585,75.753,250.574,33.0211,33.024,26.3403,26.3427,0.3611,2.5889,2.5891,0.8846,30.313
ctd031,9-Sep-20,19:45:57,4,5.867,77.18,255.296,5.7469,75.6,250.069,33.0211,33.024,26.3403,26.3426,0.3663,2.5887,2.589,0.8871,30.593
ctd031,9-Sep-20,19:47:15,5,7.1048,98.977,309.377,6.9121,96.293,300.987,32.4104,32.4152,25.6107,25.6144,5.3743,5.1075,5.1092,0.405,15.419
ctd031,9-Sep-20,19:47:18,6,7.1058,98.984,309.419,6.9157,96.337,301.145,32.4089,32.4123,25.6098,25.6124,5.351,5.1052,5.1066,0.4209,15.435
ctd031,9-Sep-20,19:48:16,7,7.1967,100.633,313.399,7.015,98.091,305.484,32.3528,32.3558,25.5457,25.5481,6.1192,5.2806,5.2803,0.4837,2.442
ctd031,9-Sep-20,19:48:18,8,7.2079,100.79,313.888,7.0181,98.135,305.621,32.3528,32.3558,25.5458,25.5482,6.146,5.2806,5.2802,0.4857,2.499
ctd019,8-Sep-20,6:49:39,1,7.0388,84.281,306.377,6.8378,81.875,297.63,32.3829,32.3854,26.0287,26.0306,0.1571,-0.8841,-0.8816,2.2315,70.944
ctd019,8-Sep-20,6:49:40,2,7.0411,84.305,306.48,6.8505,82.023,298.184,32.3825,32.385,26.0284,26.0304,0.1703,-0.8858,-0.8841,2.0418,69.715
ctd019,8-Sep-20,6:51:12,3,6.9497,83.151,302.502,6.7643,80.932,294.43,32.3756,32.3782,26.0237,26.0258,0.1505,-0.911,-0.9101,1.1555,46.878
ctd019,8-Sep-20,6:51:13,4,6.939,83.023,302.036,6.7676,80.972,294.575,32.3756,32.3781,26.0237,26.0257,0.1463,-0.911,-0.9102,1.1177,47.002
ctd019,8-Sep-20,6:52:25,5,9.849,126.804,428.782,9.5437,122.875,415.494,32.3112,32.3104,25.8231,25.8238,1.2034,1.9265,1.908,0.2482,31.188
ctd019,8-Sep-20,6:52:26,6,9.9449,128.135,432.96,9.6468,124.294,419.983,32.3077,32.3055,25.8182,25.8164,1.2248,1.9569,1.9567,0.2438,31.12
ctd019,8-Sep-20,6:53:30,7,6.4828,100.037,282.551,6.3503,97.992,276.775,32.0134,32.0164,24.6714,24.6733,0.9027,9.6897,9.6923,0.2324,14.622
ctd019,8-Sep-20,6:53:32,8,6.4845,100.07,282.626,6.3534,98.046,276.909,32.0136,32.0167,24.6711,24.6734,0.887,9.6925,9.6926,0.2348,14.696
ctd019,8-Sep-20,6:54:34,9,6.4785,99.988,282.365,6.3583,98.132,277.123,32.0177,32.0204,24.6738,24.6755,0.9267,9.6959,9.6977,0.2369,3.83
ctd019,8-Sep-20,6:54:35,10,6.4757,99.939,282.239,6.3556,98.086,277.007,32.0174,32.0201,24.6738,24.6757,0.8915,9.6937,9.6952,0.241,3.724
ctd018,8-Sep-20,5:00:01,1,6.8092,81.508,296.399,6.6251,79.304,288.384,32.3175,32.3204,25.9756,25.9779,0.2198,-0.878,-0.8786,1.2592,65.805
ctd018,8-Sep-20,5:00:02,2,6.8118,81.547,296.512,6.629,79.359,288.556,32.3156,32.3187,25.9738,25.9764,0.214,-0.8736,-0.8735,1.2478,65.852
ctd018,8-Sep-20,5:01:30,3,6.7496,81.563,293.836,6.5827,79.546,286.569,32.1969,32.1998,25.8641,25.8664,0.2817,-0.49,-0.4895,0.5852,47.408
ctd018,8-Sep-20,5:01:31,4,6.7809,81.959,295.2,6.5976,79.744,287.221,32.1926,32.1954,25.8603,25.8625,0.2952,-0.4804,-0.481,0.5608,46.118
ctd018,8-Sep-20,5:02:43,5,7.9991,103.258,348.332,8.144,105.128,354.64,32.0168,32.0163,25.5742,25.583,0.7722,2.1101,1.9821,0.2223,30.867
ctd018,8-Sep-20,5:02:44,6,8.0802,105.388,351.88,8.0213,104.62,349.316,31.9977,31.9963,25.5275,25.5365,0.837,2.5262,2.395,0.2325,30.524
ctd018,8-Sep-20,5:03:56,7,6.4835,99.801,282.595,6.3335,97.492,276.055,31.9397,31.9427,24.6285,24.6308,1.2003,9.5987,9.5985,0.261,16.547
ctd018,8-Sep-20,5:03:57,8,6.4929,99.941,283.002,6.3427,97.629,276.455,31.9397,31.9427,24.6288,24.631,1.1772,9.5967,9.5974,0.2521,15.481
ctd018,8-Sep-20,5:05:03,9,6.476,99.68,282.264,6.3404,97.594,276.356,31.9421,31.9445,24.6307,24.6327,1.1584,9.596,9.5958,0.2514,2.836
ctd018,8-Sep-20,5:05:05,10,6.4761,99.683,282.271,6.3582,97.868,277.13,31.9421,31.9446,24.6307,24.6327,1.1851,9.5961,9.5959,0.2547,3.363
ctd030,9-Sep-20,17:01:32,1,6.735,87.506,293.099,6.6015,85.771,287.288,32.8379,32.8409,26.2289,26.2313,1.236,2.1437,2.1437,1.0589,42.99
ctd030,9-Sep-20,17:01:33,2,6.7463,87.651,293.588,6.6128,85.917,287.778,32.838,32.8409,26.229,26.2313,1.2393,2.1435,2.1438,0.9753,42.986
ctd030,9-Sep-20,17:02:29,3,6.7638,87.865,294.354,6.6031,85.777,287.359,32.8306,32.8348,26.2235,26.2269,1.2969,2.139,2.138,0.7065,30.609
ctd030,9-Sep-20,17:02:30,4,6.7438,87.607,293.48,6.6012,85.756,287.278,32.8289,32.8328,26.222,26.2252,1.3073,2.1407,2.1398,0.6378,30.568
ctd030,9-Sep-20,17:03:25,5,6.7913,88.271,295.55,6.6366,86.26,288.819,32.8229,32.8261,26.2154,26.218,1.569,2.1632,2.1632,0.6236,15.211
ctd030,9-Sep-20,17:03:27,6,6.7943,88.31,295.683,6.6465,86.389,289.25,32.8232,32.8263,26.2157,26.2181,1.5835,2.163,2.1632,0.6087,15.306
ctd030,9-Sep-20,17:04:32,7,6.808,88.486,296.28,6.6658,86.638,290.092,32.822,32.825,26.2148,26.2172,1.6408,2.1622,2.1624,0.6019,2.149
ctd030,9-Sep-20,17:04:33,8,6.8191,88.63,296.762,6.6574,86.528,289.724,32.822,32.8249,26.2148,26.2171,1.5789,2.1622,2.1623,0.6134,2.27
ctd024,8-Sep-20,15:54:19,1,6.9186,82.696,301.156,6.7337,80.486,293.109,32.3405,32.3428,25.9961,25.998,0.3187,-0.9391,-0.938,5.0017,68.744
ctd024,8-Sep-20,15:54:20,2,6.9271,82.799,301.526,6.7353,80.506,293.176,32.3405,32.3428,25.9961,25.998,0.3299,-0.9386,-0.9379,5.1609,68.49
ctd024,8-Sep-20,15:55:44,3,7.017,84.234,305.46,6.8513,82.245,298.248,32.2607,32.2637,25.9255,25.9278,0.2972,-0.7568,-0.755,0.5557,45.937
ctd024,8-Sep-20,15:55:46,4,7.0319,84.412,306.109,6.8485,82.211,298.127,32.2593,32.263,25.9243,25.9272,0.3061,-0.7565,-0.7543,0.5472,45.782
ctd024,8-Sep-20,15:56:42,5,9.5312,126.535,415.041,9.0231,119.788,392.913,32.1539,32.2374,25.5969,25.6831,1.49,3.1951,2.9664,0.2676,31.035
ctd024,8-Sep-20,15:56:44,6,8.96,117.494,390.118,8.9593,117.486,390.091,32.254,32.264,25.7207,25.74,1.6836,2.6719,2.5307,0.2625,31.774
ctd024,8-Sep-20,15:57:40,7,6.4693,99.353,281.969,6.3387,97.346,276.275,31.942,31.9453,24.6471,24.6498,1.0054,9.4932,9.4928,0.2562,16.789
ctd024,8-Sep-20,15:57:45,8,6.4776,99.479,282.329,6.3552,97.601,276.998,31.9431,31.9463,24.6481,24.6506,0.9673,9.4926,9.4922,0.2687,16.323
ctd024,8-Sep-20,15:58:51,9,6.4853,99.582,282.667,6.3546,97.575,276.972,31.9403,31.9483,24.6469,24.6531,0.996,9.486,9.4866,0.2686,2.144
ctd024,8-Sep-20,15:58:53,10,6.4868,99.607,282.729,6.3525,97.545,276.876,31.9445,31.9482,24.6502,24.6531,1.0121,9.4861,9.4865,0.2488,1.831
ctd024,8-Sep-20,15:58:56,11,6.4947,99.731,283.077,6.355,97.586,276.987,31.9464,31.949,24.6517,24.6537,0.9732,9.4863,9.4862,0.2523,2.838
ctd032,9-Sep-20,22:31:54,1,6.247,83.257,271.92,6.0981,81.272,265.437,32.6652,32.6686,26.0031,26.0057,0.5259,3.2117,3.2125,1.2215,34.438
ctd032,9-Sep-20,22:31:56,2,6.2446,83.228,271.816,6.1016,81.321,265.59,32.6655,32.6686,26.0031,26.0055,0.517,3.2131,3.2137,1.2493,34.61
ctd032,9-Sep-20,22:32:47,3,6.2639,83.909,272.666,6.1015,81.732,265.593,32.6496,32.6538,25.9716,25.9754,0.5661,3.4226,3.4175,1.1394,30.608
ctd032,9-Sep-20,22:33:03,4,6.2444,83.586,271.815,6.1112,81.802,266.015,32.6531,32.6557,25.9773,25.9793,0.5506,3.3916,3.3921,1.144,30.737
ctd032,9-Sep-20,22:34:22,5,6.6851,97.23,291.247,6.5391,95.106,284.885,32.0635,32.0666,25.1005,25.1026,1.4122,7.0435,7.0463,0.3038,14.949
ctd032,9-Sep-20,22:34:24,6,6.6841,97.222,291.203,6.5482,95.245,285.281,32.0621,32.0668,25.0989,25.1026,1.3977,7.0471,7.0477,0.3022,14.674
ctd032,9-Sep-20,22:35:20,7,6.7207,97.889,292.799,6.5787,95.821,286.613,32.0678,32.0712,25.0957,25.0984,1.2023,7.1051,7.1051,0.323,2.026
ctd032,9-Sep-20,22:35:34,8,6.7035,97.64,292.05,6.5821,95.871,286.761,32.0678,32.0712,25.0956,25.0984,1.1891,7.1054,7.1053,0.3452,2.275
ctd026,9-Sep-20,0:50:36,1,5.7279,67.69,249.303,5.5991,66.168,243.699,32.4373,32.4399,26.0878,26.0899,0.1696,-1.3883,-1.3899,1.4937,64.477
ctd026,9-Sep-20,0:50:37,2,5.727,67.687,249.266,5.5969,66.149,243.603,32.4373,32.4399,26.0877,26.0898,0.1642,-1.3844,-1.3869,1.4506,64.389
ctd026,9-Sep-20,0:51:41,3,6.6936,79.973,291.362,6.4764,77.377,281.906,32.3406,32.3441,25.9967,25.9997,0.1727,-0.955,-0.9599,0.3139,45.384
ctd026,9-Sep-20,0:51:45,4,6.6889,79.874,291.157,6.4698,77.257,281.617,32.3449,32.3449,26.0009,26.0007,0.1781,-0.976,-0.9684,0.3196,45.937
ctd026,9-Sep-20,0:52:39,5,6.6705,99.885,290.659,6.4581,96.704,281.403,32.0668,32.0683,24.9243,24.9255,0.7269,8.3219,8.3211,0.2351,30.587
ctd026,9-Sep-20,0:52:42,6,6.6608,99.726,290.237,6.4785,96.996,282.291,32.0688,32.0701,24.9268,24.9297,0.708,8.315,8.302,0.2304,30.341
ctd026,9-Sep-20,0:53:37,7,6.6923,100.268,291.609,6.543,98.031,285.103,32.0797,32.0826,24.9312,24.9336,0.68,8.3432,8.3426,0.2506,15.594
ctd026,9-Sep-20,0:53:42,8,6.6797,100.08,291.061,6.5369,97.94,284.837,32.0799,32.0828,24.9314,24.9338,0.6869,8.343,8.3418,0.2387,15.569
ctd026,9-Sep-20,0:54:39,9,6.6914,100.671,291.577,6.5412,98.412,285.034,32.0793,32.0825,24.9035,24.9057,0.392,8.5278,8.5304,0.2348,3.116
ctd026,9-Sep-20,0:54:45,10,6.6883,100.643,291.441,6.523,98.156,284.237,32.0807,32.0831,24.9034,24.9059,0.3837,8.536,8.5317,0.2326,2.92
ctd027,9-Sep-20,2:34:11,1,5.4477,64.624,237.079,5.3262,63.183,231.791,32.5967,32.5988,26.2144,26.216,0.1366,-1.289,-1.2863,1.0912,67.15
ctd027,9-Sep-20,2:34:13,2,5.4351,64.474,236.533,5.3233,63.148,231.667,32.5963,32.5989,26.2141,26.2162,0.1324,-1.2895,-1.288,1.1018,66.497
ctd027,9-Sep-20,2:35:34,3,10.233,123.508,445.431,9.8693,119.118,429.6,32.3393,32.3446,25.9824,25.9872,0.1813,-0.5732,-0.5854,0.1585,46.885
ctd027,9-Sep-20,2:35:38,4,10.2786,124.3,447.426,9.8979,119.696,430.854,32.3247,32.3257,25.9677,25.9683,0.1911,-0.4961,-0.4915,0.1633,46.119
ctd027,9-Sep-20,2:36:37,5,6.5579,99.54,285.769,6.4067,97.245,279.18,32.1165,32.1205,24.8743,24.8776,1.0357,8.913,8.9123,0.2014,31.106
ctd027,9-Sep-20,2:36:39,6,6.5624,99.603,285.965,6.4178,97.407,279.661,32.1163,32.1203,24.8745,24.878,1.0431,8.9107,8.9085,0.199,30.874
ctd027,9-Sep-20,2:37:38,7,6.5854,99.978,286.966,6.4497,97.918,281.053,32.1201,32.123,24.8758,24.8781,0.9382,8.9217,8.9217,0.1985,15.434
ctd027,9-Sep-20,2:37:40,8,6.586,99.994,286.991,6.4422,97.811,280.726,32.1201,32.1229,24.8754,24.8775,0.9184,8.9246,8.9248,0.1984,15.118
ctd027,9-Sep-20,2:38:34,9,6.5702,100.19,286.312,6.416,97.838,279.591,32.1249,32.1276,24.849,24.8509,0.571,9.1193,9.1208,0.2062,2.823
