cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd040,11-Sep-20,8:04:11,3,6.2652,84.013,272.672,6.1425,82.367,267.331,32.8768,32.8808,26.1545,26.1578,0.1741,3.4022,3.4007,1.2225,31.229
ctd040,11-Sep-20,8:04:12,4,6.278,84.195,273.232,6.1352,82.279,267.014,32.8757,32.8791,26.1531,26.1559,0.1696,3.4072,3.4067,1.1608,30.809
ctd040,11-Sep-20,8:05:33,5,6.6939,92.276,291.45,6.5556,90.369,285.428,32.5057,32.5109,25.7369,25.7411,1.0281,4.6409,4.6413,0.693,15.346
ctd040,11-Sep-20,8:05:35,6,6.7161,92.385,292.408,6.6089,90.91,287.74,32.5215,32.5277,25.7593,25.7638,0.9585,4.5485,4.552,0.7432,15.908
ctd040,11-Sep-20,8:06:45,7,7.0411,100.125,306.725,6.9189,98.387,301.403,32.0383,32.041,25.2032,25.2044,2.5176,6.0807,6.0882,0.3923,4.102
ctd040,11-Sep-20,8:06:46,8,7.0134,99.482,305.499,6.9429,98.483,302.431,32.095,32.0913,25.2627,25.2574,2.4414,5.9585,5.979,0.4173,4.664
ctd041,11-Sep-20,10:02:14,1,6.1166,81.844,266.194,5.9984,80.263,261.049,32.9261,32.9289,26.203,26.205,0.2342,3.3011,3.3037,1.7061,42.689
ctd041,11-Sep-20,10:02:15,2,6.1066,81.725,265.757,5.9985,80.278,261.053,32.9238,32.9259,26.2005,26.201,0.2591,3.309,3.3218,1.3374,42.311
ctd041,11-Sep-20,10:03:23,3,7.5473,103.742,328.539,7.369,101.291,320.775,32.7435,32.7496,25.9452,25.9504,1.5528,4.4557,4.4519,0.6118,30.981
ctd041,11-Sep-20,10:03:24,4,7.5236,103.46,327.508,7.3712,101.366,320.877,32.7353,32.7435,25.9365,25.9439,1.6174,4.4759,4.4675,0.5855,30.655
