ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19629	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_1963	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Amphidiniopsidaceae	NA	NA
ASV_19630	Eukaryota	Annelida	Polychaeta	Terebellida	Flabelligeridae	NA	NA
ASV_19631	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	NA	NA	NA
ASV_19632	Eukaryota	Dinophyceae__p	Dinophyceae	Gonyaulacales	Amphidomataceae	NA	NA
ASV_19633	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19634	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_19635	Eukaryota	Acantharea__p	Acantharea	Symphyacanthida	NA	NA	NA
ASV_19636	Eukaryota	Porifera	Demospongiae	Dendroceratida	Darwinellidae	Aplysilla	NA
ASV_19638	Eukaryota	Raphidophyceae__p	Raphidophyceae	Chattonellales	Vacuolariaceae	NA	NA
ASV_19639	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Warnowiaceae	Cyklopsia	Cyklopsia gemma
ASV_1964	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_19640	Eukaryota	Cercozoa	Thecofilosea	Ventricleftida	NA	NA	NA
ASV_19641	Eukaryota	Platyhelminthes	Trematoda	Diplostomida	NA	NA	NA
ASV_19642	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19643	Eukaryota	Chrysophyceae__p	Chrysophyceae	NA	NA	NA	NA
ASV_19645	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	NA	NA	NA
ASV_19646	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_19647	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19648	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19649	Eukaryota	Ichthyosporea__p	Ichthyosporea	NA	NA	NA	NA
ASV_1965	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	NA	NA	NA
ASV_19650	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19651	Eukaryota	Porifera	Demospongiae	Haplosclerida	Phloeodictyidae	Calyx	Calyx sp_ NIWAKD1132
ASV_19652	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19654	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Lanassa	Lanassa venusta
ASV_19655	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_19656	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19658	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_19659	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_1966	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	Chrysolepidomonadaceae	NA	NA
ASV_19660	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_19661	Eukaryota	Rigifilida__c__p	Rigifilida__c	Rigifilida	NA	NA	NA
ASV_19662	Eukaryota	Oomycota	NA	NA	NA	NA	NA
ASV_19663	Eukaryota	Platyhelminthes	Catenulida	Stenostomidae__o	Stenostomidae	Rhynchoscolex	Rhynchoscolex simplex
ASV_19664	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_19665	Eukaryota	Gastrotricha	Chaetonotida__c	Chaetonotida	Chaetonotidae	Halichaetoderma	Halichaetoderma rivale
ASV_19666	Eukaryota	Evosea	Eumycetozoa	Physariida	Didymiaceae	NA	NA
ASV_19667	Eukaryota	Endomyxa	Vampyrellida__c	Vampyrellida	Leptophryidae	NA	NA
ASV_19668	Eukaryota	Endomyxa	Vampyrellida__c	Vampyrellida	NA	NA	NA
ASV_19669	Eukaryota	Ichthyosporea__p	Ichthyosporea	NA	NA	NA	NA
ASV_1967	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	NA
ASV_19670	Eukaryota	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	NA
ASV_19671	Eukaryota	Ciliophora	Oligohymenophorea	Pleuronematida	Cyclidiidae	Cyclidium	Cyclidium sp_
ASV_19672	Eukaryota	Chytridiomycota	Chytridiomycetes	Cladochytriales	NA	NA	NA
ASV_19674	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Lebertiidae	Lebertia	Lebertia sp_ HP_Hyd014
ASV_19676	Eukaryota	Ciliophora	Spirotrichea	Urostylida	Urostylidae	Tunicothrix	NA
ASV_19678	Eukaryota	Nematoda	NA	NA	NA	NA	NA
ASV_19679	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	NA	NA	NA
ASV_1968	Eukaryota	Ciliophora	Spirotrichea	NA	NA	NA	NA
ASV_19680	Eukaryota	Chrysophyceae__p	Chrysophyceae	Hibberdiales	Stylococcaceae	Lagynion	Lagynion scherffelii
ASV_19681	Eukaryota	Ciliophora	Colpodea	Grossglockneriida	Grossglockneriidae	Pseudoplatyophrya	NA
ASV_19683	Eukaryota	Ciliophora	Colpodea	Cyrtolophosidida	Platyophryidae	Platyophrya	Platyophrya bromelicola
ASV_19684	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Pedinellales	Pseudopedinella__f	NA	NA
ASV_19685	Eukaryota	Annelida	Clitellata	Enchytraeida	Enchytraeidae	NA	NA
ASV_19686	Eukaryota	Dinophyceae__p	Dinophyceae	Gonyaulacales	NA	NA	NA
ASV_19687	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia albidosimilis
ASV_19688	Eukaryota	Sanchytriomycota	Sanchytriomycetes	Sanchytriales	Sanchytriaceae	NA	NA
ASV_19689	Eukaryota	Ciliophora	Spirotrichea	NA	NA	NA	NA
ASV_1969	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros contortus
ASV_19690	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	NA	NA	NA
ASV_19691	Eukaryota	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	NA	NA
ASV_19692	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19693	Eukaryota	Cercozoa	Glissomonadida__c	Glissomonadida	Viridiraptoridae	Viridiraptor	NA
ASV_19694	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	Chromulinaceae	Uroglena	Urostipulosphaera sp_ CCMP2768
ASV_19695	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_19696	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Protaspis	NA
ASV_19697	Eukaryota	Cryptophyceae__p	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	NA	NA
ASV_19698	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	NA	NA	NA
ASV_19699	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	NA	NA	NA
ASV_197	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
ASV_1970	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19700	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	NA	NA	NA
ASV_19701	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19702	Eukaryota	Arthropoda	Ostracoda	Halocyprida	Halocyprididae	Conchoecissa	NA
ASV_19703	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19704	Eukaryota	Foraminifera	Astrorhizida__c	Astrorhizida	Astrorhizidae	NA	NA
ASV_19705	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19706	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19707	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19708	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19709	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1971	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_19710	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19711	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19712	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19713	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19714	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19715	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19716	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19717	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_19718	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19719	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1972	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	NA
ASV_19721	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19723	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19724	Eukaryota	Dinophyceae__p	Dinophyceae	Dinophysales	Dinophysaceae	Histioneis	NA
ASV_19725	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	NA	NA
ASV_19726	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19727	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19728	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19729	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1973	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Warnowiaceae	Cyklopsia	Cyklopsia gemma
ASV_19730	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19731	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19732	Eukaryota	Cercozoa	Cyranomonas__f__o__c	Cyranomonas__f__o	NA	NA	NA
ASV_19733	Eukaryota	Euglenozoa	Kinetoplastea	Ichthyobodonidae__o	NA	NA	NA
ASV_19734	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Protoperidiniaceae	NA	NA
ASV_19735	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19736	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19737	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19738	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19739	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1974	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19740	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19741	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19742	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19744	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19745	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19746	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19747	Eukaryota	Foraminifera	NA	NA	NA	NA	NA
ASV_19748	Eukaryota	Acantharea__p	Acantharea	NA	NA	NA	NA
ASV_19749	Eukaryota	Heterolobosea	NA	NA	NA	NA	NA
ASV_1975	Eukaryota	Discosea	Flabellinia	Vannellidae__o	NA	NA	NA
ASV_19750	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19751	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19752	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19755	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19756	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19757	Eukaryota	Arthropoda	Malacostraca	Cumacea	Nannastacidae	Campylaspis	Campylaspis globosa
ASV_19758	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19759	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1976	Eukaryota	Eustigmatophyceae__p	Eustigmatophyceae	Goniochloridales	NA	NA	NA
ASV_19760	Eukaryota	Dinophyceae__p	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	NA
ASV_19762	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19763	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19764	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19765	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	NA	NA	NA
ASV_19766	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19768	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_1977	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
