x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_POSITIVE
ASV_11147	0	0	0	0	0	0	0	26	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	7	1	4	1	10	0	0
ASV_11148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
ASV_11149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11151	516	276	147	192	211	549	229	822	757	2725	64	850	1906	1088	1027	51	493	71	49	5	0	328	0	33	0	166	163	158	236	192	224	142	134	730	323	259	516	309	366	507	68	366	29	152	24	118	203	83	0	65	194	82	0	272	36	44	352	250	403	242	0	0	25	0	0	0	0	0	0	51	112	0
ASV_11152	0	0	0	0	0	0	0	15	0	0	1581	1176	0	0	0	350	2714	143	0	0	0	0	0	0	0	0	0	0	26	74	66	0	0	0	0	0	0	0	0	0	384	1295	2464	548	310	661	941	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11157	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	121	94	22	0	0	0	0	0	0	0	0	0	0	131	107	0	0	170	9	35	36	9	38	0	0	0	0	0	0	0	0	0	0	0	1
ASV_11165	210	0	0	94	0	73	0	16	0	0	0	43	0	0	0	0	0	8	49	45	0	0	0	0	53	196	0	19	70	0	43	19	0	0	0	0	15	12	46	0	0	0	0	10	0	22	86	9	0	94	34	50	15	128	0	10	22	15	38	23	0	0	0	58	29	25	17	13	7	0	0	0
ASV_1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	484	362	324	387	524	0	0	0
ASV_11170	0	0	350	9304	0	162	55	159	0	0	323	34	9333	15948	29507	0	607	0	0	17	0	0	1342	35	0	1115	1330	3821	1162	27	0	0	921	0	532	0	0	0	0	11	0	0	0	0	62	16	0	32	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
