dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1319_OC1021	100204	88663	88428	88424	87660	86991	86.8
MP_E1320_OC1021	94171	88633	88524	88527	88160	87999	93.4
MP_E1321_OC1021	79906	75445	75375	75384	75202	75096	94
MP_E1322_OC1021	94145	88079	87923	87862	87465	86632	92
MP_E1323_OC1021_PCR1	79626	73626	73610	73601	73409	73378	92.2
MP_E1323_OC1021_PCR2	90532	86188	86157	86168	85937	85832	94.8
MP_E1323_OC1021_PCR3	69505	63405	63385	63375	63187	63136	90.8
MP_E1324_OC1021_PCR1	94827	86070	86022	86062	85359	85237	89.9
MP_E1324_OC1021_PCR2	109808	103395	103341	103372	103171	103036	93.8
MP_E1324_OC1021_PCR3	95367	88627	88604	88613	88029	87976	92.2
MP_E1325_OC1021_PCR1	84211	77414	77393	77342	77157	77102	91.6
MP_E1325_OC1021_PCR2	83149	74639	74628	74620	74498	74408	89.5
MP_E1325_OC1021_PCR3	85737	77817	77795	77795	77680	77448	90.3
MP_E1389_OC0722	86829	80998	80983	80950	79762	76874	88.5
MP_E1390_OC0722	108367	102914	102850	102861	102377	100865	93.1
MP_E1391_OC0722	99524	94090	94051	94048	93647	92704	93.1
MP_E1403_OC0722	149583	142466	142322	142298	141595	136971	91.6
MP_E1404_OC0722	91074	84150	84035	84047	83795	83587	91.8
MP_E1406_OC0722	151814	144191	144101	144059	143400	141324	93.1
MP_E1408_OC0722	84120	79343	79196	79160	78467	72263	85.9
MP_E1410_OC0722	104005	100456	100442	100424	100158	99983	96.1
MP_E1412_OC0722	125261	117512	117448	117445	116968	114620	91.5
MP_E1414_OC0722	88783	84759	84704	84736	84458	83930	94.5
MP_E1416_OC0722	118409	111285	111180	111194	110284	106272	89.7
MP_E1418_OC0722	108756	102489	102435	102415	101945	100477	92.4
MP_E1420_OC0722	124639	116895	116753	116761	115961	113682	91.2
MP_E1422_OC0722	129295	121738	121578	121602	120587	116833	90.4
MP_E1424_OC0722	127823	118978	118603	118555	117232	114661	89.7
MP_E1426_OC0722	138793	131715	131662	131620	130849	127754	92
MP_E1845_OC0623	110239	97001	96930	96953	96345	95293	86.4
MP_E1846_OC0623	125379	117894	117849	117831	117282	115589	92.2
MP_E1847_OC0623	94779	88011	87936	87944	87473	86170	90.9
