sample	lat	long	replicate	Site	Depth	bottle	oxy_concM_ch1 (ml/l)	oxy_percentsat_ch1 (percent)	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1	sigma_t_ch2	chlor_fluorescence (ugrams/l)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	turbidity (NTU)	pressure (decibar)	time (UTC)
E1718.DY2306	54.40583333	-165.1476667	E1718	UBS2	138	1	7.3127	99.448	318.349	32.5947	32.5971	25.8677	25.8695	0.3252	4.0554	4.0554	0.4115	135.51	2023-04-24T08:51:00Z
E1719.DY2306	54.40583333	-165.1476667	E1719	UBS2	30	7	8.338	112.965	363.146	32.0308	32.0351	25.4193	25.4227	1.9902	4.0567	4.0572	0.3467	29.952	2023-04-24T08:51:00Z
E1720.DY2306	54.36016667	-165.9316667	E1720	UBW1	471	1	2.7831	38.216	121.062	33.6372	33.638	26.6853	26.6856	0.0277	4.1642	4.1679	0.0811	471.772	2023-04-24T14:44:00Z
E1721.DY2306	54.36016667	-165.9316667	E1721	UBW1	30	8	8.5335	115.319	371.546	32.393	32.3962	25.7271	25.7296	1.078	3.8519	3.8524	0.1718	30.392	2023-04-24T14:44:00Z
E1722.DY2306	54.36016667	-165.9316667	E1722	UBW1	10	10	9.4735	129.471	412.515	32.3231	32.3262	25.6238	25.6264	6.1454	4.3348	4.3338	0.5047	10.404	2023-04-24T14:44:00Z
E1723.DY2306	54.68683333	-166.2301667	E1723	UBW4	291	1	3.5711	49.134	155.359	33.4956	33.4983	26.5602	26.5623	0.0214	4.2859	4.286	0.2261	290.247	2023-04-24T22:34:00Z
E1724.DY2306	54.68683333	-166.2301667	E1724	UBW4	30	7	8.7377	119.105	380.475	32.3151	32.3154	25.6281	25.6276	3.2748	4.2294	4.2365	0.3193	30.162	2023-04-24T22:34:00Z
E1725.DY2306	54.68683333	-166.2301667	E1725	UBW4	10	9	8.7155	118.883	379.513	32.3039	32.3069	25.6161	25.6184	2.7084	4.2603	4.2609	0.3253	10.924	2023-04-24T22:34:00Z
E1726.DY2306	54.93516667	-165.4825	E1726	UBN4	125	1	6.7217	91.765	292.561	32.8681	32.8715	26.0766	26.0793	0.0852	4.1388	4.139	0.2496	122.003	2023-04-25T06:00:00Z
E1727.DY2306	54.93516667	-165.4825	E1727	UBN4	30	6	8.2318	111.592	358.476	32.176	32.1789	25.5362	25.5385	1.7111	4.0414	4.0416	0.253	31.001	2023-04-25T06:00:00Z
E1728.DY2306	54.93516667	-165.4825	E1728	UBN4	10	8	8.7375	118.587	380.533	32.0806	32.0839	25.4531	25.4557	3.1885	4.1159	4.1158	0.3452	11.241	2023-04-25T06:00:00Z
E1729.DY2306	55.0475	-165.097	E1729	UBN6	113	1	7.4973	101.778	326.393	32.5644	32.5674	25.85	25.8523	0.2876	3.9908	3.9908	0.2839	110.598	2023-04-25T08:41:00Z
E1730.DY2306	55.0475	-165.097	E1730	UBN6	30	5	8.7328	118.415	380.345	32.0192	32.0221	25.4063	25.4087	3.0418	4.0952	4.0953	0.3547	30.527	2023-04-25T08:41:00Z
E1731.DY2306	55.0475	-165.097	E1731	UBN6	10	8	8.5225	115.566	371.189	32.008	32.011	25.397	25.3994	3.293	4.0995	4.0993	0.3871	10.314	2023-04-25T08:41:00Z
E1732.DY2306	54.722	-164.7745	E1732	UBE3	48	1	8.9651	120.624	390.562	31.6641	31.6666	25.1452	25.1472	2.5927	3.8749	3.8748	0.4574	44.066	2023-04-25T13:28:00Z
E1733.DY2306	54.722	-164.7745	E1733	UBE3	30	3	8.9742	120.728	390.959	31.6553	31.6577	25.1386	25.1405	2.8155	3.8713	3.8711	0.4589	30.241	2023-04-25T13:28:00Z
E1734.DY2306	54.722	-164.7745	E1734	UBE3	10	5	8.9893	120.868	391.623	31.6393	31.6417	25.1274	25.1294	2.6406	3.8543	3.8544	0.4429	10.628	2023-04-25T13:28:00Z
E1735.DY2306	58.27933333	-170.1093333	E1735	70M26	72	1	8.1218	99.499	353.578	32.2039	32.2063	25.8481	25.85	0.3882	0.0278	0.0279	1.0489	65.621	2023-04-27T02:44:00Z
E1736.DY2306	58.27933333	-170.1093333	E1736	70M26	30	4	8.5553	103.486	372.512	31.9729	31.9748	25.6793	25.6808	0.9108	-0.3928	-0.3918	0.3761	31.23	2023-04-27T02:44:00Z
