Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1147.NC.DY2206,NA,NA,TRUE,DY2206,EcoFoci Spring Mooring 2022,NA,NA,NA,NA,NC Start,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Emily Lemagie,NA
E1148.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/11/2022,NA,13:59,NA,,1,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,72,56˚ 51.79' N,164˚ 01.91' W,1000,Emily Lemagie,s1h1
E1149.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/11/2022,NA,13:59,NA,,1,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,30,56˚ 51.79' N,164˚ 01.91' W,1000,Emily Lemagie,s1h1
E1150.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/11/2022,NA,13:59,NA,,1,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,1,56˚ 51.79' N,164˚ 01.91' W,1000,Emily Lemagie,s1h1
E1151.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,7:41,NA,,3,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,69,56˚ 56.44' N,163˚ 50.22' W,1000,Emily Lemagie,s4h1
E1152.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,7:41,NA,,3,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,30,56˚ 56.44' N,163˚ 50.22' W,1000,Emily Lemagie,s4h1
E1153.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,7:41,NA,,3,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,1,56˚ 56.44' N,163˚ 50.22' W,1000,Emily Lemagie,s4h1
E1154.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,21:46,NA,,7,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,72,56˚ 51.56' N,164˚ 03.38' W,1000,Emily Lemagie,s7h3
E1155.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,21:46,NA,,7,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,30,56˚ 51.56' N,164˚ 03.38' W,1000,Emily Lemagie,s7h3
E1156.DY2206,1,1,FALSE,DY2206,EcoFoci Spring Mooring 2022,5/12/2022,NA,21:46,NA,,7,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,1,56˚ 51.56' N,164˚ 03.38' W,1000,Emily Lemagie,s7h3
