ASV	Multi_taxID_entry	USED
ASV_14866	2896135;2896136;2896142;2896144;2896146;2896149;2896150;2896151;2896155;2896157;2896159	TRUE
ASV_14926	2872752, 2872750;2872751, 168771	FALSE
ASV_14936	1072375, 940420;1072375	FALSE
ASV_14939	2440930;2440933, 2440935	FALSE
ASV_14945	2861502;2861591;2861634, 2861414	FALSE
ASV_14961	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_15338	236714, 1656575, 236714;1656575;1864008	FALSE
ASV_15366	1893352, 1893350;1893354;1893360, 1893363	FALSE
ASV_1540	1072375, 940420;1072375	FALSE
ASV_15558	1474015;1749998	TRUE
ASV_15560	2554787;2554789	TRUE
ASV_15579	1577959, 1704126, 1704123;1704128	FALSE
ASV_15615	2109117;2109207	TRUE
ASV_15639	3037938;3054743	TRUE
ASV_15640	833947, 833947;1128590	FALSE
ASV_1570	112081;112083	TRUE
ASV_15740	2554787;2554789	TRUE
ASV_15772	2933822;2933823, 2933821	FALSE
ASV_15796	2248593, 2248656, 2248654, 2248653, 2248737, 2248648;2248649;2248650;2248651;2248652;2248655;2248657;2248658;2248659;2248660;2248661, 2248647, 2248592	FALSE
ASV_15908	874583, 653028;874583	FALSE
ASV_1595	2861502;2861591;2861634, 2861414	FALSE
ASV_16010	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_16054	463917, 463917;2569915	FALSE
ASV_16099	6116, 6116;2834557	FALSE
ASV_16161	1474169, 1881774, 2164184, 1881774;1888100;2164184;2553912	FALSE
ASV_16214	1714609, 1714607;1714608;1714610;1714611, 743461	FALSE
ASV_16272	1527899;1674550	TRUE
ASV_16292	2000395, 2000350, 1988522, 1988805;1991555;1991659;1994702;1997205;2000432;2000462;2000479	FALSE
ASV_16340	2483315;2483319;2483325;2483331	TRUE
ASV_16381	1376081;1376146	TRUE
ASV_16392	90936;859642;859643, 859642, 90936	FALSE
ASV_16442	29159, 2171618, 74437, 29159;2171618	FALSE
ASV_16453	1714609, 1714607;1714608;1714610;1714611, 743461	FALSE
ASV_16513	1072375, 940420;1072375	FALSE
ASV_16528	360399, 134455;360399	FALSE
ASV_16602	82945;2125992	TRUE
ASV_1661	2483315;2483319;2483325;2483331	TRUE
ASV_16628	189646, 902892, 189646;902892	FALSE
ASV_16665	2440930;2440933, 2440935	FALSE
ASV_16719	1049592, 1704120, 1704119;1704127, 1704127	FALSE
ASV_16720	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
ASV_16792	2554787;2554789	TRUE
ASV_16812	3037938, 3054736;3054753	FALSE
ASV_16822	2229230;2229233;2229234	TRUE
ASV_16842	1132395, 1132395;2411485, 2333971	FALSE
ASV_16854	2440930;2440933, 2440935	FALSE
ASV_16917	112081;112083	TRUE
ASV_1693	2394313, 2324751;2394979	FALSE
ASV_16936	1893352, 1893350;1893354;1893360, 1893363	FALSE
ASV_16941	2935851, 2935848;2935849;2935850	FALSE
ASV_17074	1692615, 1692615;2548600	FALSE
ASV_17086	1742020, 1742020;1888048	FALSE
ASV_17245	1557684, 1375029, 1557684;1557686, 1557686	FALSE
ASV_17280	842478;1102934	TRUE
ASV_17308	837100;1099360	TRUE
ASV_1733	1072375, 940420;1072375	FALSE
ASV_17341	1428570, 1052040, 1034652, 633638, 632150;1034652	FALSE
