Summary stat	MP_E370	MP_E373	MP_E378	MP_E380	MP_E384_3B	MP_E386_1B	MP_E388_1B	MP_E392	MP_E394	MP_E395	MP_E396	MP_E404	MP_E405	MP_E406	MP_E408	MP_E411_1T	MP_E412_1B	MP_E412_2T	MP_E412_3T	MP_E413_1B	MP_E413_2B	MP_E413_3B	MP_E418_1B	MP_E418_2T	MP_E418_3T	MP_E419_1B	MP_E419_2B	MP_E419_3B	MP_E423	MP_E424	MP_E425	MP_E427	MP_E428	MP_E429	MP_E430	MP_E431	MP_E432	MP_E433	MP_E434	MP_E435	MP_E436	MP_E437	MP_E438	MP_E440	MP_E441	MP_E442	MP_E444	MP_E445	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E447_1B_PCR1	MP_E447_2B_PCR1	MP_E447_3B_PCR1	MP_E448_1B_PCR1	MP_E448_2B_PCR1	MP_E448_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E450_1B_PCR1	MP_E450_2B_PCR1	MP_E450_3B_PCR1	MP_E451	MP_E453	MP_E454	MP_E455	MP_E458_1B	MP_E463	MP_E464	MP_E465	MP_E466_1B	MP_E466_2B	MP_E466_3B	MP_E467	MP_E469	MP_E470	MP_E471	MP_E472	MP_E474	MP_E475_PCR1	MP_E476	MP_E477	MP_E478	MP_E479	MP_E486_PCR1	MP_E487	MP_E488	MP_E489	MP_E490	MP_E491	MP_E492_1B_PCR1	MP_E494_PCR1	MP_E495_PCR1	MP_E496_1T_PCR1	MP_E496_2T_PCR1	MP_E496_3B_PCR1	MP_E497_PCR1	MP_E498_1B_PCR1	MP_E498_2B_PCR1	MP_E498_3B_PCR1	MP_E499	MP_E501	MP_E502	MP_E503	MP_E504	MP_E505	MP_E506	MP_E516	MP_E520_1B	MP_E522_1B	MP_E522_2T	MP_E522_3T	MP_E523_1B	MP_E523_2B	MP_E523_3B	MP_E524	MP_E528	MP_E529	MP_E531	MP_E532	MP_E533	MP_E534	MP_E535	MP_E536	MP_E537	MP_E538	MP_E539	MP_E540	MP_E541	MP_E542	MP_E543	MP_E544	MP_E545	MP_E552	MP_E555	MP_E557	MP_E560	MP_E561	MP_E562	MP_E563	MP_E564	MP_E565	MP_E566	MP_E567	MP_E568	MP_E569	MP_E570	MP_E571	MP_E572	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E574_1B_PCR1	MP_E574_2B_PCR1	MP_E574_3B_PCR1	MP_E575_1B_PCR1	MP_E575_2B_PCR1	MP_E575_3B_PCR1	MP_E579	MP_E580	MP_E581	MP_E583	MP_E588	MP_E590	MP_E592	MP_E593	MP_E594	MP_E595	MP_E596	MP_E597	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E599_PCR1	MP_E600_1B_PCR1	MP_E600_2B_PCR1	MP_E600_3B_PCR1	MP_E601	MP_E602	MP_E603	MP_E604	MP_E605	MP_E606	MP_E607	MP_E609	MP_E622	MP_E623	MP_E626	MP_E627	MP_E632	MP_E633	MP_E634	MP_E635	MP_E636	MP_E637	MP_E638	MP_E639	MP_E640	MP_E649	MP_E650	MP_E653	MP_E654	MP_E655	MP_E656	MP_E657	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E659_1B	MP_E659_2B	MP_E659_3B	MP_E660_1B	MP_E660_2B	MP_E660_3B	MP_E661	MP_E663	MP_E666	MP_E667	MP_E675_1B	MP_E680	MP_E681	MP_E685	MP_E686	MP_E687	MP_E688	MP_E689	MP_E690	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E692_1B	MP_E692_2B	MP_E692_3B	MP_E693_1B	MP_E693_2B	MP_E693_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E695_1B	MP_E695_2B	MP_E695_3B	MP_E696_1B	MP_E696_2B	MP_E696_3B	MP_E699	MP_E700	MP_E707	MP_E709	MP_E713	MP_E715	MP_E716	MP_E718	MP_E721	MP_E724	MP_E725_1B	MP_E730_1B	MP_E733	MP_E737	MP_E742_1B	MP_E742_2T	MP_E742_3T	MP_E746	MP_E747	MP_E748	MP_E749	MP_E750	MP_E753	MP_E756	MP_E757	MP_E758	MP_E759	MP_E760	MP_E761	MP_E768_1B	MP_E769_1B	MP_E769_2T	MP_E769_3T	MP_E770	MP_E771	MP_E772_1B	MP_E772_2B	MP_E772_3B	MP_E773	MP_E774	MP_E775	MP_E780	MP_E781	MP_E784	MP_E785	MP_E788_1B	MP_E788_2B	MP_E788_3B	MP_E789	MP_E792	MP_E400	MP_E798	MP_E800	MP_E801	MP_E804	MP_E805	MP_E809_1B	MP_E809_2T	MP_E809_3T	MP_E810_1B	MP_E810_2B	MP_E810_3B	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E812	MP_E813_1B	MP_E813_2B	MP_E813_3B	MP_E814_1B	MP_E814_2B	MP_E814_3B	MP_E819	MP_E822	MP_E823	MP_E824	MP_E825	MP_E826	MP_E829	MP_E831	MP_E832	MP_E833	MP_E840	MP_E841	MP_E843	MP_E846	MP_E852	MP_E853	MP_E854	MP_E855	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E861_1B	MP_E861_2B	MP_E861_3B	MP_E862_1B	MP_E862_2B	MP_E862_3B	MP_E866	MP_E867	MP_E868	MP_E869	MP_E870	MP_E871	MP_E856	MP_E857	MP_E858	MP_E859	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E873_1B	MP_E873_2B	MP_E873_3B	MP_E874_1B	MP_E874_2B	MP_E874_3B	MP_E875	MP_E876	MP_E880	MP_E881	MP_E885_1B	MP_E885_2T	MP_E885_3T	MP_E886_1B	MP_E886_2B	MP_E886_3B	MP_E892	MP_E895	MP_E896	MP_E901	MP_E903_1B	MP_E904_1B	MP_E904_2B	MP_E904_3B	MP_E907	MP_POSITIVE	All_Samples
Total ASVs	481	785	650	769	950	503	502	1202	1212	620	763	677	1341	659	1260	1109	915	1112	1056	640	590	658	1261	1371	1269	760	583	685	882	621	633	1438	1475	1254	898	1323	1473	1290	918	1640	1968	1286	1504	1799	677	1498	1230	833	1237	1560	1325	614	647	516	576	495	582	822	753	838	707	723	656	756	1544	542	731	510	1355	966	715	614	642	762	660	751	851	625	663	607	424	478	604	538	536	999	729	2054	919	789	778	1110	1207	1226	660	714	660	546	529	614	619	1150	1051	1811	805	669	661	529	505	539	625	1803	1752	773	602	600	847	1042	1150	618	1331	2023	1650	710	1108	1749	1545	572	523	827	835	624	554	634	379	716	667	1511	1266	1719	1835	765	1622	1454	1732	753	1320	1198	1696	852	1214	1074	1209	850	1363	561	497	518	534	419	915	772	543	658	837	1709	527	853	1382	1318	618	927	1048	1320	1167	476	479	567	1213	1218	829	945	892	961	942	621	1290	698	1447	541	945	1146	556	426	582	484	392	437	442	857	749	1053	834	911	1201	1296	1486	1160	1439	1276	955	1028	1092	547	816	1472	901	1176	952	1478	1199	994	1332	1159	921	1079	1271	1264	1244	1238	894	1034	1031	914	838	1010	1215	1354	930	830	1521	1197	1376	875	844	957	1328	895	362	726	993	1048	1133	1159	897	1233	713	1019	481	926	616	667	582	1890	1124	926	1176	1372	676	1297	609	1039	1512	656	1192	1165	1507	1325	762	1158	997	1007	565	848	1097	1041	1022	1616	1081	1435	924	649	697	683	844	956	391	587	1366	1108	1748	956	1304	1364	1197	977	845	1000	1290	1503	1494	1631	1631	1579	1565	735	846	1119	1171	1504	1054	69	1262	72	1508	1692	1086	1103	1036	979	896	669	1400	919	610	526	1326	1331	1218	1012	967	903	584	794	811	1568	1018	553	926	895	1194	982	779	1044	1138	1293	1129	1158	1103	1150	1152	1280	1125	1459	1260	1222	1284	1058	1498	1599	1468	920	1305	1145	1262	1387	510	883	1354	879	956	1027	847	40	71854
Total ASVs, unique taxonomy	144	165	154	176	177	123	112	176	173	131	147	162	206	147	237	212	188	206	199	187	169	189	228	228	210	202	181	187	226	192	189	205	211	200	188	219	203	177	183	238	281	254	215	210	168	201	196	194	214	255	233	149	145	130	139	130	133	197	196	212	191	180	163	145	190	121	153	104	173	173	129	116	111	142	184	226	257	187	194	200	121	135	159	146	148	185	149	218	157	160	180	188	169	149	153	145	139	140	141	137	137	192	174	201	156	140	145	104	114	120	121	205	187	155	142	137	157	176	196	134	215	207	205	145	193	219	200	135	153	176	205	161	159	180	92	125	155	190	182	188	199	158	208	182	205	168	201	173	192	185	214	201	210	181	212	133	144	138	142	133	219	187	126	124	139	209	148	169	191	175	150	146	158	186	183	131	147	143	188	183	180	185	169	208	176	146	196	147	200	128	174	176	135	112	126	114	118	118	120	165	156	159	155	186	234	235	220	193	205	203	188	200	220	160	173	225	187	219	193	209	201	185	198	197	181	207	231	243	218	218	181	192	188	173	191	204	221	216	188	183	205	172	175	190	187	183	205	185	125	181	212	234	237	236	181	211	145	184	127	192	149	155	149	201	195	174	195	216	170	209	155	204	247	148	216	182	191	196	159	181	169	184	139	161	191	204	197	203	207	205	186	154	150	159	172	189	102	142	198	213	221	201	194	200	200	203	176	208	208	228	234	226	237	229	216	176	197	235	220	208	228	36	251	26	179	222	187	202	148	205	188	111	163	195	156	137	196	206	198	191	206	206	148	169	165	212	197	143	200	198	220	176	171	193	202	198	191	198	205	210	215	214	201	224	236	214	176	190	185	192	172	176	200	200	201	179	145	182	167	171	191	192	167	12	1717
Percent ASVs with Taxonomic Classification	83.16	95.8	90	94.41	83.89	95.03	54.38	54.99	62.38	90.97	61.73	90.25	76.88	94.39	89.92	86.2	86.34	87.14	83.71	96.41	94.58	95.14	85.49	84.17	83.85	94.21	94.68	95.04	92.29	93.08	95.58	72.74	69.49	70.41	93.65	75.43	67.75	78.6	93.68	74.76	75.61	87.79	59.18	59.81	94.53	52.07	65.2	93.88	83.67	82.44	82.87	95.6	95.05	93.8	96.01	96.77	95.19	92.34	93.23	91.65	93.78	96.27	94.82	53.97	60.75	92.44	95.49	59.8	57.64	92.24	94.27	93	93.77	94.09	96.97	95.21	94.71	95.36	96.38	94.89	97.41	96.44	96.52	94.42	94.96	73.27	77.5	62.46	77.91	91.25	94.73	69.01	71.67	63.62	92.42	92.86	94.09	96.89	95.09	95.28	95.48	68.35	69.74	62.51	91.3	94.02	94.86	51.04	60.79	61.41	66.88	54.41	53.31	93.4	94.68	96	56.2	63.15	64.78	95.47	72.35	57.04	71.15	93.38	70.85	62.95	73.59	91.78	85.09	92.74	95.09	92.79	94.04	94.64	63.59	53.07	95.05	58.37	54.42	52.47	57.6	93.86	54.25	53.03	60.57	94.56	58.94	57.68	61.32	95.54	75.04	83.8	80.56	89.53	76.08	87.88	95.57	94.79	96.82	93.56	91.58	94.3	53.22	57.9	58.78	63.6	96.77	80.54	70.91	75.64	95.47	71.31	68.51	67.42	77.21	93.7	95.2	92.77	68.26	74.63	95.42	88.68	90.36	94.28	83.97	95.33	67.29	88.54	70.7	92.98	79.89	78.88	93.17	96.95	92.96	96.07	96.43	96.34	94.8	83.08	92.66	68.95	92.93	87.27	84.01	83.8	73.42	76.81	67.96	75.94	84.5	86.67	85.35	93.42	85.42	67.46	91.23	83.5	86.76	66.85	78.4	94.67	71.17	88.44	94.03	91.29	90.56	93.35	84.49	82.39	84	88.3	86.52	88.07	95.35	94.85	94.24	67.87	76.56	75.78	63.25	69.67	63.08	95.2	95.62	93.83	79.52	94.53	95.03	95.45	95.47	94.37	95.59	95.17	87.85	93.59	85.83	93.62	96.26	94.17	94.81	93.55	93.99	59.26	93.68	93.84	92.94	65.82	96.3	74.94	96.72	89.32	85.91	94.05	73.32	73.99	71.07	68.83	77.3	88.77	94.08	93.05	95.4	95.87	80.04	89.63	95.01	64.85	94.26	73.94	94.37	95.53	93.26	93.56	92.89	94.67	72.63	96.25	61.93	95.4	62.93	96.23	70.63	67.45	68.84	96.52	96.09	97	77.98	80.64	80.46	76.7	77.99	79.29	78.15	96.05	96.69	96.34	95.82	75.2	96.2	95.65	96.12	98.61	55.24	75.06	94.11	95.38	56.18	95.51	95.09	46.79	56.21	95.43	95.41	96.77	76.92	77.31	77.91	94.66	96.28	95.9	96.75	95.59	94.94	67.09	96.17	97.11	95.68	95.98	95.39	66.8	95.38	95.21	94.55	74.17	75.38	74.61	95.92	95.65	95.57	96.25	96.27	96.5	94.52	96.73	56.39	95.75	60.75	59.91	60.76	97.07	96.17	96.42	96.2	63.81	95.49	97.28	59.53	95.79	95.29	94.35	94.92	90	82.05
Phylum Hits	32	37	33	38	38	32	29	33	38	26	28	33	37	31	38	39	38	37	35	38	34	35	42	39	38	36	34	35	41	34	35	38	39	33	34	41	38	37	36	37	43	41	37	43	32	31	37	36	40	44	42	30	29	29	31	29	27	37	39	37	34	31	29	25	35	25	31	20	34	32	25	25	25	30	31	35	38	28	34	32	25	30	32	29	30	39	33	39	35	36	34	38	41	32	34	30	31	30	29	30	31	38	32	40	32	31	30	26	29	25	27	36	37	31	30	27	33	35	36	29	38	43	43	28	37	43	38	27	35	34	34	32	33	31	27	30	31	36	35	38	38	32	38	41	40	33	40	37	38	34	41	41	44	41	41	33	31	27	30	29	37	34	26	27	29	43	33	34	34	34	32	36	36	41	41	29	30	30	39	36	31	39	39	38	39	30	38	32	39	29	37	32	31	30	29	24	28	28	28	31	29	30	28	35	41	38	38	41	42	40	37	36	36	33	34	38	34	41	38	41	37	33	40	38	34	36	38	38	39	38	34	34	34	31	35	36	38	38	36	36	39	36	34	34	36	39	41	38	26	36	40	36	42	40	36	37	33	33	29	34	29	33	28	42	32	35	33	39	32	44	28	40	46	29	40	39	38	36	32	33	29	34	28	27	35	37	36	39	36	42	35	29	27	32	33	39	25	28	40	37	43	36	37	42	38	36	32	37	36	40	40	37	39	38	37	35	35	35	39	40	37	10	38	8	38	35	34	39	37	39	35	25	34	34	35	31	36	33	39	38	38	38	34	36	38	43	38	32	37	37	39	32	37	35	37	34	35	32	34	35	38	37	35	41	36	38	35	38	35	38	31	35	36	34	38	39	30	36	33	33	33	37	34	6	73
Class Hits	55	60	54	65	68	50	43	65	64	47	58	58	69	54	72	70	64	64	62	67	63	62	72	69	67	66	62	61	67	60	59	66	69	59	58	71	68	59	65	70	80	77	68	73	56	61	62	61	67	80	78	56	52	51	53	49	49	64	68	64	60	55	53	47	59	42	54	41	60	54	46	46	43	51	58	71	75	59	70	65	48	52	57	55	54	64	52	68	54	62	60	64	66	51	58	54	54	50	54	52	53	67	55	68	53	54	52	42	48	45	46	59	61	56	51	47	59	61	61	51	70	69	71	53	65	72	66	47	58	63	63	59	58	60	42	49	54	66	59	68	64	55	67	65	65	59	68	65	60	61	71	67	73	66	73	53	53	45	48	51	64	59	50	48	51	70	57	60	64	61	54	57	58	68	69	52	55	53	66	63	58	70	63	69	64	56	65	56	64	48	60	53	48	51	45	44	44	46	45	55	53	52	49	64	72	66	68	68	68	68	62	61	63	57	61	64	56	70	68	69	63	59	70	66	62	69	65	71	70	67	59	61	59	59	59	63	70	73	61	65	64	59	62	58	63	66	65	64	49	65	73	70	74	77	69	64	56	61	48	60	46	52	46	68	61	60	60	69	58	69	50	70	78	51	75	65	65	65	55	62	53	61	53	54	65	69	60	68	62	67	59	55	49	56	56	62	43	49	63	63	72	64	66	70	64	65	57	66	65	75	73	69	69	69	67	60	66	68	69	66	75	16	71	12	66	66	56	69	59	71	62	42	58	65	63	56	66	64	67	69	65	66	60	65	67	74	66	57	69	68	69	59	67	62	70	60	64	58	62	63	64	64	63	73	70	68	57	63	59	65	59	61	65	64	68	63	50	59	58	57	58	63	55	9	176
Order Hits	93	111	97	115	118	82	78	118	112	89	95	99	130	93	141	126	113	123	117	110	104	109	135	131	124	107	106	105	126	116	106	132	135	116	110	136	125	117	113	138	165	145	132	134	102	122	122	108	133	153	137	94	85	80	90	86	86	117	114	120	112	99	97	85	116	78	94	71	118	110	83	76	74	92	108	122	133	98	107	104	77	83	97	87	92	115	91	137	102	109	109	120	113	94	101	100	89	90	99	89	95	117	113	130	97	95	94	71	83	78	83	124	120	102	94	89	99	111	111	83	130	123	132	91	115	133	135	81	98	114	117	104	95	105	64	83	99	126	119	126	128	99	140	120	130	103	129	117	128	109	128	120	131	112	133	95	92	85	83	82	122	105	81	85	89	138	98	107	125	114	97	103	108	122	121	81	92	89	125	120	110	116	109	126	108	101	121	95	129	83	109	108	86	77	79	72	79	80	76	108	97	105	92	111	133	137	139	121	129	124	117	115	122	101	101	132	110	127	119	135	128	110	132	123	114	132	134	142	140	134	119	121	118	112	118	120	132	134	115	118	127	109	112	119	116	109	128	116	80	122	132	135	154	143	123	134	97	116	84	113	90	97	90	131	112	108	119	128	111	131	102	127	147	93	135	113	117	122	101	122	106	118	93	100	115	127	115	132	123	129	113	98	94	104	111	112	78	89	120	122	137	122	120	124	118	119	108	122	129	142	143	140	142	139	135	105	118	134	126	131	137	22	140	17	118	133	120	124	97	127	113	66	107	120	100	88	122	125	128	119	122	117	93	108	103	134	125	96	120	118	134	111	110	120	121	124	113	117	123	121	128	121	113	130	135	121	111	116	118	128	110	112	123	121	121	118	87	108	110	100	109	116	108	10	498
Family Hits	47	40	44	41	45	30	30	54	43	31	47	45	52	38	73	62	57	59	59	50	49	56	66	67	54	62	58	53	72	65	57	59	54	56	43	63	55	41	43	73	83	87	61	50	40	59	51	62	52	72	69	41	39	34	37	33	38	64	61	63	53	46	45	45	46	30	38	30	36	30	32	26	24	32	54	73	82	56	55	57	40	35	45	42	41	52	43	49	35	36	47	43	35	35	37	33	33	32	36	33	33	51	46	47	40	37	33	33	29	38	30	52	43	37	40	32	49	45	52	36	58	50	50	35	52	51	48	34	44	45	59	44	44	53	23	39	36	58	52	39	43	35	58	42	48	46	55	45	43	46	56	56	54	47	55	32	45	46	41	38	68	62	40	32	35	46	38	51	56	39	42	32	34	44	43	41	41	38	48	43	53	43	41	60	41	35	41	41	47	36	51	43	38	26	30	31	30	35	38	32	37	35	36	61	79	77	71	58	64	61	57	65	77	53	56	72	57	68	66	57	56	46	57	51	46	53	61	70	53	54	42	47	45	45	50	55	57	61	56	53	48	37	42	47	56	47	48	40	39	46	62	65	64	65	45	49	34	40	29	51	41	42	41	48	45	41	44	60	44	54	37	54	66	40	55	38	47	55	43	39	36	40	33	38	52	52	44	43	45	51	41	45	40	42	44	39	20	36	40	51	59	50	46	48	53	44	43	50	50	62	62	56	59	56	50	40	54	64	52	46	56	13	73	12	49	46	29	44	30	45	40	28	39	43	32	27	43	45	44	41	46	44	32	36	31	48	39	30	50	50	52	42	34	38	40	45	45	48	47	48	48	41	43	53	66	47	40	35	33	28	30	36	37	39	38	39	35	35	32	39	40	42	34	6	521
Genus Hits	25	24	27	27	29	16	18	33	33	24	36	34	43	22	47	38	35	40	38	37	31	42	44	48	38	48	41	44	54	44	43	38	36	41	31	38	40	27	30	45	58	57	40	32	31	38	34	45	38	47	43	28	25	19	23	22	20	43	41	45	36	30	30	35	34	22	26	19	23	24	25	22	20	28	46	59	63	50	44	49	30	27	32	30	28	37	25	35	31	24	31	30	27	24	28	19	22	26	26	26	26	35	30	34	31	28	27	22	22	30	20	37	30	27	29	26	39	34	34	22	43	35	30	21	38	40	30	25	32	32	44	31	31	39	18	24	29	42	37	22	26	25	41	25	32	34	40	24	21	32	41	38	32	34	40	20	28	33	29	26	52	46	31	21	21	34	25	37	42	30	29	19	25	22	27	24	27	21	37	31	38	28	28	42	23	21	29	29	33	20	38	27	21	14	19	23	21	22	22	25	30	24	27	37	51	52	44	35	36	36	32	34	54	37	31	45	40	44	45	36	39	34	38	33	32	40	40	56	35	39	30	31	30	25	39	39	39	37	38	34	28	26	25	32	37	36	31	30	22	29	40	53	50	47	27	38	19	32	23	38	37	31	31	30	35	32	29	39	32	35	26	34	43	29	37	23	28	32	27	25	25	32	24	28	30	35	29	28	33	33	24	37	31	29	31	32	13	24	23	36	35	31	29	29	31	29	27	32	33	37	43	34	40	34	29	29	40	47	37	30	42	12	48	9	28	27	23	34	13	29	26	19	21	29	21	20	27	27	30	26	32	34	23	29	23	28	27	20	35	30	32	29	25	24	29	33	28	30	34	32	33	29	31	37	48	35	23	25	21	19	21	27	29	30	30	24	28	24	25	24	26	28	25	4	576
Species Hits	17	21	23	22	27	14	14	25	25	20	27	30	37	21	40	32	33	36	31	37	29	40	37	41	33	45	41	45	52	45	43	34	36	39	31	34	36	26	29	46	56	54	33	28	32	34	29	44	36	45	38	25	25	17	20	20	19	42	41	44	32	33	28	28	28	19	25	14	19	20	19	20	16	22	38	57	65	49	44	47	29	24	31	30	25	34	25	32	28	20	29	25	24	22	23	20	19	22	23	22	24	28	25	31	29	22	23	17	16	22	15	30	23	23	23	21	34	31	31	20	34	30	23	19	39	36	25	21	29	33	43	29	31	35	14	20	25	32	34	20	23	25	35	21	28	28	33	22	17	30	37	36	32	32	38	18	29	29	30	25	49	41	22	17	17	29	23	29	35	24	25	17	23	19	24	22	25	20	27	32	36	28	29	42	23	19	26	22	27	18	31	26	19	14	17	22	22	21	21	23	25	16	24	30	44	47	34	29	30	30	28	30	47	36	31	37	36	38	40	30	28	29	32	30	25	38	35	51	35	37	23	30	30	26	35	37	34	30	34	27	24	24	23	34	36	30	26	28	20	27	31	48	43	41	24	36	18	31	18	35	27	23	20	25	31	26	28	33	29	30	23	27	39	30	29	19	26	27	24	24	22	28	20	23	25	32	27	24	29	28	23	27	25	25	26	29	11	20	20	35	25	33	24	25	27	28	26	32	32	36	43	31	38	28	26	28	36	47	36	27	42	12	50	8	21	26	18	29	10	28	26	15	17	29	18	18	25	24	24	25	26	31	19	25	20	26	23	17	32	29	31	25	20	22	27	26	26	27	34	31	32	32	31	37	45	35	20	22	18	18	17	25	26	25	28	20	21	22	19	23	23	22	20	3	661
