Summary stat	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_POSITIVE	All_Samples
Total ASVs	23	72	56	60	20	44	63	51	51	21	57	71	22	37	29	56	64	87	120	61	59	38	26	35	38	83	79	66	89	118	106	84	85	64	78	85	61	116	86	85	136	100	60	118	77	92	105	103	35	62	170	100	96	87	79	111	131	121	127	103	9	33	36	114	46	139	144	99	107	135	110	15	2232
Total ASVs, unique taxonomy	10	32	26	26	13	23	35	29	25	10	28	44	13	18	18	29	30	41	59	27	27	19	13	18	17	31	39	33	45	45	48	37	36	31	36	40	31	53	41	37	49	51	30	47	39	53	49	45	18	27	53	40	32	41	29	55	69	55	56	47	6	24	22	81	37	90	95	72	76	71	52	13	591
Percent ASVs with Taxonomic Classification	73.91	90.28	78.57	78.33	70	79.55	82.54	88.24	86.27	90.48	89.47	87.32	72.73	75.68	93.1	82.14	84.38	80.46	85	90.16	79.66	76.32	84.62	71.43	76.32	91.57	89.87	86.36	91.01	87.29	86.79	83.33	82.35	84.38	80.77	81.18	95.08	87.93	84.88	77.65	94.12	81	81.67	91.53	90.91	84.78	86.67	92.23	77.14	88.71	86.47	77	61.46	83.91	65.82	79.28	84.73	75.21	81.89	68.93	77.78	84.85	80.56	93.86	100	96.4	96.53	98.99	98.13	83.7	74.55	93.33	79.61
Phylum Hits	6	9	9	10	6	10	10	10	12	5	10	12	7	10	8	11	11	11	13	11	11	8	7	7	9	9	11	11	12	13	13	10	13	11	9	11	9	16	15	13	14	11	9	11	9	12	12	11	8	9	14	18	13	14	12	14	19	15	15	12	4	11	11	8	6	9	7	7	6	11	9	8	39
Class Hits	6	14	19	13	9	15	17	15	16	6	12	22	9	8	10	18	16	19	25	11	14	8	9	8	9	14	19	17	17	21	19	16	22	15	18	20	12	25	19	19	23	23	16	22	19	24	21	18	12	12	24	22	18	23	15	20	27	23	23	18	4	13	12	19	13	20	19	18	18	17	13	8	79
Order Hits	6	20	17	17	9	15	24	17	17	6	17	29	7	12	9	21	19	25	35	14	17	12	7	10	11	19	25	17	25	28	29	22	27	21	22	24	19	35	24	23	35	35	19	31	26	34	33	27	13	18	34	23	20	24	16	32	39	33	31	26	5	15	14	31	16	36	39	31	30	30	21	9	198
Family Hits	6	15	12	12	8	9	19	15	9	6	10	26	7	11	10	12	12	19	30	13	12	8	6	9	10	16	18	12	23	24	25	18	19	17	21	22	14	25	20	14	25	26	15	25	19	28	27	21	13	15	25	18	13	21	12	26	34	31	28	19	3	11	11	40	18	43	48	37	36	41	23	8	270
Genus Hits	1	10	8	10	5	8	13	8	3	5	8	14	3	7	6	5	8	15	19	11	9	3	2	3	6	11	12	8	16	15	13	12	11	10	18	13	10	17	12	7	18	16	10	15	14	19	17	14	8	9	16	10	11	15	9	19	26	22	21	17	3	9	9	45	19	47	50	39	41	31	19	5	256
Species Hits	1	9	6	8	3	7	10	8	1	3	6	10	3	4	4	2	4	10	11	10	8	2	2	3	6	9	11	7	15	13	13	10	9	7	17	8	7	11	8	5	13	15	9	13	12	12	13	12	6	9	9	8	9	9	6	13	15	15	13	11	1	5	6	30	14	32	36	26	29	22	11	4	207
