Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E1021_1T_NA128	ASV_39	1063	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax		
MP_E1022_1T_NA128	ASV_39	792	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax		
MP_E2141_Kotzebue23	ASV_390	648	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae			
MP_E882_1B_WCOA21	ASV_391	647	Eukaryota	Chordata	Actinopteri	Perciformes				
MP_E619_WCOA21	ASV_392	360	Eukaryota	Arthropoda	Malacostraca	Decapoda	Sergestidae	Eusergestes	Eusergestes arcticus	
MP_E671_WCOA21	ASV_392	60	Eukaryota	Arthropoda	Malacostraca	Decapoda	Sergestidae	Eusergestes	Eusergestes arcticus	
MP_E828_WCOA21	ASV_392	218	Eukaryota	Arthropoda	Malacostraca	Decapoda	Sergestidae	Eusergestes	Eusergestes arcticus	
MP_E1626_1B_Chaba22	ASV_393	95	Eukaryota	Porifera	Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia		
MP_E1632_Chaba22	ASV_393	436	Eukaryota	Porifera	Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia		
MP_E1635_Chaba22	ASV_393	102	Eukaryota	Porifera	Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia		
MP_E1623_1B_Chaba22	ASV_394	303	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1634_Chaba22	ASV_394	159	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1635_Chaba22	ASV_394	19	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1637_Chaba22	ASV_394	149	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E828_WCOA21	ASV_395	628	Eukaryota	Chordata	Mammalia					
MP_E777_WCOA21	ASV_396	156	Eukaryota	Nemertea	Pilidiophora	Hubrechtidae__o	Hubrechtidae			
MP_E1013_1T_NA128	ASV_396	350	Eukaryota	Nemertea	Pilidiophora	Hubrechtidae__o	Hubrechtidae			
MP_E1022_1T_NA128	ASV_396	121	Eukaryota	Nemertea	Pilidiophora	Hubrechtidae__o	Hubrechtidae			
MP_E1632_Chaba22	ASV_397	625	Eukaryota							
MP_E777_WCOA21	ASV_398	620	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes				
MP_E1625_1B_Chaba22	ASV_399	619	Eukaryota	Chordata	Actinopteri					
