ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_100	Eukaryota	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni
ASV_1000	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus	Cricotopus trifascia
ASV_1001	Eukaryota	Mollusca	Gastropoda	Neolepetopsidae__o	Neolepetopsidae	Neolepetopsis	Neolepetopsis sp_
ASV_1002	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_1003	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	NA	NA	NA
ASV_1004	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	NA
ASV_1005	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Candidatus Karelsulcia__f	NA	NA
ASV_1006	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1007	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1008	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	Protoglossus	Protoglossus koehleri
ASV_1009	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum
ASV_101	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	NA
ASV_1011	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_1012	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1013	Eukaryota	Chordata	Mammalia	Carnivora	Procyonidae	Procyon	NA
ASV_1014	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1015	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1016	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_1017	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1018	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
ASV_1019	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula	Ennucula tenuis
ASV_102	Eukaryota	Chordata	Mammalia	Carnivora	Phocidae	Phoca	NA
ASV_1020	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_1021	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
