Percent	Sample	TerminalTaxa
0.001467911455581	MP_E247_1B_NO20	zzOther
0.00186771881493241	MP_E257_1B_NO20	zzOther
0.00309468863011397	MP_E271_1B_NO20	zzOther
0.00076918935134262	MP_E271_2B_NO20	zzOther
0.0020708221163802	MP_E40_2B_DY20	zzOther
0.00140862926286431	MP_E46_1B_DY20	zzOther
0.00392989074903718	MP_E34_1B_DY20	zzOther
0.00502302218501465	MP_E49_2B_DY20	zzOther
0.00230786983614124	MP_E50_2B_DY20	zzOther
0.0299980001333244	MP_E51_1B_DY20	zzOther
0.0401853252647504	MP_E51_2B_DY20	zzOther
0.00144401204306044	MP_E36_2B_DY20	zzOther
0.00193440434854098	MP_E72_2B_DY20	zzOther
0.000960679392466352	MP_E239_1B_NO20	zzOther
0.00168628376783245	MP_E241_1B_NO20	zzOther
0.005382342003797	MP_E247_1B_NO20	zzOther
0.00117932177204889	MP_E249_1B_NO20	zzOther
0.00312780664792962	MP_E251_2B_NO20	zzOther
0.00663868206840907	MP_E253_NO20	zzOther
0.0316999075419363	MP_E255_1B_NO20	zzOther
0.0114128192297225	MP_E255_2B_NO20	zzOther
0.00186771881493241	MP_E257_1B_NO20	zzOther
0.00603420640757293	MP_E261_1B_NO20	zzOther
0.0038016164473134	MP_E261_2B_NO20	zzOther
0.00151753511829186	MP_E263_2B_NO20	zzOther
0.00411048997040447	MP_E281_2B_NO20	zzOther
0.00714183688044565	MP_E281_3B_NO20	zzOther
0.00136537411250683	MP_E292_1B_NO20	zzOther
0.0121995852141027	MP_E297_2B_NO20	zzOther
0.00668842634704907	MP_E297_3B_NO20	zzOther
0.000996561861577557	MP_E37_1B_DY20	zzOther
0.00596154801530131	MP_E37_2B_DY20	zzOther
0.0010354110581901	MP_E40_2B_DY20	zzOther
0.00264431340402465	MP_E42_1B_DY20	zzOther
0.0129274125783724	MP_E44_DY20	zzOther
0.0574476815757078	MP_E45_1B_DY20	zzOther
0.0358771381617017	MP_E45_2B_DY20	zzOther
0.00281725852572861	MP_E46_1B_DY20	zzOther
0.0171584653839554	MP_E46_2B_DY20	zzOther
0.0209106592085315	MP_E47_1B_DY20	zzOther
0.0202282907094351	MP_E47_2B_DY20	zzOther
0.00837170364169108	MP_E49_2B_DY20	zzOther
0.00112972223895885	MP_E53_1B_DY20	zzOther
0.00304896640039027	MP_E53_2B_DY20	zzOther
0.00494608764467306	MP_E54_1B_DY20	zzOther
0.00685741715382901	MP_E54_2B_DY20	zzOther
0.00235255369703813	MP_E71_1B_DY20	zzOther
0.0200585710274	MP_E72_1B_DY20	zzOther
0.0174096391368688	MP_E72_2B_DY20	zzOther
0.00232747585243803	MP_E233_1B_NO20	zzOther
0.00159301621690509	MP_E237_1B_NO20	zzOther
0.00288203817739906	MP_E239_1B_NO20	zzOther
0.003914430548216	MP_E247_1B_NO20	zzOther
0.0056173463655769	MP_E253_NO20	zzOther
0.00616387091093207	MP_E255_1B_NO20	zzOther
