ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_8647	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_865	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Harpacticidae	NA	NA
ASV_8650	Unknown	NA	NA	NA	NA	NA	NA
ASV_8651	Unknown	NA	NA	NA	NA	NA	NA
ASV_8652	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	Leegaardiella sp_ LS803
ASV_8653	Unknown	NA	NA	NA	NA	NA	NA
ASV_8654	Unknown	NA	NA	NA	NA	NA	NA
ASV_8655	Unknown	NA	NA	NA	NA	NA	NA
ASV_8656	Unknown	NA	NA	NA	NA	NA	NA
ASV_8657	Unknown	NA	NA	NA	NA	NA	NA
ASV_8658	Unknown	NA	NA	NA	NA	NA	NA
ASV_8659	Unknown	NA	NA	NA	NA	NA	NA
ASV_866	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_8660	Unknown	NA	NA	NA	NA	NA	NA
ASV_8661	Unknown	NA	NA	NA	NA	NA	NA
ASV_8662	Unknown	NA	NA	NA	NA	NA	NA
ASV_8663	Unknown	NA	NA	NA	NA	NA	NA
ASV_8664	Unknown	NA	NA	NA	NA	NA	NA
ASV_8665	Unknown	NA	NA	NA	NA	NA	NA
ASV_8666	Unknown	NA	NA	NA	NA	NA	NA
ASV_8667	Unknown	NA	NA	NA	NA	NA	NA
ASV_8668	Eukaryota	Bolidophyceae__p	Bolidophyceae	Parmales	Triparmaceae	Triparma	NA
ASV_8669	Eukaryota	Foraminifera	Rotaliida__c	Rotaliida	Virgulinella__f	Virgulinella	Virgulinella fragilis
ASV_867	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_8670	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Warnowiaceae	Cyklopsia	Cyklopsia sp_
ASV_8671	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_8672	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8673	Eukaryota	Ciliophora	Spirotrichea	Tontoniidae__o	Tontoniidae	Pseudotontonia	NA
ASV_8674	Eukaryota	Choanoflagellata__p	Choanoflagellata	NA	NA	NA	NA
ASV_8675	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium sp_
ASV_8676	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Proboscia	NA
ASV_8677	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	NA
ASV_8678	Eukaryota	Bryozoa	Stenolaemata	Cyclostomatida	Lichenoporidae	Disporella	NA
ASV_8679	Eukaryota	Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	NA	NA
ASV_868	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_8680	Eukaryota	Cercozoa	Thecofilosea	Ebriacea__o	Ebriacea	Ebria	Ebria tripartita
ASV_8681	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	Strombidium	Strombidium caudispina
ASV_8682	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	NA
ASV_8683	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_ ex Dinophysis acuminata
ASV_8684	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_8685	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	Pentapharsodinium	Pentapharsodinium sp_
ASV_8686	Eukaryota	Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	Ventrifissura	Ventrifissura sp_ SRT122
ASV_8687	Eukaryota	Mucoromycota	NA	NA	NA	NA	NA
ASV_8688	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8689	Eukaryota	Perkinsozoa	Perkinsida__c	Perkinsida	Perkinsidae	Parvilucifera	NA
ASV_869	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8690	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	NA	NA
ASV_8691	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Protaspis	NA
ASV_8692	Eukaryota	Glaucocystophyceae__p	Glaucocystophyceae	Cyanophoraceae__o	Cyanophoraceae	NA	NA
ASV_8693	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomastix	Thaumatomastix sp_ CC002_Boundary Bay
ASV_8694	Eukaryota	Apusomonadida__c__p	Apusomonadida__c	Apusomonadida	Apusomonadidae	Podomonas	Podomonas kaiyoae
ASV_8695	Eukaryota	Acantharea__p	Acantharea	NA	NA	NA	NA
ASV_8696	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8697	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_8698	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	NA
ASV_8699	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	NA	NA
ASV_87	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
ASV_870	Eukaryota	Ciliophora	Litostomatea	Haptorida	Didiniidae	Cyclotrichium	Cyclotrichium cyclokaryon
ASV_8700	Eukaryota	Dinophyceae__p	Dinophyceae	Psammosa__f__o	Psammosa__f	Psammosa	Psammosa pacifica
ASV_8701	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_8702	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Leyanella	Leyanella arenaria
ASV_8703	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	NA	NA
ASV_8704	Eukaryota	Streptophyta	Magnoliopsida	Caryophyllales	NA	NA	NA
ASV_8705	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_8706	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Allas__f	Allas	Allas sp_
ASV_8707	Eukaryota	Cnidaria	Myxozoa	Bivalvulida	Parvicapsulidae	Gadimyxa	Gadimyxa atlantica
ASV_8708	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula agatkae
ASV_8709	Eukaryota	Dinophyceae__p	Dinophyceae	Psammosa__f__o	Psammosa__f	Psammosa	Psammosa pacifica
ASV_871	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	Guinardia striata
ASV_8710	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium sp_ BO18
ASV_8711	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Cephaloidophoridae	NA	NA
ASV_8712	Eukaryota	Endomyxa	Ascetosporea	Haplosporida	NA	NA	NA
ASV_8713	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	Lecudina	NA
ASV_8714	Unknown	NA	NA	NA	NA	NA	NA
ASV_8715	Eukaryota	Endomyxa	Phytomyxea	Phagomyxida	NA	NA	NA
ASV_8716	Eukaryota	Pirsoniales__c__p	Pirsoniales__c	Pirsoniales	NA	NA	NA
ASV_8717	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_8718	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	NA	NA	NA
ASV_8719	Eukaryota	Pirsoniales__c__p	Pirsoniales__c	Pirsoniales	NA	NA	NA
