ASV	Multi_taxID_entry	USED
ASV_12310	409302, 48146, 169011, 159567;159570, 159566, 3092289, 3092287, 3092284, 159567, 329973, 3105985, 149074, 209423, 338211, 210625	FALSE
ASV_12319	98058;420639	TRUE
ASV_12408	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_125	267566, 267567, 2843, 1764970, 1537841, 1503408, 1198651, 1198650, 1030539;1030546, 1030545, 1030544, 1030543, 1030542, 1030541, 1030540, 866888, 866887, 866886, 866885, 866884, 866883, 866882, 866881, 866879, 866878, 866877, 866876, 866874;866875, 866873, 866872, 866871, 619279, 619278, 619277, 619276, 619275, 2843;267567;439494, 216762;267567;1030547;1030548;1030549, 41457	FALSE
ASV_12537	1169001, 1050078, 1050084, 1169003;1967941, 1169003, 1169000, 513287	FALSE
ASV_1256	7604, 7602, 136941, 7603, 136985;136987, 7616;59564, 7611;189915, 1755686	FALSE
ASV_12629	437713;437714;1156992	TRUE
ASV_12646	426078;426079;426080;426081;426082, 299778	FALSE
ASV_1267	2066664;2066665, 2066653, 868044	FALSE
ASV_12693	35677, 35677;44463	FALSE
ASV_12695	2009235, 1780399, 1764225, 1764220, 1764218, 1764217;1764244, 1764243, 1647522, 133488, 2850086, 1244649, 651200, 651197, 263357	FALSE
ASV_1273	2925, 1471208, 2926, 1126608;1126609, 1126608, 1126610, 1126607;1126608;1126609;1126610, 2932	FALSE
ASV_1276	1010556, 1010533, 1010473;1010490;1010542	FALSE
ASV_12781	39450, 1905723, 1905723;2315413, 39449, 2364126, 3075827, 2968077, 71860, 3019568, 2820087, 1290334, 2902008, 35672	FALSE
ASV_12822	435999, 8260;8262;8267, 8255, 106175, 27771, 8262, 141887, 172659, 195623, 195612, 428034, 641108, 195615, 143345, 244454, 141886, 244449, 235072	FALSE
ASV_12874	2903, 38817, 1856765, 1856766, 280463, 2903;38817;1663125, 38817;284784;284790, 2903;38817, 44459	FALSE
ASV_1290	143670, 2292165, 106543, 1695222, 1691974, 71861, 1652117, 1655535, 1655529, 1691973, 1239451, 631048, 858356, 284798;284799;284802, 284797	FALSE
ASV_12908	1905833, 3075301, 236787, 464225, 1606603, 1606602, 236787;1411684, 669373	FALSE
ASV_130	1169001, 1050084, 1169003;1967941, 1169003, 1169000	FALSE
ASV_13068	2926, 2932, 1471208, 2925, 1126604, 1126602, 1126603, 1126601, 1041877, 1041877;1126601;1126602;1126603;1126604, 1126609, 1126608, 1126610, 1126608;1126610, 1126605;1126607;1126608;1126609;1126610	FALSE
ASV_13156	1714380, 1606541, 172717, 1411662, 1411661, 91992, 722754;1714387	FALSE
ASV_13204	1859870, 1817465, 1817464, 1817463, 1817462, 1817461, 1817466;1859826, 1817467, 1817467;1859766;1859804, 1817460, 2704931	FALSE
ASV_13283	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
ASV_13438	181122;2315894	TRUE
ASV_13523	1714380, 1606541, 1411661, 722754;1714387	FALSE
ASV_13539	39450, 1905723, 1905723;2315413, 39449, 2364126, 1982030, 3075827, 2968077, 71860, 3019568, 2820087, 1290334, 2902008, 1333877, 35672	FALSE
ASV_13541	2686358, 2500157, 1920173, 326544, 2010915, 1916082, 1128911, 3050085, 1395135, 1277069, 934187, 641674, 564101, 564102, 493475;1128911, 197222, 218983, 218982, 218981, 218980, 218979, 56804, 218978, 218977, 218976, 218975, 218974, 218973, 218972, 218971, 218970, 218969, 218968, 218967, 218966, 218965, 196832, 196831, 196830, 196829, 196828, 162197, 134320	FALSE
ASV_13569	1873500, 446684, 1122133, 446684;1122133	FALSE
ASV_13608	156133, 284976;284978;284979;284980;284981;284982	FALSE
ASV_13630	120420, 1686789, 112098, 4770, 101203, 1862976, 3031135, 74557;1618017, 74557, 1618016, 1618018, 120401, 1618019, 637500, 100861, 4766, 393596	FALSE
ASV_13656	1714380, 1606541, 1411661, 722754;1714387	FALSE
ASV_13673	1010633, 1707700, 1052096, 3018796, 92950, 986871, 1967136, 1457145, 1457149, 1157611, 29917, 1056084, 1434223, 93486, 1431937, 1431936, 29918, 396515;487634, 417575, 312992, 229228	FALSE
ASV_1377	6579, 6577, 509963, 50417, 1411931, 106276, 6579;50417, 100774, 102328, 102331, 95546, 27808	FALSE
ASV_13774	39450, 1905723, 1905723;2315413, 39449, 2364126, 3075827, 2968077, 71860, 1286876, 3019568, 2820087, 1290334, 2902008, 1519423, 35672	FALSE
ASV_13799	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	FALSE
