x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
ASV_11	19695	23004	4905	1005	160	97	810	3258	2982	4188	6413	12517	790	959	18258	438	1154	166	375	745	4402	1443	3018	3952	4291	3050	1292	459	728	5164	3059	1081	11193	13360	2033	13344	14301	2320	8390	8773	3749	44441	19837	7641	28847	14046	9070	243	76	169	83	77	49	135	92	91	189	95	25	229	77	48	8	57	160	12357	73	13	18274	20	5	42586	0	277	33	68	1413	12499	389	986	9171	6832	258	2309	1409	977	19421	4718	1911	838	885	618	822	1302	0
ASV_12	0	0	0	6684	1127	0	0	0	0	0	0	20143	2331	1309	18612	1659	115	5765	4907	5674	22038	8396	10485	39057	0	3991	0	0	612	0	3947	0	6761	7676	3054	3905	12063	1003	3209	5940	2081	0	796	12350	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	0	0	17269	6894	7546	360	6309	13690	4331	9570	4	12	12383	0	18389	15870	23852	0	3488	455	0	915	3575	31585	40772	33835	0	0	0
ASV_13	0	8932	0	1004	1123	0	1873	9090	4978	30	9001	17408	591	1270	17941	1410	1284	6415	1388	5534	26405	1501	1768	18947	0	0	5438	0	1769	12708	5881	14312	16000	9001	14809	12810	10389	7804	3332	4069	8688	123	3602	4850	6513	5918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3582	9	11	9793	0	4421	0	1794	16718	0	22	0	0	0	3081	5682	17175	16485	25160	36	6077	29313	449	2924	27	0	0	0
ASV_14	74	0	19	9258	2959	0	2205	9084	4035	57	8548	21472	4426	3356	23006	4510	1639	7625	7176	11537	0	9525	10960	26344	21	2374	4726	33	1852	9558	8189	12053	16749	10714	15489	13484	14781	7374	5851	7156	9662	0	3729	10179	4631	5158	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	231	0	2539	0	0	0	57	0	0	2367	0	0	44	0	0	6742	8381	0	14373	16355	20798	75	6217	0	0	0	0	0	0	0
ASV_15	9170	1138	0	5546	689	215	11873	3677	1207	29345	22483	220	23610	7635	0	24473	5854	108	6270	5901	4	15382	13708	537	6164	4249	1308	611	148	3671	4280	146	3033	3264	260	5406	3236	85	6436	7932	1814	13632	12862	395	9469	4659	383	3478	1681	501	3637	2232	1054	5799	2641	3183	4594	970	1352	6496	505	415	6	238	490	4141	373	271	7388	334	128	19735	430	513	555	419	3597	15986	460	0	4577	5864	905	1155	434	408	8823	1192	277	543	961	648	335	457	0
ASV_16	43	0	74	71	723	2450	33	113	1790	105	178	6789	58	127	9237	28	92	620	12	53	2971	39	50	9733	81	1003	3041	1603	1314	7006	4679	2883	4041	6044	3989	5610	4247	3749	82	47	1732	21	161	2967	77	58	3113	3257	5704	5283	1006	2003	1780	1286	1047	1569	1638	3495	2988	244	1000	1247	2	934	1359	67	755	807	25	2486	3266	40	17141	23210	33662	17469	117	82	46347	64321	2499	2562	1479	970	1213	1031	4814	5056	3291	1641	2117	3183	14090	16280	0
ASV_17	0	0	0	1126	0	0	271	638	3283	140	92	0	246	180	0	146	500	0	182	498	0	180	191	0	715	669	1594	0	0	3551	2666	0	1716	2306	0	1065	760	0	1112	650	0	0	0	0	92	305	0	3775	9682	4979	3432	5585	3826	5902	6205	5801	3261	2836	2541	12390	16956	12739	55	31113	30106	21023	36127	16661	13005	9454	6587	16621	734	524	84	371	11523	12062	219	0	3272	3886	2176	1171	1027	876	2317	1824	943	3167	4451	4949	169	108	0
ASV_18	32657	15861	273	184	79	191	44	1347	0	1591	378	0	2415	1093	0	1967	1417	0	615	278	0	398	314	0	137	282	76	717	82	8741	6396	0	9614	6805	0	12839	11672	55	479	167	0	19519	11416	73	2354	2666	0	11383	0	3	2582	82	157	9477	2842	1287	9833	0	0	13667	60	0	62	0	117	33307	0	0	19626	0	0	13884	0	23	0	0	1484	23696	0	0	10569	13697	2085	1448	175	616	7192	4015	93	2346	1316	562	0	0	0
ASV_19	3116	8688	347	3077	1029	754	4910	16902	992	6295	4139	1074	6401	4844	745	8403	9359	142	3718	6278	1139	4106	4061	4236	5587	2018	971	942	258	5235	4712	498	9917	9867	1197	8344	9682	1350	6293	7104	2200	731	6184	1254	4467	3750	986	2794	3653	1345	4456	5121	3414	2099	2775	3481	9972	4358	2049	14137	903	722	10	681	641	2154	397	224	2012	218	463	602	1160	1209	404	719	5537	9087	0	700	3774	3548	2709	4081	6949	4859	3004	6763	3394	433	1751	684	522	1273	0
ASV_20	0	0	0	6055	845	0	0	0	0	0	46	14609	1987	1125	13467	1429	112	4211	3853	4763	15823	6759	8445	27376	0	3178	0	0	464	0	2770	0	4893	5385	2312	3017	8424	631	2451	4221	1660	19	673	8367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	10423	4842	4798	533	4240	9173	2804	5966	12	0	6602	0	13049	10011	15574	0	2747	352	0	725	2501	20811	24796	22469	0	0	0
