dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1053_SKQ2021	289853	263183	262848	262781	257830	247454	85.4
MP_E1054_SKQ2021	305242	288067	287533	287554	283541	268852	88.1
MP_E1055_SKQ2021	274347	254329	253663	253600	248433	222646	81.2
MP_E1056_SKQ2021	316857	292341	292040	291953	287495	258891	81.7
MP_E1057_SKQ2021	278745	254457	254088	254112	249868	228773	82.1
MP_E1058_SKQ2021	275384	258701	258353	258215	254413	230535	83.7
MP_E1059_SKQ2021	305188	286854	286483	286545	283062	265861	87.1
MP_E1060_SKQ2021	422693	394853	394523	394450	389512	364655	86.3
MP_E1061_SKQ2021	290233	273862	273460	273469	269621	248213	85.5
MP_E1062_SKQ2021	283493	254205	253914	253897	249060	237368	83.7
MP_E1063_SKQ2021	286300	268078	267631	267600	263370	242906	84.8
MP_E1064_SKQ2021	293999	274187	273981	273739	267734	239804	81.6
MP_E1065_SKQ2021	339842	317754	317386	317428	313026	288879	85
MP_E1066_SKQ2021	336635	314239	313877	313913	309505	286720	85.2
MP_E1067_SKQ2021	344330	324171	323720	323679	317506	285775	83
MP_E1068_SKQ2021	326760	298373	298149	298137	293611	268429	82.1
MP_E1069_SKQ2021	332557	308406	308036	307936	303481	276794	83.2
MP_E1070_SKQ2021	67559	63305	63241	63258	62523	55199	81.7
MP_E1071_SKQ2021	216187	199603	199407	199382	196558	172652	79.9
MP_E1072_SKQ2021	320286	299306	299023	298952	295037	258231	80.6
MP_E1073_SKQ2021	267233	222869	222747	222586	217764	186052	69.6
MP_E1074_SKQ2021	295004	273470	273253	273245	269069	238492	80.8
MP_E1075_SKQ2021	299506	277212	276941	276895	272373	236591	79
MP_E1076_SKQ2021	366197	335362	334906	334809	329059	292275	79.8
MP_E1077_SKQ2021	305898	290797	290218	290300	285796	269081	88
MP_E1078_SKQ2021	298236	279726	279266	279228	275091	254100	85.2
MP_E1079_SKQ2021	296091	278293	277614	277553	273432	254705	86
MP_E1080_SKQ2021	275856	263931	263676	263626	259449	226607	82.1
MP_E1081_SKQ2021	225776	211290	211118	211077	207738	181359	80.3
MP_E1082_SKQ2021	303811	285672	285105	285066	280838	253852	83.6
MP_E1083_SKQ2021	281451	251982	251653	251511	245240	213764	76
MP_E1084_SKQ2021	438002	412423	411995	411949	406277	355381	81.1
MP_E1085_SKQ2021	355456	333912	333360	333349	327152	279562	78.6
MP_E1086_SKQ2021	322851	303437	302737	302839	296467	257022	79.6
MP_E1087_SKQ2021	389152	366568	366072	366197	361579	316649	81.4
MP_E1088_SKQ2021	305743	285008	284540	284647	280415	251394	82.2
MP_E1089_SKQ2021	346792	329501	329044	329135	324141	286493	82.6
MP_E1090_SKQ2021	324142	306603	306258	306220	302473	265068	81.8
MP_E1091_SKQ2021	353579	334397	333838	333818	328335	297714	84.2
MP_E1092_SKQ2021	337540	313356	312664	312510	306698	276031	81.8
MP_E1093_SKQ2021	408066	383661	383122	383202	377491	330978	81.1
MP_E1094_SKQ2021	293326	277242	276884	276810	273168	263138	89.7
MP_E1095_SKQ2021	330828	314422	313864	313770	308504	282354	85.3
MP_E1096_SKQ2021	340294	321532	321170	321051	316078	273511	80.4
MP_E1097_SKQ2021	314487	296310	295927	295977	292131	273705	87
MP_E1098_SKQ2021	315403	297324	296859	296733	291852	267627	84.9
MP_E1099_SKQ2021	346332	327858	327395	327424	322301	284599	82.2
MP_E1100_SKQ2021	289413	267356	266634	266652	259018	231880	80.1
MP_E1101_SKQ2021	340220	324892	324028	323874	317626	281160	82.6
MP_E1102_SKQ2021	328792	314406	313858	313827	307634	274453	83.5
MP_E1103_SKQ2021	295386	281336	280709	280587	273261	235309	79.7
MP_E1104_SKQ2021	356086	335937	335009	335113	326094	281132	79
MP_E1105_SKQ2021	314934	297564	296952	296928	291384	251996	80
