
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1117_SKQ2021	93.4%	81.6%
MP_E1118_SKQ2021	97.0%	76.4%
MP_E1119_SKQ2021	96.3%	82.5%
MP_E1120_SKQ2021	94.0%	83.3%
MP_E1121_SKQ2021	96.7%	73.5%
MP_E1122_SKQ2021	96.6%	83.5%
MP_E1123_SKQ2021	95.2%	84.8%
MP_E1124_SKQ2021	95.0%	79.9%
MP_E1125_SKQ2021	89.5%	76.2%
MP_E1126_SKQ2021	93.9%	81.6%
MP_E1127_SKQ2021	95.5%	75.5%
MP_E1128_SKQ2021	92.9%	78.1%
MP_E1129_SKQ2021	88.1%	75.0%
MP_E1130_SKQ2021	94.9%	72.8%
MP_E1131_SKQ2021	88.7%	79.9%
MP_E1132_SKQ2021	92.5%	76.8%
MP_E1133_SKQ2021	94.3%	79.2%
MP_E1134_SKQ2021	90.8%	74.1%
MP_E1135_SKQ2021	95.9%	76.8%
MP_E1136_SKQ2021	95.8%	74.6%
MP_E1137_SKQ2021	97.9%	75.7%
MP_E1138_SKQ2021	98.9%	72.3%
MP_E1139_SKQ2021	92.3%	73.6%
MP_E1140_SKQ2021	95.8%	75.7%
MP_E1141_SKQ2021	96.7%	78.1%
MP_E1142_SKQ2021	96.0%	76.1%
MP_E1143_SKQ2021	95.6%	82.0%
MP_E1144_SKQ2021	94.4%	80.6%
MP_E1145_SKQ2021	97.3%	79.0%
MP_E1146_SKQ2021	97.9%	76.6%
MP_E1172_OC0622	98.0%	85.7%
MP_E1173_OC0622	98.0%	87.2%
MP_E1174_OC0622	96.9%	86.6%
MP_E1229_OC0822_PCR1	91.6%	79.1%
MP_E1229_OC0822_PCR2	94.4%	83.2%
MP_E1229_OC0822_PCR3	94.0%	81.6%
MP_E1230_OC0822_PCR1	93.8%	81.7%
MP_E1230_OC0822_PCR2	92.6%	81.2%
MP_E1230_OC0822_PCR3	92.7%	82.7%
MP_E1231_OC0822_PCR1	92.0%	82.9%
MP_E1231_OC0822_PCR2	92.7%	82.1%
MP_E1231_OC0822_PCR3	93.7%	81.0%
MP_E1240_OC0922	91.3%	80.4%
MP_E1241_OC0922	95.5%	75.6%
MP_E1242_OC0922	97.4%	75.1%
MP_E1243_OC0922	95.8%	78.4%
