
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1174_OC0622_R1_trimmed.fq.gz 92.594
MP_E1229_OC0822_PCR1_R1_trimmed.fq.gz 91.0419
MP_E1229_OC0822_PCR2_R1_trimmed.fq.gz 92.4464
MP_E1229_OC0822_PCR3_R1_trimmed.fq.gz 92.9899
MP_E1230_OC0822_PCR1_R1_trimmed.fq.gz 93.0878
MP_E1230_OC0822_PCR2_R1_trimmed.fq.gz 92.9811
MP_E1230_OC0822_PCR3_R1_trimmed.fq.gz 91.8905
MP_E1231_OC0822_PCR1_R1_trimmed.fq.gz 93.9813
MP_E1231_OC0822_PCR2_R1_trimmed.fq.gz 92.6174
MP_E1231_OC0822_PCR3_R1_trimmed.fq.gz 90.7841
MP_E1240_OC0922_R1_trimmed.fq.gz 94.9407
MP_E1241_OC0922_R1_trimmed.fq.gz 94.7448
MP_E1242_OC0922_R1_trimmed.fq.gz 94.4084
MP_E1243_OC0922_R1_trimmed.fq.gz 90.7221
MP_E1244_OC0922_R1_trimmed.fq.gz 90.0471
MP_E1245_OC0922_R1_trimmed.fq.gz 84.6267
MP_E1246_OC0922_R1_trimmed.fq.gz 89.7666
MP_E1247_OC0922_R1_trimmed.fq.gz 89.8272
MP_E1248_OC0922_R1_trimmed.fq.gz 91.1703
MP_E1249_OC0922_R1_trimmed.fq.gz 67.4413
MP_E1250_OC0922_R1_trimmed.fq.gz 95.6942
MP_E1251_OC0922_R1_trimmed.fq.gz 95.606
MP_E1252_OC0922_R1_trimmed.fq.gz 94.8366
MP_E1253_OC0922_R1_trimmed.fq.gz 93.4107
MP_E1254_OC0922_R1_trimmed.fq.gz 94.7687
MP_E1255_OC0922_R1_trimmed.fq.gz 95.2105
MP_E1256_OC0922_R1_trimmed.fq.gz 91.4537
MP_E1257_OC0922_R1_trimmed.fq.gz 94.8762
MP_E1258_OC0922_R1_trimmed.fq.gz 94.2403
MP_E1259_OC0922_R1_trimmed.fq.gz 93.7528
MP_E1260_OC0922_R1_trimmed.fq.gz 95.0473
MP_E1261_OC0922_R1_trimmed.fq.gz 95.1548
MP_E1262_OC0922_R1_trimmed.fq.gz 95.0217
MP_E1263_OC0922_R1_trimmed.fq.gz 81.116
MP_E1265_OC0922_PCR1_R1_trimmed.fq.gz 90.8905
MP_E1265_OC0922_PCR2_R1_trimmed.fq.gz 92.8196
MP_E1265_OC0922_PCR3_R1_trimmed.fq.gz 93.2526
MP_E1266_OC0922_PCR1_R1_trimmed.fq.gz 92.3918
MP_E1266_OC0922_PCR2_R1_trimmed.fq.gz 92.4749
MP_E1266_OC0922_PCR3_R1_trimmed.fq.gz 90.7706
MP_E1267_OC0922_PCR1_R1_trimmed.fq.gz 93.3025
MP_E1267_OC0922_PCR2_R1_trimmed.fq.gz 90.5568
MP_E1267_OC0922_PCR3_R1_trimmed.fq.gz 88.0176
MP_E1275_OC1021_R1_trimmed.fq.gz 95.526
MP_E1276_OC1021_R1_trimmed.fq.gz 96.3446
MP_E1277_OC1021_R1_trimmed.fq.gz 95.9572
MP_E1278_OC1021_R1_trimmed.fq.gz 94.5865
MP_E1279_OC1021_R1_trimmed.fq.gz 94.2491
MP_E1280_OC1021_R1_trimmed.fq.gz 95.9054
MP_E1281_OC1021_R1_trimmed.fq.gz 93.9106
MP_E1282_OC1021_R1_trimmed.fq.gz 95.4023
MP_E1283_OC1021_R1_trimmed.fq.gz 95.2418
MP_E1284_OC1021_R1_trimmed.fq.gz 95.1359
MP_E1285_OC1021_R1_trimmed.fq.gz 95.951
MP_E1286_OC1021_R1_trimmed.fq.gz 95.3094
MP_E1287_OC1021_R1_trimmed.fq.gz 95.1839
MP_E1288_OC1021_R1_trimmed.fq.gz 94.8191
MP_E1289_OC1021_R1_trimmed.fq.gz 95.2487
MP_E1290_OC1021_R1_trimmed.fq.gz 97.1519
MP_E1291_OC1021_R1_trimmed.fq.gz 94.2167
MP_E1292_OC1021_R1_trimmed.fq.gz 93.0779
MP_E1293_OC1021_R1_trimmed.fq.gz 96.4983
MP_E1294_OC1021_R1_trimmed.fq.gz 96.6923
MP_E1295_OC1021_R1_trimmed.fq.gz 96.1436
MP_E1296_OC1021_R1_trimmed.fq.gz 96.4877
MP_E1297_OC1021_R1_trimmed.fq.gz 93.4367
MP_E1298_OC1021_R1_trimmed.fq.gz 91.3942
MP_E1299_OC1021_R1_trimmed.fq.gz 94.5811
MP_E1300_OC1021_R1_trimmed.fq.gz 93.7908
MP_E1301_OC1021_R1_trimmed.fq.gz 95.0059
MP_E1302_OC1021_R1_trimmed.fq.gz 95.3615
MP_E1303_OC1021_R1_trimmed.fq.gz 94.5171
MP_E1304_OC1021_R1_trimmed.fq.gz 93.7638
MP_E1305_OC1021_R1_trimmed.fq.gz 84.2539
MP_E1306_OC1021_R1_trimmed.fq.gz 92.6391
MP_E1307_OC1021_R1_trimmed.fq.gz 94.7669
MP_E1308_OC1021_R1_trimmed.fq.gz 88.7195
MP_E1309_OC1021_R1_trimmed.fq.gz 94.6507
MP_E1310_OC1021_R1_trimmed.fq.gz 93.6087
MP_E1312_OC1021_R1_trimmed.fq.gz 94.1666
MP_E1313_OC1021_R1_trimmed.fq.gz 93.6096
MP_E1315_OC1021_R1_trimmed.fq.gz 94.6611
MP_E1316_OC1021_R1_trimmed.fq.gz 93.2472
MP_E1317_OC1021_R1_trimmed.fq.gz 94.4098
MP_E1318_OC1021_R1_trimmed.fq.gz 90.9911
MP_E1319_OC1021_R1_trimmed.fq.gz 88.4825
MP_E1320_OC1021_R1_trimmed.fq.gz 94.1192
MP_E1321_OC1021_R1_trimmed.fq.gz 94.4172
MP_E1322_OC1021_R1_trimmed.fq.gz 93.5567
MP_E1323_OC1021_PCR1_R1_trimmed.fq.gz 92.4648
MP_E1323_OC1021_PCR2_R1_trimmed.fq.gz 95.2017
MP_E1323_OC1021_PCR3_R1_trimmed.fq.gz 91.2237
MP_E1324_OC1021_PCR1_R1_trimmed.fq.gz 90.7653
MP_E1324_OC1021_PCR2_R1_trimmed.fq.gz 94.1598
MP_E1324_OC1021_PCR3_R1_trimmed.fq.gz 92.9326
MP_E1325_OC1021_PCR1_R1_trimmed.fq.gz 91.9286
MP_E1325_OC1021_PCR2_R1_trimmed.fq.gz 89.7654
MP_E1325_OC1021_PCR3_R1_trimmed.fq.gz 90.7624
MP_E1389_OC0722_R1_trimmed.fq.gz 93.2845
MP_E1390_OC0722_R1_trimmed.fq.gz 94.968
MP_E1391_OC0722_R1_trimmed.fq.gz 94.54
MP_E1403_OC0722_R1_trimmed.fq.gz 95.2421
MP_E1404_OC0722_R1_trimmed.fq.gz 92.3974
MP_E1406_OC0722_R1_trimmed.fq.gz 94.9787
MP_E1408_OC0722_R1_trimmed.fq.gz 94.3212
MP_E1410_OC0722_R1_trimmed.fq.gz 96.5877
MP_E1412_OC0722_R1_trimmed.fq.gz 93.8137
MP_E1414_OC0722_R1_trimmed.fq.gz 95.4676
MP_E1416_OC0722_R1_trimmed.fq.gz 93.9836
MP_E1418_OC0722_R1_trimmed.fq.gz 94.2376
MP_E1420_OC0722_R1_trimmed.fq.gz 93.7869
MP_E1422_OC0722_R1_trimmed.fq.gz 94.1552
MP_E1424_OC0722_R1_trimmed.fq.gz 93.0803
MP_E1426_OC0722_R1_trimmed.fq.gz 94.9003
MP_E1845_OC0623_R1_trimmed.fq.gz 87.9915
MP_E1846_OC0623_R1_trimmed.fq.gz 94.0301
MP_E1847_OC0623_R1_trimmed.fq.gz 92.8592
MP_E1849_OC0723_R1_trimmed.fq.gz 92.6636
MP_E1850_OC0723_R1_trimmed.fq.gz 92.2116
MP_E1851_OC0723_R1_trimmed.fq.gz 94.3181
MP_E1852_OC0723_R1_trimmed.fq.gz 92.0092
MP_E1853_OC0723_R1_trimmed.fq.gz 94.2577
MP_E1854_OC0723_R1_trimmed.fq.gz 94.43
MP_E1855_OC0723_R1_trimmed.fq.gz 94.1131
MP_E1856_OC0723_R1_trimmed.fq.gz 92.7579
MP_E1857_OC0723_R1_trimmed.fq.gz 95.0272
MP_E1858_OC0723_R1_trimmed.fq.gz 94.6011
MP_E1859_OC0723_R1_trimmed.fq.gz 93.5181
MP_E1860_OC0723_R1_trimmed.fq.gz 94.8624
MP_E1861_OC0723_R1_trimmed.fq.gz 94.5237
MP_E1862_OC0723_R1_trimmed.fq.gz 94.1465
MP_E1863_OC0723_R1_trimmed.fq.gz 94.9594
MP_E1864_OC0723_R1_trimmed.fq.gz 89.1033
MP_E1865_OC0723_R1_trimmed.fq.gz 93.6099
MP_E1866_OC0723_R1_trimmed.fq.gz 93.2725
MP_E1867_OC0723_R1_trimmed.fq.gz 95.2735
MP_E1868_OC0723_R1_trimmed.fq.gz 93.657
MP_E1869_OC0723_R1_trimmed.fq.gz 95.1715
MP_E1870_OC0723_R1_trimmed.fq.gz 93.8999
MP_E1871_OC0723_R1_trimmed.fq.gz 94.6697
MP_E1872_OC0723_R1_trimmed.fq.gz 94.9071
MP_E1873_OC0723_R1_trimmed.fq.gz 93.8891
MP_E1874_OC0723_R1_trimmed.fq.gz 94.5724
MP_E1875_OC0723_R1_trimmed.fq.gz 94.8771
MP_E2128_1B_R1_trimmed.fq.gz 74.748
MP_E2128_2B_R1_trimmed.fq.gz 88.4183
MP_E2128_4B_R1_trimmed.fq.gz 85.8171
MP_E2129_1B_R1_trimmed.fq.gz 72.9061
MP_E2129_2B_R1_trimmed.fq.gz 93.1509
MP_E2129_3B_R1_trimmed.fq.gz 71.7069
MP_E2129_4B_R1_trimmed.fq.gz 85.4148
MP_E2129_5B_R1_trimmed.fq.gz 70.6185
MP_E2130_1B_R1_trimmed.fq.gz 92.8329
MP_E2130_2B_R1_trimmed.fq.gz 92.986
MP_E2130_3B_R1_trimmed.fq.gz 93.3506
MP_E2130_4B_R1_trimmed.fq.gz 85.7434
MP_E2130_5B_R1_trimmed.fq.gz 90.2369
MP_E2131_1B_R1_trimmed.fq.gz 90.4049
MP_E2131_2B_R1_trimmed.fq.gz 88.1812
MP_E2131_3B_R1_trimmed.fq.gz 89.4104
MP_E2131_4B_R1_trimmed.fq.gz 91.8396
MP_E2131_5B_R1_trimmed.fq.gz 91.0595
MP_E2132_1B_R1_trimmed.fq.gz 94.4946
MP_E2132_2B_R1_trimmed.fq.gz 92.1381
MP_E2132_3B_R1_trimmed.fq.gz 90.9504
MP_E2132_4B_R1_trimmed.fq.gz 92.9223
MP_E2132_5B_R1_trimmed.fq.gz 76.0022
MP_E2133_1B_R1_trimmed.fq.gz 91.1849
MP_E2133_2B_R1_trimmed.fq.gz 80.578
MP_E2133_3B_R1_trimmed.fq.gz 89.5692
MP_E2133_4B_R1_trimmed.fq.gz 86.5032
MP_E2133_5B_R1_trimmed.fq.gz 90.9681
MP_E2134_2B_R1_trimmed.fq.gz 80.8391
MP_E2134_4B_R1_trimmed.fq.gz 70.587
MP_E2134_5B_R1_trimmed.fq.gz 90.1199
MP_E2135_2B_R1_trimmed.fq.gz 92.1423
MP_E2135_3B_R1_trimmed.fq.gz 92.9717
MP_E2135_4B_R1_trimmed.fq.gz 92.4481
MP_E2135_5B_R1_trimmed.fq.gz 90.696
MP_E2136_2B_R1_trimmed.fq.gz 73.4093
MP_E2136_3B_R1_trimmed.fq.gz 90.2827
MP_E2136_4B_R1_trimmed.fq.gz 91.0375
MP_E2136_5B_R1_trimmed.fq.gz 90.3601
MP_E2137_1B_R1_trimmed.fq.gz 91.1113
MP_E446_1B_PCR2_R1_trimmed.fq.gz 93.385
MP_E446_1B_PCR3_R1_trimmed.fq.gz 94.4285
MP_E446_2B_PCR2_R1_trimmed.fq.gz 94.2658
MP_E446_2B_PCR3_R1_trimmed.fq.gz 95.6932
MP_E446_3B_PCR2_R1_trimmed.fq.gz 94.8181
MP_E446_3B_PCR3_R1_trimmed.fq.gz 91.6541
MP_E447_1B_MiFishMod_R1_trimmed.fq.gz 95.299
MP_E447_1B_PCR2_R1_trimmed.fq.gz 94.6358
MP_E447_1B_PCR3_R1_trimmed.fq.gz 95.4333
MP_E447_2B_MiFishMod_R1_trimmed.fq.gz 94.5082
MP_E447_2B_PCR2_R1_trimmed.fq.gz 93.9413
MP_E447_2B_PCR3_R1_trimmed.fq.gz 94.6287
MP_E447_3B_MiFishMod_R1_trimmed.fq.gz 96.6012
MP_E447_3B_PCR2_R1_trimmed.fq.gz 96.5705
MP_E447_3B_PCR3_R1_trimmed.fq.gz 96.6272
MP_E448_1B_PCR2_R1_trimmed.fq.gz 94.6227
MP_E448_1B_PCR3_R1_trimmed.fq.gz 95.0095
MP_E448_2B_PCR2_R1_trimmed.fq.gz 93.531
MP_E448_2B_PCR3_R1_trimmed.fq.gz 94.8078
MP_E448_3B_PCR2_R1_trimmed.fq.gz 94.0831
MP_E448_3B_PCR3_R1_trimmed.fq.gz 92.8761
MP_E449_1B_PCR2_R1_trimmed.fq.gz 95.526
MP_E449_1B_PCR3_R1_trimmed.fq.gz 95.7526
MP_E449_2B_PCR2_R1_trimmed.fq.gz 92.4885
MP_E449_2B_PCR3_R1_trimmed.fq.gz 93.3936
MP_E449_3B_PCR2_R1_trimmed.fq.gz 94.6963
MP_E449_3B_PCR3_R1_trimmed.fq.gz 94.6367
MP_E450_1B_MiFishMod_R1_trimmed.fq.gz 95.803
MP_E450_1B_PCR2_R1_trimmed.fq.gz 95.3431
MP_E450_1B_PCR3_R1_trimmed.fq.gz 95.8975
MP_E450_2B_MiFishMod_R1_trimmed.fq.gz 96.6219
MP_E450_2B_PCR2_R1_trimmed.fq.gz 95.6263
MP_E450_2B_PCR3_R1_trimmed.fq.gz 95.1827
MP_E450_3B_MiFishMod_R1_trimmed.fq.gz 95.2205
MP_E450_3B_PCR2_R1_trimmed.fq.gz 94.7552
MP_E450_3B_PCR3_R1_trimmed.fq.gz 94.9935
MP_E474_MiFishMod_R1_trimmed.fq.gz 95.8855
MP_E475_PCR2_R1_trimmed.fq.gz 94.1048
MP_E475_PCR3_R1_trimmed.fq.gz 95.2781
MP_E486_PCR2_R1_trimmed.fq.gz 93.1526
MP_E486_PCR3_R1_trimmed.fq.gz 95.3439
MP_E491_MiFishMod_R1_trimmed.fq.gz 93.2654
MP_E492_1B_PCR2_R1_trimmed.fq.gz 94.4664
MP_E492_1B_PCR3_R1_trimmed.fq.gz 95.4347
MP_E494_PCR2_R1_trimmed.fq.gz 94.5299
MP_E494_PCR3_R1_trimmed.fq.gz 94.6031
MP_E496_1T_PCR2_R1_trimmed.fq.gz 93.8372
MP_E496_1T_PCR3_R1_trimmed.fq.gz 94.515
MP_E496_3B_PCR2_R1_trimmed.fq.gz 94.7464
MP_E496_3B_PCR3_R1_trimmed.fq.gz 94.5513
MP_E498_1B_PCR2_R1_trimmed.fq.gz 94.5356
MP_E498_1B_PCR3_R1_trimmed.fq.gz 93.4766
MP_E498_2B_PCR2_R1_trimmed.fq.gz 93.3583
MP_E498_2B_PCR3_R1_trimmed.fq.gz 93.7151
MP_E498_3B_PCR2_R1_trimmed.fq.gz 92.4246
MP_E498_3B_PCR3_R1_trimmed.fq.gz 94.6362
MP_E573_1B_PCR2_R1_trimmed.fq.gz 92.048
MP_E573_1B_PCR3_R1_trimmed.fq.gz 95
MP_E573_2B_PCR2_R1_trimmed.fq.gz 94.6804
MP_E573_2B_PCR3_R1_trimmed.fq.gz 94.9868
MP_E573_3B_PCR2_R1_trimmed.fq.gz 94.4528
MP_E573_3B_PCR3_R1_trimmed.fq.gz 94.1786
MP_E574_1B_PCR2_R1_trimmed.fq.gz 93.2032
MP_E574_1B_PCR3_R1_trimmed.fq.gz 94.0809
MP_E574_2B_PCR2_R1_trimmed.fq.gz 94.3924
MP_E574_2B_PCR3_R1_trimmed.fq.gz 94.8187
MP_E574_3B_PCR2_R1_trimmed.fq.gz 94.9122
MP_E574_3B_PCR3_R1_trimmed.fq.gz 94.9669
MP_E575_1B_PCR2_R1_trimmed.fq.gz 96.1555
MP_E575_1B_PCR3_R1_trimmed.fq.gz 96.0048
MP_E575_2B_PCR2_R1_trimmed.fq.gz 94.3458
MP_E575_2B_PCR3_R1_trimmed.fq.gz 93.9321
MP_E575_3B_PCR2_R1_trimmed.fq.gz 96.0537
MP_E575_3B_PCR3_R1_trimmed.fq.gz 91.5158
MP_E598_1B_PCR2_R1_trimmed.fq.gz 94.7968
MP_E598_1B_PCR3_R1_trimmed.fq.gz 92.0339
MP_E598_2B_PCR2_R1_trimmed.fq.gz 94.471
MP_E598_2B_PCR3_R1_trimmed.fq.gz 94.8815
MP_E598_3B_PCR2_R1_trimmed.fq.gz 95.4079
MP_E598_3B_PCR3_R1_trimmed.fq.gz 93.7192
MP_E600_1B_PCR2_R1_trimmed.fq.gz 94.5813
MP_E600_1B_PCR3_R1_trimmed.fq.gz 94.4951
MP_E600_2B_PCR2_R1_trimmed.fq.gz 95.0529
MP_E600_2B_PCR3_R1_trimmed.fq.gz 94.9244
MP_E600_3B_PCR2_R1_trimmed.fq.gz 93.1507
MP_E600_3B_PCR3_R1_trimmed.fq.gz 95.2963
MP_E610_NC_R1_trimmed.fq.gz 87.9381
MP_E690_MiFishMod_R1_trimmed.fq.gz 96.4805
MP_POSITIVE_R1_trimmed.fq.gz 93.3207

Parameters to modify:
minLen,rm.phix,truncQ,maxEE-primer1,maxEE-primer2,trimRight,trimLeft
Current settings:
100,TRUE,2,2,2,25,0
Please check DADA2 filtering success. Proceed? [y/n/m]
Continuing!

Learning error, Dereplication, Merge, and ASVs in DADA2...
Please be patient, may take a while. Messages printed to Rscript log.


FINAL DADA2 STATS
Note: Please check for a failed merge of forward/reverse sequences
Sample	%Reads Retained
MP_E1032_OC0821_PCR1 92.5
MP_E1032_OC0821_PCR2 74.5
MP_E1032_OC0821_PCR3 90
MP_E1033_OC0821_PCR1 92.3
MP_E1033_OC0821_PCR2 94.3
MP_E1033_OC0821_PCR3 91.3
MP_E1034_OC0821_PCR1 93.1
MP_E1034_OC0821_PCR2 89.2
MP_E1034_OC0821_PCR3 92.3
MP_E1053_SKQ2021 89
MP_E1054_SKQ2021 67.8
MP_E1055_SKQ2021 86.2
MP_E1056_SKQ2021 83.7
MP_E1057_SKQ2021 87.7
MP_E1058_SKQ2021 86.1
MP_E1059_SKQ2021 90.5
MP_E1060_SKQ2021 81
MP_E1061_SKQ2021 86.1
MP_E1062_SKQ2021 89.3
MP_E1063_SKQ2021 84.4
MP_E1064_SKQ2021 89.9
MP_E1065_SKQ2021 87.2
MP_E1066_SKQ2021 88.8
MP_E1067_SKQ2021 81.7
MP_E1068_SKQ2021 80.1
MP_E1069_SKQ2021 89.2
MP_E1070_SKQ2021 83.8
MP_E1071_SKQ2021 86.9
MP_E1072_SKQ2021 90.9
MP_E1073_SKQ2021 85.3
MP_E1074_SKQ2021 92.4
MP_E1075_SKQ2021 89.3
MP_E1076_SKQ2021 47.4
MP_E1077_SKQ2021 90.8
MP_E1078_SKQ2021 87.4
MP_E1079_SKQ2021 91.2
MP_E1080_SKQ2021 90.3
MP_E1081_SKQ2021 89.4
MP_E1082_SKQ2021 83.8
MP_E1083_SKQ2021 82.5
MP_E1084_SKQ2021 86.2
MP_E1085_SKQ2021 88
MP_E1086_SKQ2021 90.4
MP_E1087_SKQ2021 89.5
MP_E1088_SKQ2021 90.5
MP_E1089_SKQ2021 91.9
MP_E1090_SKQ2021 91.6
MP_E1091_SKQ2021 86.4
MP_E1092_SKQ2021 90.8
MP_E1093_SKQ2021 89.1
MP_E1094_SKQ2021 92.1
MP_E1095_SKQ2021 90.2
MP_E1096_SKQ2021 90
MP_E1097_SKQ2021 89.7
MP_E1098_SKQ2021 86.5
MP_E1099_SKQ2021 90.3
MP_E1100_SKQ2021 85.7
MP_E1101_SKQ2021 91.9
MP_E1102_SKQ2021 92.5
MP_E1103_SKQ2021 92.6
MP_E1104_SKQ2021 90.8
MP_E1105_SKQ2021 91.7
MP_E1106_SKQ2021 94.4
MP_E1107_SKQ2021 92.4
MP_E1108_SKQ2021 92
MP_E1109_SKQ2021 91.3
MP_E1110_SKQ2021 91
MP_E1111_SKQ2021 91.2
MP_E1112_SKQ2021 89.9
MP_E1113_SKQ2021 92.2
MP_E1114_SKQ2021 90.8
MP_E1115_SKQ2021 90.1
MP_E1116_SKQ2021 92.9
MP_E1117_SKQ2021 89.5
MP_E1118_SKQ2021 92.7
MP_E1119_SKQ2021 90.5
MP_E1120_SKQ2021 91.8
MP_E1121_SKQ2021 90.7
MP_E1122_SKQ2021 92.9
MP_E1123_SKQ2021 91.3
MP_E1124_SKQ2021 91.1
MP_E1125_SKQ2021 85.9
MP_E1126_SKQ2021 88.4
MP_E1127_SKQ2021 83.7
MP_E1128_SKQ2021 84.5
MP_E1129_SKQ2021 88.4
MP_E1130_SKQ2021 91.4
MP_E1131_SKQ2021 91
MP_E1132_SKQ2021 87.2
MP_E1133_SKQ2021 92.8
MP_E1134_SKQ2021 89.1
MP_E1135_SKQ2021 90.9
MP_E1136_SKQ2021 91.7
MP_E1137_SKQ2021 93.8
MP_E1138_SKQ2021 93.9
MP_E1139_SKQ2021 88.2
MP_E1140_SKQ2021 90.3
MP_E1141_SKQ2021 91.5
MP_E1142_SKQ2021 91.1
MP_E1143_SKQ2021 91.3
MP_E1144_SKQ2021 90.1
MP_E1145_SKQ2021 90.5
MP_E1146_SKQ2021 93.3
MP_E1172_OC0622 86.4
MP_E1173_OC0622 89.9
MP_E1174_OC0622 89.9
MP_E1229_OC0822_PCR1 87.8
MP_E1229_OC0822_PCR2 90.3
MP_E1229_OC0822_PCR3 90.2
MP_E1230_OC0822_PCR1 90
MP_E1230_OC0822_PCR2 89.7
MP_E1230_OC0822_PCR3 88.3
MP_E1231_OC0822_PCR1 89.2
MP_E1231_OC0822_PCR2 89
MP_E1231_OC0822_PCR3 86.8
MP_E1240_OC0922 91.5
MP_E1241_OC0922 92.4
MP_E1242_OC0922 92
MP_E1243_OC0922 87.5
MP_E1244_OC0922 87.3
MP_E1245_OC0922 80.8
MP_E1246_OC0922 88.2
MP_E1247_OC0922 87
MP_E1248_OC0922 87.3
MP_E1249_OC0922 61.4
MP_E1250_OC0922 92.8
MP_E1251_OC0922 90.6
MP_E1252_OC0922 87.7
MP_E1253_OC0922 89.9
MP_E1254_OC0922 91.7
MP_E1255_OC0922 92.6
MP_E1256_OC0922 89.3
MP_E1257_OC0922 92.8
MP_E1258_OC0922 90.7
MP_E1259_OC0922 88.4
MP_E1260_OC0922 90.1
MP_E1261_OC0922 92.8
MP_E1262_OC0922 89.6
MP_E1263_OC0922 80
MP_E1265_OC0922_PCR1 84.1
MP_E1265_OC0922_PCR2 87.1
MP_E1265_OC0922_PCR3 87.4
MP_E1266_OC0922_PCR1 88
MP_E1266_OC0922_PCR2 87.2
MP_E1266_OC0922_PCR3 85.9
MP_E1267_OC0922_PCR1 87.3
MP_E1267_OC0922_PCR2 83.6
MP_E1267_OC0922_PCR3 81
MP_E1275_OC1021 92.2
MP_E1276_OC1021 95.7
MP_E1277_OC1021 93.3
MP_E1278_OC1021 93.2
MP_E1279_OC1021 92.6
MP_E1280_OC1021 94.8
MP_E1281_OC1021 93.3
MP_E1282_OC1021 93.8
MP_E1283_OC1021 93.9
MP_E1284_OC1021 94
MP_E1285_OC1021 94.9
MP_E1286_OC1021 94
MP_E1287_OC1021 94.2
MP_E1288_OC1021 94.1
MP_E1289_OC1021 93.4
MP_E1290_OC1021 95.1
MP_E1291_OC1021 93.7
MP_E1292_OC1021 92.9
MP_E1293_OC1021 96.3
MP_E1294_OC1021 93.9
MP_E1295_OC1021 95.8
MP_E1296_OC1021 96
MP_E1297_OC1021 92.8
MP_E1298_OC1021 91.1
MP_E1299_OC1021 93.2
MP_E1300_OC1021 87.9
MP_E1301_OC1021 94.7
MP_E1302_OC1021 95
MP_E1303_OC1021 92.5
MP_E1304_OC1021 93.5
MP_E1305_OC1021 83.7
MP_E1306_OC1021 90.3
MP_E1307_OC1021 93.6
MP_E1308_OC1021 88
MP_E1309_OC1021 93.9
MP_E1310_OC1021 92.8
MP_E1312_OC1021 90.8
MP_E1313_OC1021 92.4
MP_E1315_OC1021 94.1
MP_E1316_OC1021 91.6
MP_E1317_OC1021 94
MP_E1318_OC1021 88.8
MP_E1319_OC1021 86.8
MP_E1320_OC1021 93.4
MP_E1321_OC1021 94
MP_E1322_OC1021 92
MP_E1323_OC1021_PCR1 92.2
MP_E1323_OC1021_PCR2 94.8
MP_E1323_OC1021_PCR3 90.8
MP_E1324_OC1021_PCR1 89.9
MP_E1324_OC1021_PCR2 93.8
MP_E1324_OC1021_PCR3 92.2
MP_E1325_OC1021_PCR1 91.6
MP_E1325_OC1021_PCR2 89.5
MP_E1325_OC1021_PCR3 90.3
MP_E1389_OC0722 88.5
MP_E1390_OC0722 93.1
MP_E1391_OC0722 93.1
MP_E1403_OC0722 91.6
MP_E1404_OC0722 91.8
MP_E1406_OC0722 93.1
MP_E1408_OC0722 85.9
MP_E1410_OC0722 96.1
MP_E1412_OC0722 91.5
MP_E1414_OC0722 94.5
MP_E1416_OC0722 89.7
MP_E1418_OC0722 92.4
MP_E1420_OC0722 91.2
MP_E1422_OC0722 90.4
MP_E1424_OC0722 89.7
MP_E1426_OC0722 92
MP_E1845_OC0623 86.4
MP_E1846_OC0623 92.2
MP_E1847_OC0623 90.9
MP_E1849_OC0723 89.8
MP_E1850_OC0723 90.7
MP_E1851_OC0723 90.6
MP_E1852_OC0723 91.4
MP_E1853_OC0723 92.1
MP_E1854_OC0723 89.7
MP_E1855_OC0723 92.1
MP_E1856_OC0723 90.8
MP_E1857_OC0723 92.4
MP_E1858_OC0723 87.3
MP_E1859_OC0723 92.6
MP_E1860_OC0723 94.5
MP_E1861_OC0723 94
MP_E1862_OC0723 93.8
MP_E1863_OC0723 94.3
MP_E1864_OC0723 87.8
MP_E1865_OC0723 92.3
MP_E1866_OC0723 92
MP_E1867_OC0723 94.3
MP_E1868_OC0723 93.4
MP_E1869_OC0723 93.9
MP_E1870_OC0723 92.7
MP_E1871_OC0723 93.9
MP_E1872_OC0723 93.3
MP_E1873_OC0723 90.8
MP_E1874_OC0723 92.5
MP_E1875_OC0723 93.3
MP_E2128_1B 72.9
MP_E2128_2B 87
MP_E2128_4B 85.2
MP_E2129_1B 70.8
MP_E2129_2B 92.9
MP_E2129_3B 71.5
MP_E2129_4B 84.7
MP_E2129_5B 70.3
MP_E2130_1B 92.5
MP_E2130_2B 92.3
MP_E2130_3B 93.1
MP_E2130_4B 85.3
MP_E2130_5B 90.1
MP_E2131_1B 89.8
MP_E2131_2B 88
MP_E2131_3B 89.2
MP_E2131_4B 91.6
MP_E2131_5B 88.2
MP_E2132_1B 86.4
MP_E2132_2B 88.6
MP_E2132_3B 88.1
MP_E2132_4B 92.4
MP_E2132_5B 71.4
MP_E2133_1B 88.3
MP_E2133_2B 79
MP_E2133_3B 89.2
MP_E2133_4B 85.2
MP_E2133_5B 89.9
MP_E2134_2B 77.4
MP_E2134_4B 58.3
MP_E2134_5B 89.9
MP_E2135_2B 88
MP_E2135_3B 88
MP_E2135_4B 90.7
MP_E2135_5B 83.4
MP_E2136_2B 73.1
MP_E2136_3B 89.3
MP_E2136_4B 90.9
MP_E2136_5B 90
MP_E2137_1B 91
MP_E446_1B_PCR2 88.2
MP_E446_1B_PCR3 90.9
MP_E446_2B_PCR2 91.9
MP_E446_2B_PCR3 92.2
