dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1148_DY2206	304344	291679	291641	291637	289985	288124	94.7
MP_E1149_DY2206	123703	119613	119607	119607	119055	118962	96.2
MP_E1150_DY2206	118149	112385	112280	112147	110292	103836	87.9
MP_E1151_DY2206	132154	125817	125490	125564	123404	111853	84.6
MP_E1152_DY2206	50567	48500	48490	48492	48343	48343	95.6
MP_E1153_DY2206	147458	140601	140465	140522	139325	134841	91.4
MP_E1154_DY2206	581360	566107	566087	565750	562757	561482	96.6
MP_E1155_DY2206	162663	155359	155067	155120	152252	135792	83.5
MP_E1156_DY2206	118832	115101	115095	115074	114901	114825	96.6
MP_E1158_DY2206	277893	268170	268157	268156	265995	265961	95.7
MP_E1159_DY2206	242470	234302	234291	234280	233497	232588	95.9
MP_E1160_DY2206	39463	37702	37699	37697	37640	37435	94.9
MP_E1164_DY2206	459207	447453	446805	447425	443245	441827	96.2
MP_E1165_DY2206	146198	138778	138623	138600	137178	126823	86.7
MP_E1166_DY2206	240170	232925	232915	232911	231888	231390	96.3
MP_E1455_RC0083	434803	418565	418493	418467	418019	417128	95.9
MP_E1456_RC0083	141350	134047	133792	133746	132885	130800	92.5
MP_E1457_RC0083	258259	248663	248467	248296	246143	239734	92.8
MP_E1458_RC0083	295592	284257	283931	284006	283090	281960	95.4
MP_E1459_RC0083	163567	157362	157316	157296	156995	156852	95.9
MP_E1460_RC0083	290826	279377	279174	279159	276886	273241	94
MP_E1461_RC0083	80383	76918	76794	76888	76709	76003	94.6
MP_E1462_RC0083	247784	224986	224860	224823	223826	220982	89.2
MP_E1463_RC0083	173415	164746	164503	164386	161946	159329	91.9
MP_E1470_RC0083	289590	277978	277886	277877	277146	276782	95.6
MP_E1471_RC0083	85220	79362	79318	79315	78961	78698	92.3
MP_E1472_RC0083	173114	166682	166597	166531	164762	161091	93.1
MP_E1485_RC0083	88547	82276	82266	82260	82155	82153	92.8
MP_E1486_RC0083	231941	221348	221265	221307	220965	220825	95.2
MP_E1487_RC0083	375136	363215	363103	363108	361495	358187	95.5
MP_E1488_RC0083	990232	950941	950591	950416	939977	932160	94.1
MP_E1489_RC0083	618087	596513	596421	596278	594400	592721	95.9
MP_E1490_RC0083	110447	105294	105247	105245	104988	104861	94.9
MP_E1494_RC0083	451679	433269	433150	433027	430256	429010	95
MP_E1495_RC0083	225185	194810	194710	194751	194001	193686	86
MP_E1496_RC0083	35142	30187	30157	30148	29721	29185	83
MP_E1497_RC0083	227093	218986	218847	218874	218481	217403	95.7
MP_E1498_RC0083	184315	177813	177685	177667	176661	174170	94.5
MP_E1499_RC0083	289226	278212	278135	278141	277469	276634	95.6
MP_E1501_RC0083	349738	337087	336992	336972	336521	335938	96.1
MP_E1502_RC0083	471674	459716	459530	459535	458672	456841	96.9
MP_E1503_RC0083	556222	539015	538924	538945	536647	525015	94.4
MP_E1504_RC0083	10413	1435	1427	1429	1122	1121	10.8
MP_E1505_RC0083	120198	114748	114646	114638	114218	113740	94.6
MP_E1506_RC0083	304609	293665	293631	293586	292416	290971	95.5
MP_E1510_RC0083	475566	463349	463295	463261	461972	440168	92.6
MP_E1511_RC0083	667960	647791	647470	647573	642881	634584	95
MP_E1517_RC0083	184648	177014	176967	176968	176720	176595	95.6
MP_E1518_RC0083	214296	187191	187020	186954	185277	183472	85.6
MP_E1519_RC0083	191220	184609	184554	184563	184234	183915	96.2
MP_E1526_RC0083	249676	241426	241304	241308	240891	239738	96
MP_E1527_RC0083	59175	44372	44355	44363	44287	44250	74.8
MP_E1528_RC0083	109330	104395	104356	104289	103929	103129	94.3
MP_E1529_RC0083	179031	172597	172507	172518	172273	171817	96
MP_E1530_RC0083	99858	95696	95628	95619	95126	93976	94.1
MP_E1531_RC0083	20	18	16	17	16	14	70
MP_E1532_RC0083	85717	83051	83041	83047	82862	82856	96.7
MP_E1533_RC0083	555158	538129	538008	537968	535658	531181	95.7
MP_E1534_RC0083	481613	466468	466311	466245	464366	462427	96
MP_E1541_RC0083	167	161	154	155	148	147	88
MP_E1542_RC0083	602883	584069	583859	583855	580433	577562	95.8
MP_E1546_RC0083	120609	115897	115768	115770	115476	114949	95.3
MP_E1547_RC0083	309857	299127	298955	298962	298101	297064	95.9
MP_E1548_RC0083	48275	46512	46475	46478	46415	46415	96.1
MP_E1553_RC0083	209212	203547	203516	203500	203384	203315	97.2
MP_E1554_RC0083	394929	380999	380886	380928	379354	378671	95.9
MP_E1555_RC0083	406836	394881	394862	394845	393905	393348	96.7
MP_E1556_RC0083	263592	254635	254524	254484	253520	252324	95.7
MP_E1557_RC0083	363018	352681	352593	352597	351754	350522	96.6
MP_E1558_RC0083	469993	455999	455869	455850	454430	453382	96.5
MP_E1559_RC0083	162771	156600	156543	156533	155682	154074	94.7
MP_E1560_RC0083	655503	637161	637005	637053	632559	597796	91.2
MP_E1561_RC0083	375917	367203	367134	367016	366200	365539	97.2
MP_E1562_RC0083	591534	571389	571163	571219	570400	567716	96
MP_E1563_RC0083	775195	753369	753218	753159	751108	747591	96.4
MP_E1564_RC0083	257463	247551	247191	247244	246081	243128	94.4
MP_E1565_RC0083	196305	187556	187396	187403	186402	185026	94.3
MP_E1566_RC0083	274056	264105	263892	263891	262535	258370	94.3
MP_E1567_RC0083	99595	93656	93594	93554	93392	93084	93.5
MP_E1568_RC0083	321976	312231	312072	312054	311270	309171	96
MP_E1569_RC0083	359761	347619	347570	347552	346580	345120	95.9
MP_E1611_DY2209	268689	259176	259109	259124	258677	258348	96.2
MP_E1612_DY2209	196849	189387	189292	189300	188669	187675	95.3
MP_E1613_DY2209	260032	252286	252216	252246	251578	250710	96.4
MP_E1614_DY2209	309965	300241	300162	300207	299676	298531	96.3
MP_E1615_DY2209	155187	151098	151077	151076	150862	149338	96.2
MP_E1616_DY2209	366968	352272	352220	352242	351303	351040	95.7
MP_E1617_DY2209	194302	187511	187481	187471	186994	186920	96.2
MP_E1618_DY2209	167769	161135	161066	161027	159482	157125	93.7
MP_E1619_DY2209	200376	191744	191623	191641	191096	190544	95.1
MP_E1620_DY2209	269597	260684	260646	260567	259851	259082	96.1
MP_E1621_DY2209	123722	118171	118149	118143	117914	117645	95.1
MP_E1622_DY2209	142840	137094	137072	137061	136782	136550	95.6
MP_E1718_DY2306	270576	262543	262494	262495	261932	260137	96.1
MP_E1719_DY2306	435302	422736	422614	422667	421415	420396	96.6
MP_E1720_DY2306	674615	653208	653012	652817	649809	648943	96.2
MP_E1721_DY2306	234111	223347	223321	223318	222173	219846	93.9
MP_E1722_DY2306	955638	928548	928150	927903	920482	918952	96.2
MP_E1723_DY2306	264241	254617	254540	254513	253982	253795	96
MP_E1724_DY2306	235971	227706	227662	227674	226644	224000	94.9
MP_E1725_DY2306	119719	112643	112631	112614	111898	110148	92
MP_E1726_DY2306	364991	352737	352691	352482	351549	351418	96.3
MP_E1727_DY2306	200994	193983	193931	193952	193340	191614	95.3
MP_E1728_DY2306	37423	29666	29622	29626	28744	25934	69.3
MP_E1729_DY2306	494064	478667	478464	478455	475139	466517	94.4
MP_E1730_DY2306	150583	144341	144328	144312	143837	143381	95.2
MP_E1731_DY2306	307643	298870	298856	298846	298582	298313	97
MP_E1732_DY2306	1064499	1037611	1037534	1037441	1031558	1014721	95.3
MP_E1733_DY2306	937756	914267	914212	914197	908281	876009	93.4
MP_E1734_DY2306	1053823	1027079	1027022	1026914	1019426	963630	91.4
MP_E1735_DY2306	230343	221834	221739	221737	220948	218987	95.1
MP_E1736_DY2306	210228	202266	202245	202233	201525	200852	95.5
MP_E1737_DY2306	139886	133550	133444	133466	132773	131390	93.9
MP_E1750_DY2306	151563	145037	144998	145010	144720	143837	94.9
MP_E1751_DY2306	177045	169583	169416	169353	167691	162664	91.9
MP_E1752_DY2306	220188	211465	211387	211363	210351	207757	94.4
MP_E1753_DY2306	333207	323398	323367	323345	322478	320703	96.2
MP_E1754_DY2306	36	23	23	23	23	23	63.9
MP_E1755_DY2306	218176	210404	210390	210260	209500	207584	95.1
MP_E1756_DY2306	472501	458179	458142	458120	455641	451326	95.5
MP_E1757_DY2306	244143	234676	234593	234616	232811	228153	93.5
MP_E1758_DY2306	273231	263286	263168	263179	260935	256023	93.7
MP_E1759_DY2306	228973	220038	219875	219740	217535	210182	91.8
MP_E1760_DY2306	247726	240234	240180	240198	238651	237329	95.8
MP_E1761_DY2306	215973	209778	209760	209757	208865	208561	96.6
MP_E1762_DY2306	331180	319692	319614	319490	316447	312687	94.4
MP_E1763_DY2306	323603	312298	312234	312224	310115	307893	95.1
MP_E1764_DY2306	168894	163379	163363	163367	162794	162695	96.3
MP_E1765_DY2306	540514	521600	521563	521563	518886	516954	95.6
MP_E1766_DY2306	433353	419710	419682	419680	418110	416666	96.1
MP_E1767_DY2306	314075	301648	301626	301606	300494	299095	95.2
MP_E1768_DY2306	540660	526119	525998	526028	523044	520103	96.2
MP_E1769_DY2306	414244	400854	400810	400812	399426	396351	95.7
MP_E1770_DY2306	116477	111193	111158	111134	110060	107054	91.9
MP_E1772_DY2306	404547	390612	390562	390516	387050	383685	94.8
MP_E1773_DY2306	362823	351341	351114	351318	348445	346417	95.5
MP_E1774_DY2306	320999	308681	308592	308548	306775	300425	93.6
MP_E1775_DY2306	339387	326560	326536	326495	323825	321684	94.8
MP_E1776_DY2306	538730	523276	523218	522611	517805	514899	95.6
MP_E1777_DY2306	500637	483716	483622	483620	481176	472391	94.4
MP_E1778_DY2306	220120	212753	212621	212703	211744	210346	95.6
MP_E1779_DY2306	240809	232760	232647	232714	231999	230897	95.9
MP_E1780_DY2306	236371	227334	227283	227308	226339	225121	95.2
MP_E1781_DY2306	468364	453170	452814	453154	450402	449447	96
MP_E1782_DY2306	272342	263994	263976	263974	262328	262280	96.3
MP_E1783_DY2306	157598	151184	151154	151133	150523	148865	94.5
MP_E1784_DY2306	531975	514889	514808	514821	511231	507543	95.4
MP_E1785_DY2306	356453	343807	343750	343735	340984	337774	94.8
MP_E1786_DY2306	210492	201853	201831	201825	200812	197559	93.9
MP_E1787_DY2306	502957	488052	488007	488025	485236	481258	95.7
MP_E1788_DY2306	179343	171485	171400	171436	170265	166829	93
MP_E1789_DY2306	300613	291131	291034	291071	288948	284700	94.7
MP_E1790_DY2306	742654	720287	720118	720095	715690	708238	95.4
MP_E1791_DY2306	265701	257430	257406	257398	255881	252883	95.2
MP_E1792_DY2306	273483	263700	263672	263672	262426	260827	95.4
MP_E1793_DY2306	473509	458015	457976	457972	454196	451151	95.3
MP_E1794_DY2306	162425	155783	155771	155764	154764	152818	94.1
MP_E1795_DY2306	380555	368275	368207	368193	367124	362939	95.4
MP_E1796_DY2306	145304	138075	138065	138049	137251	134463	92.5
MP_E1797_DY2306	410862	397357	397262	397228	394275	387333	94.3
MP_E1798_DY2306	159305	151381	151353	151346	150093	146391	91.9
MP_E1820_DY2306_PCR1	63777	60609	60544	60503	59261	58759	92.1
MP_E1820_DY2306_PCR2	148252	142661	142588	142595	141394	140413	94.7
MP_E1820_DY2306_PCR3	31753	24541	24477	24517	23517	22956	72.3
MP_E1821_DY2306_PCR1	46167	43747	43704	43728	42662	42577	92.2
MP_E1821_DY2306_PCR2	42349	39842	39809	39829	38928	37873	89.4
MP_E1821_DY2306_PCR3	57922	55101	55074	55027	53905	53518	92.4
MP_E1824_DY2306_PCR1	8611	8195	8181	8181	8146	8146	94.6
MP_E1824_DY2306_PCR2	9705	8023	8002	8006	7968	7968	82.1
MP_E1824_DY2306_PCR3	7701	6930	6923	6923	6901	6901	89.6
MP_E1826_DY2306_PCR1	17907	17083	17080	17078	16796	16651	93
MP_E1826_DY2306_PCR2	21623	20165	20156	20160	20073	19466	90
MP_E1826_DY2306_PCR3	12726	11744	11740	11717	11682	11597	91.1
MP_E1829_DY2306_PCR1	121457	115808	115643	115469	113762	110265	90.8
MP_E1829_DY2306_PCR2	102650	98142	97853	97895	96102	93926	91.5
MP_E1829_DY2306_PCR3	98875	93275	92896	92982	91191	86160	87.1
MP_E1831_DY2306_PCR1	12260	11497	11495	11493	11470	11470	93.6
MP_E1831_DY2306_PCR2	6757	6336	6331	6332	6275	6275	92.9
MP_E1831_DY2306_PCR3	7626	6906	6905	6904	6850	6849	89.8
MP_E1832_DY2306_PCR1	93783	89986	89869	89825	88552	87713	93.5
MP_E1832_DY2306_PCR2	99354	95060	94960	94940	93881	92737	93.3
MP_E1832_DY2306_PCR3	94951	90459	90255	90295	89007	88167	92.9
MP_E1833_DY2306_PCR1	81277	75437	75372	75386	74460	73992	91
MP_E1833_DY2306_PCR2	30278	28964	28956	28932	28818	28777	95
MP_E1833_DY2306_PCR3	24783	21951	21917	21938	21860	21852	88.2
MP_E1834_DY2306_PCR1	146261	140241	139985	139968	138837	136092	93
MP_E1834_DY2306_PCR2	158070	152041	151975	151945	151385	150540	95.2
MP_E1834_DY2306_PCR3	105797	99472	99368	99355	98783	97547	92.2
MP_E1835_DY2306_PCR1	126679	120355	120295	120269	120046	119891	94.6
MP_E1835_DY2306_PCR2	109313	104087	104044	104025	103839	103665	94.8
MP_E1835_DY2306_PCR3	74677	71270	71229	71233	71114	70934	95
MP_E1836_DY2306_PCR1	82567	78135	78079	78020	77604	77408	93.8
MP_E1836_DY2306_PCR2	123004	115180	114957	115114	114687	114175	92.8
MP_E1836_DY2306_PCR3	20405	7713	7700	7665	6943	6886	33.7
MP_E1837_DY2306_PCR1	132336	127361	127098	127229	126491	124522	94.1
MP_E1837_DY2306_PCR2	109817	101327	101167	101095	100192	99412	90.5
MP_E1837_DY2306_PCR3	81773	76304	76065	76156	75465	74401	91
MP_E1838_DY2306_PCR1	169669	163360	163195	163157	161882	160530	94.6
