ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cyathomonadacea	NA	NA	NA
ASV_10	Eukaryota	Arthropoda	Insecta	Orthoptera	NA	NA	NA
ASV_100	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_1000	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	NA	NA	NA
ASV_10000	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10001	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	NA	NA	NA
ASV_10002	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10003	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10004	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_10005	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10006	Eukaryota	Phaeophyceae__p	Phaeophyceae	Asteronema__f__o	NA	NA	NA
ASV_10007	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	NA	NA	NA
ASV_10008	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_10009	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_1001	Eukaryota	Mollusca	Gastropoda	zzOther	NA	NA	NA
ASV_10010	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_10011	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_10012	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	NA	NA
ASV_10013	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_10014	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10015	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_10016	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	zzOther	zzOther	zzOther
ASV_10018	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10019	Eukaryota	Mollusca	Gastropoda	NA	NA	NA	NA
ASV_1002	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	zzOther	zzOther	zzOther
ASV_10020	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_10021	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_10024	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10025	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_10026	Eukaryota	Mollusca	Gastropoda	Stylommatophora	NA	NA	NA
ASV_10027	Eukaryota	zzOther	zzOther	NA	NA	NA	NA
ASV_10028	Eukaryota	Rhodophyta	Bangiophyceae	zzOther	NA	NA	NA
ASV_10029	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_1003	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10030	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	NA	NA	NA
ASV_10032	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_10033	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10034	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10035	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	NA	NA	NA
ASV_10036	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_10037	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10038	Eukaryota	Bacillariophyta	Bacillariophyceae	zzOther	NA	NA	NA
ASV_10039	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_1004	Eukaryota	Annelida	Polychaeta	Capitellidae__o	Capitellidae	Barantolla	Barantolla americana CMC01
ASV_10040	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	NA	NA	NA
ASV_10041	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10042	Eukaryota	Arthropoda	Insecta	Hymenoptera	NA	NA	NA
ASV_10043	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_10044	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cyathomonadacea	NA	NA	NA
