Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
JF54	47.68	-125.579_-125.577_-125.576	E451_E453_E454	NA	Line3	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	offshoreW	offshore	slope	1232.8_99.4_3.8	10.2_1143.6_1239.2	54	4_4.6_5	3.268_7.623_16.546	34.452_33.051_31.893	19.4_200.1_259.9	2380_2133.8_1959.6	2379.4_2213.1_2158.2	7.312_7.5658_7.9	48.17089626_74.61412762_140.2447236	140.2_24.5_2.1	3.23_1.71_0.42	43.5_20.7_0	0.02_0.03_0.01	0.04_0.05	3.856_4.837_4.242	0.493220398_1.085900788_2.219907107	47.68	NA_0.2	NA	NA	NA	NA	NA	NA	NA	1000
JF9	48.37	-124.949_-124.95	E431_E432_E433_E434	NA	Line3	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	OCNMS	near	shelf	108_99.2_49.8_3.4	10_18.8_68.2_114.6	9	6.5_6.7_6.9	6.61_6.622_7.738_13.103	33.868_33.863_33.012_31.715	55.5_56.4_132_335.5	2275.7_2273.5_2179.2_1957.2	2269.8_NA_2186.2	7.2924_7.2934_7.4228_7.9635	44.34218744_43.34501402_55.60924892_NA	61_60.9_38.5_15.5	2.75_2.2_0.72	35.7_27.3_5.3	0.08_0.05_0.21	0.03_0.54	25.432_25.329_14.227_16	0.590296179_NA_2.48324475	48.37	NA_4.3	NA	NA	NA	NA	NA	NA	NA	1000
Kalaloch	47.638	-124.487	E455	NA	Line0	day	oversat_arg	benthic	upper100	OCNMS	near	shelf	14	10	5	9.3	12.333	32.278	410.1	1849.6	2209.6	8.1863	238.7920743	0.3	0.08	0	0.03	0.1	12.879	3.761332959	47.638	5.1	16950	5240	1390	0	6110000	4150000	1520000	1000
La_Goleta	34.38	-119.85	E869_E870_E871	NA	LineNA	day	oversat_arg	surface_pelagic	upper100	waySouth	near	shelf	0_5.2	60.46_55.26	2	3.5_3.7_4.2	NA_16.07	NA_33.45	NA	NA	NA	8_NA	NA	NA	NA	NA	NA	NA	3216.58_492.68	NA	34.38	NA	NA	NA	NA	NA	NA	NA	NA	1000
ML1	36.809	-121.818	E758_E759_E760	NA	Line13	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	31.7_14.9_3.5	10.3_27.1_38.5	1	11.8_11.9	10.547_10.872_14.89	33.916_33.889_33.837	131.1_145_282	2192.3_2186.3_2049.8	2258.3_2253_2257.8	7.5088_7.5281_7.8893	71.52042536_72.08556354_148.3357422	28.4_26.6_14.6	2_1.93_0.66	22.5_21.4_5.4	0.75_0.8_0.44	0.63_0.85_0.2	24.491_24.057_12.713	1.037955971_1.046994274_2.291114479	36.809	NA_5.7	NA	NA	NA	NA	NA	NA	NA	1000
ML11	36.736	-121.968	E768_E769_E770_E771_E772	NA	Line13	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	near	slope	110.9_99.7_20.2_10.3_3.1_3	10.1_21.3_100.8_110.7_117.9_118	11	0.7_1_1.1	10.051_10.119_11.595_13.836_14.161_14.16	33.923_33.915_33.854_33.822_33.838	113.6_116.3_180.2_263.9_280.5	2196.2_2192.5_2155.7_2121.1_2057.5	2249.9_2251.5_2251.4_2255.8_2262.3	7.4934_7.4963_7.5584_7.7147_7.879	69.74378349_67.46414871_85.69669093_105.6757725_145.7614419	26.9_26.7_20.1_15.8_14.5	1.96_1.95_1.58_0.94_0.78	23.9_18.7_10.3_7.8	0.02_0.03_0.69_0.47_0.4	0.01_0.28_0.21_0.16	19.98_20.582_21.336_18.276_12.429_12.158	0.932681149_0.970999801_1.267475973_1.613798815_2.254064727	36.736	NA_2.2_5.2	NA	NA	NA	NA	NA	NA	NA	1000
ML126	35.91	-123.931	E733	NA	Line13	day	oversat_arg	surface	upper100	waySouth	offshore	plain	4.3	3883.7	126	8.4	14.963	33.276	259.5	2038.5	2227.5	7.8628	136.9724594	2.2	0.65	4.9	0.17	0.25	3.776	2.112210775	35.91	0.5	NA	NA	NA	NA	NA	NA	NA	1000
ML3	36.795_36.794	-121.847	E756_E757	NA	Line13	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	near	shelf	99_3.5	188_283.5	3	10_10.2	9.852_13.565	33.964_33.821	107.2_288.2	2212.7_2053.7	2255.5_2264.2	7.4608_7.8805	63.05288887_144.1169739	33_15.4	2.22_0.83	26_7.1	0.19_0.52	0.03_0.08	25.828_13.631	0.86578514_2.300589415	36.795_36.794	NA_12.1	NA	NA	NA	NA	NA	NA	NA	1000
ML38	36.619	-122.416	E746_E747_E748_E749	NA	Line13	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	98.5_9.5_3.6_19.9	2655.5_2744.5_2750.4_2734.1	38	4.1_4.5_4.4	9.572_13.15_13.32_13.085	33.992_33.781_33.784_33.791	95_257.8_256.9_254.7	2207.7_2091.2_2073_2097.7	2256_2254.7_2258.2_2254.5	7.464_7.7879_7.8313_7.7687	64.50786971_119.7760322_134.08_119.7916488	30.8_11.2_11.6_12.2	2.12_0.89_0.75_0.97	25.8_10.2_8.4_11	0.08_0.52_0.51_0.55	0.04_0.58_0.23_0.75	13.666_11.026_9.795_13.117	0.898526504_1.859671844_2.061685559_1.795691209	36.619	NA_10.4	NA	NA	NA	NA	NA	NA	NA	1000
ML5	36.783	-121.871	E761	NA	Line13	day	undersat_arg	benthic	deep	waySouth	near	shelf	133.7	10.3	5	13.4	9.881	33.96	107.2	2208.8	2256.5	7.466	64.69750002	31.7	2.17	25.6	0.12	0.02	24.491	0.890928999	36.783	NA	NA	NA	NA	NA	NA	NA	NA	1000
ML60	36.459	-122.783	E742	NA	Line13	night	oversat_arg	surface	upper100	waySouth	offshore	plain	3.7	2951.3	60	8.9	14.588	33.63	261.9	2056.6	2245	7.8492	123.1733282	3.9	0.69	6.9	0.28	0.37	4.966	2.103103891	36.459	0.8	NA	NA	NA	NA	NA	NA	NA	1000
ML8	36.758	-121.927	E750_E753	NA	Line13	day	undersat_arg_oversat_arg	benthic_surface	upper100	waySouth	near	shelf	99.4_3.7	10.6_106.3	8	8_8.3	9.719_13.609	33.976_33.832	102_244.9	2205.8_2069.7	2253.2_2267.3	7.4648_7.8465	62.87841493_139.2362237	30.9_15.6	2.11_0.89	25.4_8.9	0.16_0.56	0.03_0.11	18.076_13.398	0.892674373_2.182542125	36.758	NA_6.8	NA	NA	NA	NA	NA	NA	NA	1000
ML82	36.287	-123.133	E737	NA	Line13	night	oversat_arg	surface	upper100	waySouth	offshore	plain	4.6	3243.4	82	1.2	13.957	33.647	268.3	2065.3	2246	7.8299	132.4526485	6.5	0.76	8.3	0.33	0.18	7.123	2.024753225	36.287	2	NA	NA	NA	NA	NA	NA	NA	1000
NH1	44.652	-124.101	E579_E580_E581	NA	Line6	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	25.1_10.8_3.7	9.9_24.2_31.3	1	1.1_1.2	8.996_11.035_11.227	33.615_33.331_33.293	117.9_221.4_227.8	2217.8_2144_2131.1	2252_2244.9_2242.8	7.42_7.6237_7.6579	56.62306475_85.58350834_92.78002841	39.8_23_20.6	2.32_1.62_1.48	24_14.8_12.9	0.54_0.42_0.39	3.01_2.23_1.98	12.044_9.69_8.992	0.819654854_1.308032449_1.398460637	44.652	4.9_NA_12.4	3130_NA	7200_NA	294_NA	7.94_NA	3620000_NA	2220000_NA	883000_NA	1000
NH10	44.652	-124.297_-124.298	E573_E574_E575	NA	Line6	night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	70.4_71.1_70.5_40.6_39.6_40.4_4_4.4	10.6_9.9_10.5_40.4_41.4_40.6_77_76.6	10	5.7_5.8_6	7.345_7.343_7.595_7.597_7.596_13.644_13.646	33.91_33.914_33.738_33.735_33.737_32.721	40.3_39.2_80.9_323.6	2280.7_2241.5_1971.6	2267.1_2249.3_2217.5	7.2555_7.3326_7.9876	40.5630478_47.43880807_168.4537342	64.9_46.1_2.7	2.84_2.46_0.32	34.1_32.4_0	0.08_0.09_0.04	0.05_0.07_0.12	12.114_10.822_5.343	0.564935014_0.662277854_2.64329956	44.652	NA_7.2	NA_657_1014_26700	NA_870_1450_3010	NA_60.9_180_602	NA_0_9.27	NA_1520000_1390000_2840000	NA_1010000_1050000_1880000	NA_311000_200000_739000	1000
NH25	44.653	-124.653_-124.654_-124.655	E569_E570_E571_E572	NA	Line6	day_night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	slope	283.1_199.4_99.7_3.4	9.9_93.6_193.3_289.6	25	15_15.1_15.2_0.1	6.888_7.036_7.481_15.483	34.017_34.002_33.89_31.286	67.6_74.2_85.4_290.7	2261.6_2254.1_2238.7_1902	2273.9_2269.2_2255.4_2150.7	7.3511_7.3613_7.3673_8.0194	50.51941763_51.73674861_51.72980622_162.9320652	57.8_54.7_47.9_1.6	2.63_2.56_2.44_0.19	34.8_34.1_32.4_0	0.12_0.09_0.08	0.04_0.05	24.251_15.035_11.059_3.533	0.655147991_0.680063217_0.700768053_2.701539272	44.653	NA_1.2	NA	NA	NA	NA	NA	NA	NA	1000
NH30	44.651	-124.777	E565_E566_E567_E568	NA	Line6	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	slope	245.4_197.9_99.5_4.1	11.6_59.1_157.5_252.9	30	12.8_12.9_13_13.4	6.94_7.012_7.615_15.775	34.014_34.004_33.832_30.973	67.3_69.9_93.3_279.2	2263.9_2260.5_2234.5_1910.9	2272.2_2269.5_2252.1_2134	7.3463_7.3525_7.3801_7.9814	49.87541314_50.15321108_53.0255954_164.7301342	57.8_56.4_45_4.9	2.63_2.6_2.37_0.22	34.7_34.3_31.5_0	0.12_0.1_0.07	0.04_0.05	27.766_28.473_10.057_4.745	0.640396117_0.64988785_0.70534971_2.454626795	44.651	NA_0.9	NA	NA	NA	NA	NA	NA	NA	1000
NH35	44.652	-124.883_-124.884	E560_E561_E562_E563_E564	NA	Line6	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	slope	425.5_297_197.9_100_3.4	10.5_139_238.1_336_432.6	35	9.7_9.8_10_10.3	6.289_6.827_7.114_7.959_15.9	34.081_34.033_33.993_33.727_31.223	50_64.9_74.6_122.3_271.6	2280.7_2266_2253_2201.1_1925.2	2285.7_2278.6_2267_2243.4_2137.8	7.3274_7.3463_7.355_7.4412_7.9461	44.35390099_48.93332748_45.03600072_58.97264749_147.8851539	67.5_59.2_54.6_37_3.9	2.81_2.67_2.56_2.14_0.29	37.1_35.1_33.9_28.5_0	0.09_0.08_0.1_0.07	0.05_0.04_0.06	24.892_19.68_18.634_7.25_3.992	0.602446376_0.655775678_0.674459155_0.846122642_2.350471957	44.652	NA_0.7	NA	NA	NA	NA	NA	NA	NA	1000
