x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_1	3.07408047150208	1.20475329938119	2.34883823270551	2.84094485710689	6.42614769295351	8.08192899093941	33.9375652996875	33.1802003910249	83.2318816896805	79.3446717359133	72.7193428146203	68.6226255479505	0.547844462442167	0.537799179656833	0.243985985829582	0.188606845778133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.672997522708505
ASV_2	39.9771786295662	46.196812879908	59.5097694067946	50.4548029711696	18.1759348873005	19.7792403270076	0.649365860971987	0.881099600474552	1.46764441539341	0.789273699320496	2.97927635868221	4.59165293839074	0.000465458336824271	0.00125948285633919	1.11957116157762	0.0188606845778133	0	0	32.4753544134777	26.9752820789602	14.1577034010335	19.0584464447689	0.876456543355423	4.44429849047103	2.39080577585876	0	28.5125723441127	0	1.65290548570714	30.8567299752271
ASV_3	8.62030159801936	14.0189474837085	6.43097606055272	6.05092534306937	27.8413927401206	24.0539503585869	23.9586017550682	23.5690447239357	5.32774327967971	9.34018318615927	5.46125726721312	6.21111727253225	0	0.00587758666291621	0	0	0	4.80200378013738	4.80932223453318	4.13764432158825	13.502358490566	5.66974036908834	2.38167538955278	5.98174115792585	64.8144114594678	57.0199186044427	14.4336723016055	8.11283176848352	19.3938825295553	0
ASV_4	0.0130856481844972	0.366902141175182	0.412009329343425	0.822264887322171	1.14798446810247	0.547177050438273	0.250657096406936	0.236536805496524	0.230308848762154	0.332419328317416	0.120951605868626	0.300740314988039	96.1017864290967	96.0238126225372	0	0	0	0	0.3778516435126	0	0.923491767816368	0	0	0	0	0	0	0	0	0
ASV_5	2.83853880418113	3.570450687257	5.33301795458546	5.7574279239582	5.3656176028172	7.00528288522268	1.13381340804633	1.19044539141297	0.527514502818858	0.413302106063097	0.655117062269843	0.764196116685623	0.0456149170087785	0.0537379352038053	0	0	0.0812868999743305	0.0660755720146903	16.5075712378193	15.7497429015295	24.6161819492849	26.810359204227	37.1053117315375	33.9479820038751	0.00256249279298902	0	0	0	0.00625508225433164	0
ASV_6	1.67548639354302	0	1.66343953529308	3.53337844643082	0	0	0.848954502223118	0.0691130978560156	0.780803170193643	0.993702698018372	0.630836814251606	1.28836665223005	0	0	71.6723857141999	38.3294636411527	0	0	6.61761224277205	0	4.93067239514481	0	10.4126848031248	7.36045887929242	0	0	0	0	0	0
ASV_7	1.24366000345461	1.50594162422649	1.85706741770815	0.0594076545385874	1.23019158339066	1.29563497919311	0	0	0	0	0	0	0	0	4.87371020955151	13.3026359432619	0	0	3.12366828603085	7.68232110687273	9.64427352481673	16.5243706502772	19.4969901577265	15.0230424835528	0	0	0	0	0	0
ASV_8	0.0659516668498657	1.38546629428837	3.36813501144165	4.95837529900541	4.85138586037617	8.57598205589824	0.0285795941697628	0.0776136393035469	0.0122559032600703	0.0413302106063097	0.1672639307923	0	0.00232729168412135	0.000839655237559458	4.16579028022331	13.8957719548124	8.67416787883974	18.1738555864591	2.88502514275974	4.17192411765993	2.25558827064055	8.19364732010299	5.15156386760266	8.79445666808972	0	0	0	0	0	0
ASV_9	0.36796842694806	0.186189146268003	0.194177961626474	0.342675941080196	0.950337573898949	0.507629194581353	0.00655925112092916	0.0188490266880043	0.0245118065201405	0.00311087606714159	0.0211328084603175	0.0153810659078674	0	0	3.59909376633835	4.33990855819822	20.6832377855737	20.664750987292	1.12408496453498	0	0	0.116738323117035	0.258411779766477	0.344268934791414	7.80535304744455	14.1940226258135	13.5900663767453	13.6751615656627	13.3858760242697	16.4244426094137
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8304526396851	6.01134041212717	2.75765410002178	0.635999620734171	9.01033529623843	2.55482023518501	4.36084763827114	8.35659474784627	6.47413804148676	6.09390967603134	9.93852794035902	5.39568345323741	12.5852254957153	0
ASV_11	0.0565300001570278	0.0492853622474125	0.0269538813589157	0.0299005413571698	0	0	16.0270615960532	17.4793307486759	0.00357463845085383	0.00844380646795575	0	0.0178096552617412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06958113984894	23.2390358899321	0	0
ASV_12	5.43159084842109	4.87925086249384	3.21796338672769	4.02595052247262	3.58388040905328	5.69902310893368	0.207553446183687	0.190707799431572	0.253799330010622	0.260869178773159	0.193342715700777	0.224644515233327	0	0	1.27341454180514	1.76184808694125	1.42893813639086	1.20165342594158	2.71930073771035	1.9021640032967	1.7752523735128	2.07851160671794	2.73297250951182	2.55382964981993	4.49717485169573	3.99089230327913	3.28859170127195	7.33243913343901	7.97522987427285	7.0251857968621
