x	CR13	CR24	CR3	ChaBa	HH20	NH10	Sokul
ASV_1	0.25265393339669	0	0.755057783757973	4.23190303486396	0.112166253784751	0	62.9822155214147
ASV_10	0	8.92089652590615	0	0	7.41188674366543	4.70176181053525	0
ASV_100	0.00390221060230621	0	0	0.0207947076497316	0.292458023671896	0.0036467868161363	0.0759078412458255
ASV_1004	0	0	0	0	0	0.000198472949129398	0
ASV_101	0	0.68452126294173	0	0	0	0	0
ASV_102	0	0	0.000232729168412135	0.0969686031056723	0	0.0235170822403414	0.0213905900807855
ASV_1028	0	0	0	0	0.000272482533869579	0	0
ASV_103	0	0	0	0.355403967561495	0.17866919966377	0.104530711528591	0.00651969622711924
ASV_1039	0	0	0	0.0119292459463596	0	0.00119083404403176	0
ASV_104	3.61344701773555	12.8394056271801	0	5.23197426742516	0	0.347309501216303	0.267153645753921
ASV_105	0	0	0	0.117480381067876	0	0	0
ASV_106	0.243385035125569	0	0	0.0363969078213929	0	0	0
ASV_107	0.927176779421977	2.60364040959258	0	0.791233825025411	0.368635787638526	0.263679154724489	0.0103287504773983
ASV_108	0.582010368326912	1.07186876131081	0	0.247430957905832	0.548133778381253	0.0644223868790451	0.0114607281453114
ASV_109	0	0	0	0.0344485519204616	0.131268410389682	0	0.015675109802535
ASV_11	0	0	0	0.0886408297414354	5.88451236290542	0	12.460791243793
ASV_110	0	0	0.192919379198341	0	0	0	0.0187726777267063
ASV_111	0.266976242041116	0	0	0.0265871618846447	0	0	0
ASV_113	0.964579112264005	2.31230966503839	0.00524326965655719	2.72331139920207	2.92713720888568	0.973463619789757	0.231587295026607
ASV_114	56.5340785664392	0.140602670682422	0.733537073983284	44.0126400233671	12.6892311327331	29.7004671414773	3.0340662643956
ASV_115	9.11202226661814	2.4747606681316	0.0029387933314581	17.0920624758768	29.9430423154266	18.619109986445	12.970273955817
ASV_116	4.09827411214439	21.3034330789972	0	0.440397423295872	13.4168001498619	0.31267661217132	0.0149241391274001
ASV_118	0	0	0	0	0	1.18099535634863	0.318809321876256
ASV_12	1.51763131437319	1.31529578116622	0	4.47413502797508	5.68491894347013	2.29638350502215	0.224115620366986
ASV_121	0	0	0	0.0912387706814984	0	0	0
ASV_126	0	0	0	0.0800693416045741	0	0.0143892888118814	0
ASV_127	0	0	0	0.0264038021475092	0	0	0.0509146750861604
ASV_128	0	0	0	0.0929725924536474	0	0	0
ASV_129	0	0	0	0.075960297257164	0	0	0
ASV_133	0	0	0	0.224420155693868	0	0	0
ASV_134	0	0	0	0.0707473685263791	0	0	0.0042715251143195
ASV_135	0	0	0	0.067720444732392	0	0	0.0128661403748563
ASV_138	0.00340406433148353	0.00798444991674427	0	0.0827455350304458	0.0987766176007037	0.0257437764927683	0.00219831973859323
ASV_140	0	0	0	0	0	0.0999460213867842	0.0315805257799953
ASV_143	0.0213337499924881	0	0	0.00359534664971995	0	0.0301210982981121	0.0340760351805834
ASV_146	0	0	0	0.069353935377835	0	0	0
ASV_148	0.0269902899992846	0.371134073123629	0	0.0548329343205535	0.0205896457538417	0.00413532968068476	0
ASV_150	0	0	0	0.0831666393313961	0	0	0.0013617670288967
ASV_152	0	0	0	0.0609485027355851	0	0.0037963682314483	0.00335771188333279
ASV_153	0.0299703346545014	0.329603589865247	0	0.00611137724738126	0.000953688868543526	0.0610338953792952	0.000936877930732183
ASV_157	0	0	0.038952582046576	0.00476444676439351	0	0.0453173839893817	0
ASV_159	0.940149593987796	0	0	0.18242763632251	0	0.431704607191979	0.0091165227118452
ASV_16	3.98660425197869	17.0731676695176	0.0288493907905757	0.488113223383273	0.623167554959727	0.776292696098285	0.885969568153137
ASV_164	0	0	0	0.0910026397780702	0	0.00512363011093056	0.00599401352449875
ASV_165	0	0	0	0	0.160807739621776	0	0
ASV_166	0	0.325147599897322	0	0.0233783664847738	0	0	0
ASV_167	0	0	0.00407504823630708	0	0	0	0.0431826466947371
ASV_17	0	0	0	0	0.0765489303472476	0	2.42986024480276
ASV_170	0	0.0736812359945104	0.0496764261062919	4.97838930967028	0.00146959584122011	25.8566185196618	0.780731431216121
ASV_172	0.0141223415443231	0	0.0511640625528538	0.027422237339379	0	0.0216644487602879	0.000973116985359292
