reads.in	reads.out
MP_E370_R1_trimmed.fq.gz	123168	120163
MP_E378_R1_trimmed.fq.gz	59559	58289
MP_E384_3B_R1_trimmed.fq.gz	98745	96410
MP_E388_1B_R1_trimmed.fq.gz	116272	114185
MP_E392_R1_trimmed.fq.gz	48911	47548
MP_E396_R1_trimmed.fq.gz	122404	120063
MP_E400_R1_trimmed.fq.gz	69095	67560
MP_E404_R1_trimmed.fq.gz	105986	103523
MP_E408_R1_trimmed.fq.gz	103053	101380
MP_E411_1T_R1_trimmed.fq.gz	141325	139250
MP_E423_R1_trimmed.fq.gz	158303	155072
MP_E427_R1_trimmed.fq.gz	95198	93267
MP_E431_R1_trimmed.fq.gz	79317	77715
MP_E435_R1_trimmed.fq.gz	140639	137855
MP_E438_R1_trimmed.fq.gz	74257	72680
MP_E442_R1_trimmed.fq.gz	70190	68377
MP_E446_1B_PCR1_R1_trimmed.fq.gz	124899	122400
MP_E446_2B_PCR1_R1_trimmed.fq.gz	154731	151232
MP_E446_3B_PCR1_R1_trimmed.fq.gz	116746	114487
MP_E449_1B_PCR1_R1_trimmed.fq.gz	177416	174161
MP_E449_2B_PCR1_R1_trimmed.fq.gz	135280	132533
MP_E449_3B_PCR1_R1_trimmed.fq.gz	155831	152729
MP_E451_R1_trimmed.fq.gz	11121	10853
MP_E455_R1_trimmed.fq.gz	180627	176592
MP_E458_1B_R1_trimmed.fq.gz	47971	46632
MP_E467_R1_trimmed.fq.gz	159061	155768
MP_E471_R1_trimmed.fq.gz	182746	178775
MP_E472_R1_trimmed.fq.gz	163596	160454
MP_E475_PCR1_R1_trimmed.fq.gz	128139	125414
MP_E486_PCR1_R1_trimmed.fq.gz	129066	126371
MP_E492_1B_PCR1_R1_trimmed.fq.gz	44902	43831
MP_E499_R1_trimmed.fq.gz	46101	44981
MP_E501_R1_trimmed.fq.gz	62979	61734
MP_E506_R1_trimmed.fq.gz	137071	134891
MP_E516_R1_trimmed.fq.gz	3131	3069
MP_E520_1B_R1_trimmed.fq.gz	53679	52654
MP_E524_R1_trimmed.fq.gz	47073	46200
MP_E528_R1_trimmed.fq.gz	85517	83605
MP_E529_R1_trimmed.fq.gz	161779	158748
MP_E532_R1_trimmed.fq.gz	127426	124951
MP_E536_R1_trimmed.fq.gz	153285	150337
MP_E540_R1_trimmed.fq.gz	154865	151473
MP_E543_R1_trimmed.fq.gz	178845	174789
MP_E552_R1_trimmed.fq.gz	11285	11065
MP_E555_R1_trimmed.fq.gz	14577	14269
MP_E560_R1_trimmed.fq.gz	129071	125995
MP_E561_R1_trimmed.fq.gz	85820	84085
MP_E562_R1_trimmed.fq.gz	52888	51594
MP_E565_R1_trimmed.fq.gz	89106	87029
MP_E566_R1_trimmed.fq.gz	79307	77591
MP_E569_R1_trimmed.fq.gz	127548	123208
MP_E570_R1_trimmed.fq.gz	53432	52140
MP_E573_1B_PCR1_R1_trimmed.fq.gz	137990	134973
MP_E573_2B_PCR1_R1_trimmed.fq.gz	117761	115611
MP_E573_3B_PCR1_R1_trimmed.fq.gz	82674	81265
MP_E579_R1_trimmed.fq.gz	154595	151693
MP_E583_R1_trimmed.fq.gz	71596	70188
MP_E588_R1_trimmed.fq.gz	23099	22553
MP_E590_R1_trimmed.fq.gz	30020	29258
MP_E594_R1_trimmed.fq.gz	90562	88336
MP_E598_1B_PCR1_R1_trimmed.fq.gz	48418	47255
MP_E598_2B_PCR1_R1_trimmed.fq.gz	34608	33858
MP_E598_3B_PCR1_R1_trimmed.fq.gz	41537	40526
MP_E601_R1_trimmed.fq.gz	165739	162489
MP_E604_R1_trimmed.fq.gz	123684	120946
MP_E607_R1_trimmed.fq.gz	82285	80828
MP_E632_R1_trimmed.fq.gz	177781	173664
MP_E635_R1_trimmed.fq.gz	47493	46157
MP_E638_R1_trimmed.fq.gz	162652	159213
MP_E655_R1_trimmed.fq.gz	141327	138145
MP_E658_1B_R1_trimmed.fq.gz	153011	150147
MP_E658_2T_R1_trimmed.fq.gz	88672	86709
MP_E658_3T_R1_trimmed.fq.gz	70314	68813
MP_E661_R1_trimmed.fq.gz	98571	96839
MP_E675_1B_R1_trimmed.fq.gz	55845	54568
MP_E685_R1_trimmed.fq.gz	143298	140163
MP_E688_R1_trimmed.fq.gz	146081	143498
MP_E691_1B_R1_trimmed.fq.gz	176991	172915
MP_E691_2B_R1_trimmed.fq.gz	134738	131546
MP_E691_3B_R1_trimmed.fq.gz	137065	133555
MP_E694_1B_R1_trimmed.fq.gz	84361	82441
MP_E694_2B_R1_trimmed.fq.gz	127113	124585
MP_E694_3B_R1_trimmed.fq.gz	124648	122030
MP_E707_R1_trimmed.fq.gz	117553	115251
MP_E713_R1_trimmed.fq.gz	161644	158398
MP_E716_R1_trimmed.fq.gz	195310	191296
MP_E721_R1_trimmed.fq.gz	108833	106655
MP_E725_1B_R1_trimmed.fq.gz	86860	85208
MP_E750_R1_trimmed.fq.gz	99224	96750
MP_E758_R1_trimmed.fq.gz	118034	115217
