dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E370	123168	120163	120145	120150	117557	117181	95.1
MP_E378	59559	58289	58203	58193	57498	57325	96.2
MP_E384_3B	98745	96410	95907	96353	95038	94492	95.7
MP_E388_1B	116272	114185	114137	114166	110815	110626	95.1
MP_E392	48911	47548	47516	47523	47398	47139	96.4
MP_E396	122404	120063	120026	119973	117144	116384	95.1
MP_E400	69095	67560	67526	67526	66531	66435	96.2
MP_E404	105986	103523	103452	103410	102449	102107	96.3
MP_E408	103053	101380	101293	101297	100801	100768	97.8
MP_E411_1T	141325	139250	139148	139202	138606	138279	97.8
MP_E423	158303	155072	155000	154981	153127	152174	96.1
MP_E427	95198	93267	93189	93189	91179	90825	95.4
MP_E431	79317	77715	77647	77602	76114	75878	95.7
MP_E435	140639	137855	137694	137545	136124	135057	96
MP_E438	74257	72680	72612	72624	72490	72029	97
MP_E442	70190	68377	68324	68334	68024	67662	96.4
MP_E446_1B_PCR1	124899	122400	122253	122351	121358	120698	96.6
MP_E446_2B_PCR1	154731	151232	151131	151117	148214	147026	95
MP_E446_3B_PCR1	116746	114487	114428	114401	112621	112304	96.2
MP_E449_1B_PCR1	177416	174161	173979	174133	173440	172246	97.1
MP_E449_2B_PCR1	135280	132533	132470	132469	131974	131446	97.2
MP_E449_3B_PCR1	155831	152729	152596	152652	152364	151735	97.4
MP_E451	11121	10853	10841	10842	10782	10782	97
MP_E455	180627	176592	176518	176539	176380	175058	96.9
MP_E458_1B	47971	46632	46485	46578	45909	45737	95.3
MP_E467	159061	155768	155717	155717	155475	154780	97.3
MP_E471	182746	178775	178633	178617	178477	174999	95.8
MP_E472	163596	160454	160216	160385	159888	155340	95
MP_E475_PCR1	128139	125414	125381	125390	124745	124495	97.2
MP_E486_PCR1	129066	126371	126327	126320	124739	124055	96.1
MP_E492_1B_PCR1	44902	43831	43802	43792	43635	43603	97.1
MP_E499	46101	44981	44952	44942	44784	44682	96.9
MP_E501	62979	61734	61692	61561	60904	60748	96.5
MP_E506	137071	134891	134384	134859	132122	131866	96.2
MP_E516	3131	3069	3047	3047	3047	3047	97.3
MP_E520_1B	53679	52654	52630	52602	52030	51801	96.5
MP_E524	47073	46200	46188	46188	45961	45862	97.4
MP_E528	85517	83605	83480	83564	82892	82373	96.3
MP_E529	161779	158748	158731	158668	156159	155252	96
MP_E532	127426	124951	124877	124867	122266	121842	95.6
MP_E536	153285	150337	150227	150210	149617	148617	97
MP_E540	154865	151473	151452	151424	151202	146026	94.3
MP_E543	178845	174789	174766	174756	174646	172326	96.4
MP_E552	11285	11065	11060	11059	11045	10900	96.6
MP_E555	14577	14269	14253	14253	14241	14241	97.7
MP_E560	129071	125995	125942	125892	125514	124462	96.4
MP_E561	85820	84085	84030	83942	83650	83162	96.9
MP_E562	52888	51594	51383	51505	50993	50705	95.9
MP_E565	89106	87029	86957	86999	86597	85854	96.4
MP_E566	79307	77591	77510	77559	76483	76076	95.9
MP_E569	127548	123208	123073	123012	121604	120359	94.4
MP_E570	53432	52140	52102	52102	51604	51278	96
MP_E573_1B_PCR1	137990	134973	134734	134934	133122	132755	96.2
MP_E573_2B_PCR1	117761	115611	115522	115562	114859	114498	97.2
MP_E573_3B_PCR1	82674	81265	81213	81209	80876	80780	97.7
MP_E579	154595	151693	151635	151639	151316	149996	97
MP_E583	71596	70188	69913	70155	69676	69639	97.3
MP_E588	23099	22553	22523	22505	22428	22002	95.3
MP_E590	30020	29258	29195	29234	28992	28730	95.7
MP_E594	90562	88336	88273	88028	86552	86224	95.2
MP_E598_1B_PCR1	48418	47255	47215	47209	47037	46772	96.6
MP_E598_2B_PCR1	34608	33858	33821	33812	33742	33712	97.4
MP_E598_3B_PCR1	41537	40526	40472	40435	40160	40113	96.6
MP_E601	165739	162489	162454	162189	159923	157579	95.1
MP_E604	123684	120946	120864	120866	120505	120044	97.1
MP_E607	82285	80828	80768	80748	80473	80354	97.7
MP_E632	177781	173664	173585	173593	173242	170216	95.7
MP_E635	47493	46157	46097	46117	45870	45867	96.6
