ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_756	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_757	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_758	Eukaryota	Hemichordata	Enteropneusta	Ptychoderidae__o	Ptychoderidae	NA	NA
ASV_759	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_76	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Riseriellidae	Riserius	Riserius sp_ no eyes
ASV_760	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_761	Eukaryota	Chordata	zzOther	zzOther	zzOther	zzOther	NA
ASV_762	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_763	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_764	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_765	Eukaryota	Chordata	Mammalia	NA	NA	NA	NA
ASV_766	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA
ASV_767	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_768	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_77	Eukaryota	Mollusca	Bivalvia	Adapedonta	NA	NA	NA
ASV_770	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_771	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_772	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	zzOther
ASV_773	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_774	Eukaryota	zzOther	zzOther	zzOther	zzOther	NA	NA
ASV_775	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_776	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_777	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_778	Eukaryota	Echinodermata	Holothuroidea	zzOther	zzOther	zzOther	NA
ASV_78	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_780	Eukaryota	Arthropoda	Malacostraca	zzOther	zzOther	NA	NA
ASV_781	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_782	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	zzOther
ASV_783	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_784	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_785	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_786	Eukaryota	Porifera	Demospongiae	Poecilosclerida	NA	NA	NA
ASV_787	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	NA	NA
ASV_788	Eukaryota	zzOther	zzOther	zzOther	zzOther	NA	NA
ASV_789	Eukaryota	Mollusca	Bivalvia	zzOther	zzOther	NA	NA
ASV_79	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Cerebratulus	NA
ASV_790	Eukaryota	Mollusca	Cephalopoda	zzOther	zzOther	NA	NA
ASV_791	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_792	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	zzOther	NA
ASV_793	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA
ASV_794	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_796	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	NA	NA
ASV_797	Eukaryota	Echinodermata	Echinoidea	NA	NA	NA	NA
ASV_798	Eukaryota	Hemichordata	Enteropneusta	NA	NA	NA	NA
ASV_799	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_8	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_80	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_800	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_801	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_802	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	NA	NA
ASV_803	Eukaryota	Mollusca	Bivalvia	Adapedonta	zzOther	NA	NA
ASV_805	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	NA	NA
ASV_806	Eukaryota	Mollusca	Bivalvia	Cardiida	zzOther	zzOther	zzOther
ASV_807	Eukaryota	Chordata	Mammalia	Carnivora	Phocidae	Phoca	NA
