x	Anacapa	B2_5	B5	B9	BS14	BS2	BS20	BS32	BS43	BS48	BS64	C19	C26	C2_5	C32	C35	C41	C77	C8	CB06	CC73_3_50	CC80_50_5	CC80_51	CC80_70	CC90_27_7	CC90_28	CM1	CM3	CM5	CMAP_CO2_Buoy	CR0	CR1	CR13	CR2	CR24	CR3	CR30	CR40	CR50	ChaBa	GGTX1	GGTX2	GGTX4	GGTX5	HH10	HH20	HH29	HH3	HH37	HH42	JF20	JF23	JF2_5	JF35	JF54	JF9	Kalaloch	ML1	ML11	ML5	ML8	NH1	NH10	NH25	NH30	NH35	NH45	NH55	PA3	PR1	PR10	PR15	PR4	QC2	QC43	QC74	SB2	SB3	SB4	SCORP	Sokul
ASV_1	1.04198590254367	0.0216842266384347	0	2.89053036600717	7.85685446870986	37.795472987683	13.6294311624073	41.5510512150795	74.7243836372733	17.388498031369	95.8189037767664	13.6489681344661	73.0742014580282	0.00116183826049576	51.0930986539258	35.6287224787526	57.9313696898999	0	0.412390908219047	0	65.308905380334	0	23.9977469336283	78.6729139183308	5.35025736582846	85.2828654540617	27.509323241459	23.5353421359515	1.46045360472807	0.256517277960383	0.225442625499634	0.869267038148307	61.7205313166884	2.25573593143284	9.53014494783278	0.661974999196632	42.6110650473166	1.07888263802635	97.259430915929	42.0152254874501	0.670552108792379	18.0411779338321	0.833883575795012	1.36391935866907	10.899288113851	9.40977899678253	5.61602905852715	0.853519616711897	0	0	53.2156758669498	4.2766112732989	0	26.6248103699476	2.78042277661398	15.7799855780787	1.12017073760295	3.75353399452742	6.35846883085	0	0	10.7526522540819	32.8341068172995	3.95690018739367	12.5953232041925	15.3749969932041	0	81.9307654802535	54.0508407405311	1.27595891965502	0.00506069215809602	27.3293490205256	7.58693815610001	25.143565483569	36.2315998480187	63.3774709650896	4.41432247121563	0.110319927790593	10.8476111160175	46.1373144869764	2.98859933466882
ASV_10	0	3.59256613689125	0.391860974541206	0.023157494715341	0.0983666727839971	33.813391037017	0.689406430338005	0.609774264348068	0	0	0	0	0.125067882238715	0.000580919130247878	0.196205046691834	0	0	0	36.9761196892682	0.136116729636556	0.0398886827458256	0	0	0	0	0	1.1722139144183	0.485272542602415	0	0	0.00518258909194561	1.11558794113445	0	1.1500840346957	0	0	0.00115117189298706	0	0	0.0938222504606544	0	0.72711964945179	0.00958486868729898	0.0231063985468643	0.114943258673136	5.86780271973768	1.66617845216474	0	14.219898787358	86.3119764546072	0	0	0	0	0	0	0.00648519900717499	0	0	0	0	69.2846262793619	0	0	0	0	0	0	0	0.00992964139809351	0	0	0	1.46474740064257	0	0	0	0	0	0	12.3981464485497
ASV_100	0	0	0	0	0	0	0	0.00993117694377961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13881785636005	0	0	0	0	0	0	0	0	0.289413556740289	0	0.385383956608621	0.104143083540865	0	0.12351223894004	0	0.280877780614927	0	0	0	0	0	0	0	0	0	0	0.130022158532769	1.98261693605494	0	0	0	0	0	0	0	0	0.138499062373604	0	0	0	0	0	0
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323939099449304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0.551029617841959	0	0	0	0	0	0	0	0.696313354636071	0.0419635657511478	0.00290459565123939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01619559091233	3.54907843977711	0	0.212501529367067	0	0	0	0	0	0.362207076485149	0	0	0	0	0	0	0	5.8330820517975	0	0	0	0	0.532802284511911	0	0	0	0	0	0	0	0	0	0.414838429043945	0	0.427084312435379	0.0440792937517601	0	0	0	0	0	0	0.068438894841543	0	0	0	0	0	0	0	0.00989596046893658
ASV_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0282411537795008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127699395622704	0	0	0	0	0	0	0	0
ASV_1003	0	0	0	0	0	0	0	0	0	0.0172120742701005	0	0	0	0	0.00248360818597258	0.00446139775591693	0.00388840283853407	0	0	0	0	0	0	0	0	0	0	0	0.00640081930487102	0	0	0	0	0	0	0	0	0.0170478069214096	0.00075979181704213	0	0	0	0	0	0	0	0	0	0.0381934498233553	0	0.00110580325548478	0.0140354816977319	0	0.0510686873845322	0.0285659874309655	0	0	0	0	0	0	0	0	0.000415859206706977	0	0.0025190185903572	0.0938899321103568	0	0	0	0	0	0	0	0	0.000856487032786324	0	0	0	0	0
ASV_1004	0	0	0.00973567638611693	0	0.000734079647641769	0	0	0.00297935308313388	0	0.019363583553863	0	0	0.000822815014728389	0	0.000645377804166559	0.00892279551183386	0	0	0	0	0	0	0	0	0	0	0.0029712875393838	0	0	0	0	0.00114302043149021	0	0.00257577611354021	0.00933641435006886	0	0.00230234378597412	0	0	0.0039852587267025	0	0	0	0	0	0.00407747196738022	0.010545433241549	0	0.0280421817378559	0	0.00221160651096957	0.00842128901863912	0.000751484181257984	0.00751010108596062	0	0.00801217851133723	0.000589563546106817	0.00272719834913593	0.0113308027873775	0.0046322567196674	0.0116749275623813	0	0.00218081222045051	0.000415859206706977	0.00198638663029372	0.0057259672624432	0.0216669074100823	0	0	0	0	0.00219737417224129	0	0	0.00612827709617718	0	0.00431226552056232	0	0.0642794011302461	0.00369857109487743	0
ASV_1006	0	0	0	0	0	0.114131904815311	0.389530090684254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00149987407058	0.537185419252906	2.18267938296102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272027600849257	0.676510217830676	0.168332456601789	0	0	0	0	0	0	0	0.924441991530371	0	0	0.747643781722525	1.30908710450197	0	0	0	0	0	0	0.137489297240335	0	0	0.649597372194781	0	0	0	0	0	0
ASV_1008	0	0.447077731574785	0	0.0261264042942308	0.283354743989723	0.0237499917534751	0.0226710634789777	0.801445979363014	0	0	0	0.443542068364072	0.589958365560255	0	1.9262593757315	1.32949653126324	0	7.43478260869565	0.00685034731260875	0.129756134793726	0	62.5090047835483	0.154287678570001	0	0.159585262808332	0.0127211627142721	0	0	0	0	0	0.000571510215745106	0.133072597593333	0.00128788805677011	2.60019139649418	0	0.770133996408344	0	0	0.190968263345639	0.10904305320549	0.387478234247335	0	0	0	0.105500968863374	0.666705723826821	0.929741682581164	0	0.2324352879028	0.265392781316348	0	0.225445254377395	0	0	0.528803781748257	0.0153286521987772	0	0	0.110016097092101	0	0.0133614815210711	0.166818359943927	0	0	0	0	0	0	0	0	0	0.00658450008679568	0	0	0	0	0	0	0.0574691335137741	0.0139105778826409
