x	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875
ASV_11	0	0	0	0	0	0	0	0	0	0	0	1119	0	1188	0	354	0	0	0	0	0	0	0	0	0	323	1759	2749	0	0	0	9987	1085	0	0	2	0	4179	7652	0	0	0	1	0	0	1766	1214	4554	13218	3657	744	4063	1938	6136	2411	0	0	0	3076	0	925	5357	4960	123568	0	0	0	0	0	141	5324	1139	4260	1527	3604	0	0	0	0	0	0	907	0	0	0	0	0	0	7541	0	2840	0	0	515	0	0	0	795	140	0	0	0	0	0	0	0	0	0	0
ASV_12	1874	0	16928	0	7002	2676	0	446	345	0	4	1999	1563	7473	7094	14710	326	636	999	0	0	6	971	0	4078	0	0	0	0	2877	826	1519	1976	757	0	387	3854	6325	1614	106	598	10	0	0	2713	8658	6163	6877	3791	4853	2772	5416	247	625	461	0	471	3051	5829	2562	553	767	1105	154	202	138	542	0	0	3067	3752	4304	2302	3140	2370	179	0	317	152	299	1204	464	894	0	0	0	519	544	1320	46	729	725	704	723	3665	6359	0	8545	4243	0	14887	22	2317	4967	2463	205	50	43	0
ASV_13	0	0	0	0	0	0	0	0	0	29332	6464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	101	0	0	0	0	0	0	71	63236	0	0	0	0	0	85	0	135	0	0	0	0	0	0	0	0	0	0	0	0	44	107	0	0	58	104792	512	179	0	0	0	0	0	71	0	0	0	0	0	0	0	49	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	1	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	11	0	6	0	0	0	0	0	0	0	0	0	0	0	1022	47	70380	0	0	148	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	860	124645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388
ASV_15	0	1713	4	0	0	0	0	1135	1459	13351	331	0	655	443	0	0	2810	8829	7081	2099	801	1185	1132	12877	0	9	312	19	56	36	0	0	42	0	0	0	314	282	194	160	646	67	35	4	29	0	0	38	0	1	83	6	23480	31296	33203	6726	2	0	0	319	0	0	0	0	15967	4527	2255	2119	194	532	9	18	0	0	0	1	94	557	56	1	1104	94	7695	0	0	0	358	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	7891	845	1299	0	1416	3406	6945	10215	9554	2567	2070	1065	0	294	0	0	0	0	102	2010	856	0	8999	5482	2270	0	0	0	0	0	0	11	0	3066	958	3	0	0	0	72	10	4279	0	5798	0	5855	11008	2664	441	0	0	0	1741	0	0	0	4715	5837	8190	1568	2034	0	1335	740	26	135	195	2886	4213	177	3567	42	0	1106	3867	3942	1991	31	2542	12351	4141	160	2428	4	0	5444	0	4071	22	0	0	0	0	0	27	0	0	0	1	304	0	758
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180220
ASV_18	331	0	14611	37	1979	484	0	251	217	36	0	811	586	2129	2903	3332	390	478	329	0	4	0	511	0	1026	0	0	0	0	1667	277	608	334	190	2	217	1180	2583	1126	150	375	0	0	0	415	3698	4005	3537	2736	1936	982	1513	375	176	626	0	198	770	2088	1382	79	527	1200	38	191	217	353	0	0	1144	1810	1769	1259	2069	2188	400	3	1600	837	1001	3302	1456	1476	0	0	0	1535	2353	3660	209	1085	1805	2705	1170	7790	6930	0	5013	3993	1749	9435	30	7723	9529	6526	1928	1439	1085	1
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	131	0	596	17	1050	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	701	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	218	87	0	0	95	0	0	0	0	386	120613	0	0	0	0	0	186	0	0	0	0	36	20
